scenario,metric,hour_a,hour_b,spearman_r,n_cells
base,tmrt_mean_c,10,12,0.9904347826086956,24
base,tmrt_mean_c,10,13,0.9860869565217389,24
base,tmrt_mean_c,10,15,0.9921739130434782,24
base,tmrt_mean_c,10,16,0.9930434782608695,24
base,tmrt_mean_c,12,13,0.997391304347826,24
base,tmrt_mean_c,12,15,0.988695652173913,24
base,tmrt_mean_c,12,16,0.9852173913043477,24
base,tmrt_mean_c,13,15,0.9843478260869565,24
base,tmrt_mean_c,13,16,0.9826086956521738,24
base,tmrt_mean_c,15,16,0.994782608695652,24
base,tmrt_p75_c,10,12,0.9808695652173912,24
base,tmrt_p75_c,10,13,0.9904347826086956,24
base,tmrt_p75_c,10,15,0.9913043478260868,24
base,tmrt_p75_c,10,16,0.9930434782608695,24
base,tmrt_p75_c,12,13,0.9860869565217389,24
base,tmrt_p75_c,12,15,0.9791304347826085,24
base,tmrt_p75_c,12,16,0.9773913043478261,24
base,tmrt_p75_c,13,15,0.9913043478260868,24
base,tmrt_p75_c,13,16,0.9895652173913043,24
base,tmrt_p75_c,15,16,0.9991304347826085,24
base,tmrt_p90_c,10,12,0.994782608695652,24
base,tmrt_p90_c,10,13,0.9965217391304346,24
base,tmrt_p90_c,10,15,0.9991304347826085,24
base,tmrt_p90_c,10,16,0.997391304347826,24
base,tmrt_p90_c,12,13,0.9965217391304346,24
base,tmrt_p90_c,12,15,0.9956521739130434,24
base,tmrt_p90_c,12,16,0.994782608695652,24
base,tmrt_p90_c,13,15,0.997391304347826,24
base,tmrt_p90_c,13,16,0.9965217391304346,24
base,tmrt_p90_c,15,16,0.9991304347826085,24
base,tmrt_p95_c,10,12,0.9895652173913043,24
base,tmrt_p95_c,10,13,0.9904347826086956,24
base,tmrt_p95_c,10,15,0.9913043478260868,24
base,tmrt_p95_c,10,16,0.9869565217391304,24
base,tmrt_p95_c,12,13,0.997391304347826,24
base,tmrt_p95_c,12,15,0.9904347826086956,24
base,tmrt_p95_c,12,16,0.9843478260869565,24
base,tmrt_p95_c,13,15,0.9939130434782607,24
base,tmrt_p95_c,13,16,0.9895652173913043,24
base,tmrt_p95_c,15,16,0.9956521739130434,24
base,tmrt_max_c,10,12,0.9234782608695651,24
base,tmrt_max_c,10,13,0.997391304347826,24
base,tmrt_max_c,10,15,0.9939130434782607,24
base,tmrt_max_c,10,16,0.994782608695652,24
base,tmrt_max_c,12,13,0.9217391304347825,24
base,tmrt_max_c,12,15,0.917391304347826,24
base,tmrt_max_c,12,16,0.9165217391304347,24
base,tmrt_max_c,13,15,0.994782608695652,24
base,tmrt_max_c,13,16,0.9939130434782607,24
base,tmrt_max_c,15,16,0.9991304347826085,24
base,pct_pixels_tmrt_ge_50,10,12,,24
base,pct_pixels_tmrt_ge_50,10,13,,24
base,pct_pixels_tmrt_ge_50,10,15,,24
base,pct_pixels_tmrt_ge_50,10,16,,24
base,pct_pixels_tmrt_ge_50,12,13,0.9936915614706201,24
base,pct_pixels_tmrt_ge_50,12,15,0.9858603670282072,24
base,pct_pixels_tmrt_ge_50,12,16,0.9390118360796733,24
base,pct_pixels_tmrt_ge_50,13,15,0.9791213571117876,24
base,pct_pixels_tmrt_ge_50,13,16,0.940579763076328,24
base,pct_pixels_tmrt_ge_50,15,16,0.9326049935354077,24
base,pct_pixels_tmrt_ge_55,10,12,,24
base,pct_pixels_tmrt_ge_55,10,13,,24
base,pct_pixels_tmrt_ge_55,10,15,,24
base,pct_pixels_tmrt_ge_55,10,16,,24
