cell_id,tmrt_mean_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,p90_rank_13_base,tail_class,mean_p90_minus_mean,mean_max_minus_p95,mean_pct_ge_50,mean_pct_ge_55,delta_tmrt_p90_c_mean_delta,delta_tmrt_p90_c_min_delta,delta_tmrt_mean_c_mean_delta,delta_pct_pixels_ge_50_mean_delta,delta_pct_pixels_ge_55_mean_delta,overhead_reduces_threshold_area_substantially,primary_role,secondary_roles,typology_label,replaced_cell_id,replacement_cell_id,human_qa_note,expected_role,informative_for_target_audit,consistency_with_expected_role,caveat
TP_0141,39.84480285644531,38.26747512817383,57.49839782714844,59.3965950012207,61.03553009033203,14.24,13.28,17.0,mixed_cell_upper_tail,13.910630798339843,1.6971641540527345,8.712,7.56,-0.27980880737304686,-0.5709915161132812,-0.11740646362304683,0.0,-0.21599999999999966,False,water_edge_or_blue_green,street_canyon_wall_adjacent|covered_walkway_or_pedestrian_overhead,residential,TP_0058,TP_0141,TP_0058 is almost pure river/water surface. TP_0141 is a better water-edge / blue-green context cell: roughly 30% river and 70% land/grass.,replacement sanity,yes,,Replacement-cell sanity only; does not validate cell choice as AOI-wide target truth.
TP_0301,51.92428588867188,60.86508560180664,62.62362289428711,62.62362289428711,62.62362289428711,63.16,63.16,1.0,threshold_area_hot,10.93934097290039,0.0,36.304,31.552,0.0,0.0,0.0,0.0,0.0,False,street_canyon_wall_adjacent,,residential,TP_0828,TP_0301,Human QA replacement.,replacement sanity,yes,,Replacement-cell sanity only; does not validate cell choice as AOI-wide target truth.
TP_0773,42.398529052734375,55.55597305297852,60.66888427734375,62.62262725830078,62.62262725830078,25.08,25.08,14.0,threshold_area_hot,14.48577423095703,0.0,15.912,13.984,-0.11792526245117183,-0.2515106201171875,-0.02857666015624998,0.0,-0.039999999999999855,False,street_canyon_wall_adjacent,water_edge_or_blue_green|grass_or_open_park,park_open_space,TP_0802,TP_0773,Human QA replacement.,replacement sanity,yes,,Replacement-cell sanity only; does not validate cell choice as AOI-wide target truth.
TP_0676,49.67695236206055,58.89885711669922,61.38622283935547,62.210540771484375,62.60250473022461,55.67999999999999,55.44,13.0,threshold_area_hot,10.90229263305664,0.41089935302734515,33.616,27.424,0.0,0.0,-0.9433090209960937,-3.072,-2.688,False,street_canyon_wall_adjacent,covered_walkway_or_pedestrian_overhead|overhead_sensitivity_probe,residential,TP_0675,TP_0676,Human QA replacement.,replacement sanity,yes,,Replacement-cell sanity only; does not validate cell choice as AOI-wide target truth.
TP_0575,59.44791793823242,61.99272918701172,62.07150268554688,62.09879302978516,62.158294677734375,91.52,91.52,7.0,uniform_hot,2.356533050537114,0.05879287719725994,68.728,54.488,-2.9030906677246096,-3.574405670166016,-10.629582977294922,-43.064,-34.04,True,open_paved_hardscape,covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|threshold_area_probe|overhead_sensitivity_probe,transport,TP_0916,TP_0575,Human QA replacement. TP_0916 remains an optional v10-epsilon legacy overhead-saturated diagnostic note only and is not in the frozen N24 run matrix.,replacement sanity,yes,,Replacement-cell sanity only; does not validate cell choice as AOI-wide target truth.
