scenario,hour,metric_a,metric_b,spearman_r,n_cells,emphasis_pair
base,12,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.9617225790174315,24,False
base,12,tmrt_p50_c,pct_pixels_tmrt_ge_50,0.9617225790174315,24,False
base,12,tmrt_p50_c,pct_pixels_tmrt_ge_55,0.9617225790174315,24,False
base,12,tmrt_p75_c,tmrt_p90_c,0.9347826086956521,24,True
base,12,tmrt_p75_c,tmrt_p95_c,0.7678260869565217,24,False
base,12,tmrt_p75_c,tmrt_max_c,0.5226086956521738,24,False
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.954081087145493,24,False
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9643324096253486,24,False
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_50,0.9643324096253486,24,False
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_55,0.9643324096253486,24,False
base,12,tmrt_p90_c,tmrt_p95_c,0.8617391304347826,24,True
base,12,tmrt_p90_c,tmrt_max_c,0.5947826086956521,24,True
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.8892279475539426,24,True
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.8760331407241552,24,True
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_50,0.8760331407241552,24,True
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_55,0.8760331407241552,24,True
base,12,tmrt_p95_c,tmrt_max_c,0.7313043478260869,24,False
base,12,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.7099024877437495,24,False
base,12,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.693344998169962,24,False
base,12,tmrt_p95_c,pct_pixels_tmrt_ge_50,0.693344998169962,24,False
base,12,tmrt_p95_c,pct_pixels_tmrt_ge_55,0.693344998169962,24,False
base,12,tmrt_max_c,pct_pixels_tmrt_ge_40,0.47660528760233345,24,False
base,12,tmrt_max_c,pct_pixels_tmrt_ge_45,0.4745541988729163,24,False
base,12,tmrt_max_c,pct_pixels_tmrt_ge_50,0.4745541988729163,24,False
base,12,tmrt_max_c,pct_pixels_tmrt_ge_55,0.4745541988729163,24,False
base,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9897672479264843,24,False
base,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,0.9897672479264843,24,False
base,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,0.9897672479264843,24,False
base,12,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,1.0,24,False
base,12,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,1.0,24,False
base,12,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,1.0,24,False
base,13,tmrt_mean_c,tmrt_p50_c,0.9582608695652173,24,False
base,13,tmrt_mean_c,tmrt_p75_c,0.9739130434782608,24,False
base,13,tmrt_mean_c,tmrt_p90_c,0.9026086956521738,24,True
base,13,tmrt_mean_c,tmrt_p95_c,0.7182608695652173,24,False
base,13,tmrt_mean_c,tmrt_max_c,0.49652173913043474,24,False
base,13,tmrt_mean_c,pct_pixels_tmrt_ge_40,0.9954304043347365,24,True
base,13,tmrt_mean_c,pct_pixels_tmrt_ge_45,0.9971733221161064,24,True
base,13,tmrt_mean_c,pct_pixels_tmrt_ge_50,0.9971733221161064,24,True
base,13,tmrt_mean_c,pct_pixels_tmrt_ge_55,0.9971733221161064,24,True
base,13,tmrt_p50_c,tmrt_p75_c,0.9434782608695651,24,False
base,13,tmrt_p50_c,tmrt_p90_c,0.8547826086956521,24,True
base,13,tmrt_p50_c,tmrt_p95_c,0.6130434782608695,24,False
base,13,tmrt_p50_c,tmrt_max_c,0.3739130434782608,24,False
base,13,tmrt_p50_c,pct_pixels_tmrt_ge_40,0.9453759677372313,24,False
base,13,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.9515112205800439,24,False
base,13,tmrt_p50_c,pct_pixels_tmrt_ge_50,0.9515112205800439,24,False
base,13,tmrt_p50_c,pct_pixels_tmrt_ge_55,0.9515112205800439,24,False
base,13,tmrt_p75_c,tmrt_p90_c,0.9095652173913044,24,True
base,13,tmrt_p75_c,tmrt_p95_c,0.7278260869565217,24,False
base,13,tmrt_p75_c,tmrt_max_c,0.5052173913043477,24,False
base,13,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.9697503020803642,24,False
base,13,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9689063068794963,24,False
base,13,tmrt_p75_c,pct_pixels_tmrt_ge_50,0.9689063068794963,24,False
base,13,tmrt_p75_c,pct_pixels_tmrt_ge_55,0.9689063068794963,24,False
base,13,tmrt_p90_c,tmrt_p95_c,0.8573913043478261,24,True
base,13,tmrt_p90_c,tmrt_max_c,0.6269565217391303,24,True
base,13,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.8988035789030306,24,True
base,13,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.902370101784091,24,True
base,13,tmrt_p90_c,pct_pixels_tmrt_ge_50,0.902370101784091,24,True
