hour,metric,cell_id,base_value,overhead_value,base_rank,overhead_rank,rank_delta,abs_rank_delta,cell_metric_mean_abs_rank_delta,cell_metric_max_abs_rank_delta
13,pct_pixels_tmrt_ge_50,TP_0301,63.16,63.16,11,8,-3.0,3.0,2.2,3.0
13,pct_pixels_tmrt_ge_50,TP_0098,61.84,60.28,12,9,-3.0,3.0,2.2,3.0
13,pct_pixels_tmrt_ge_50,TP_0676,55.67999999999999,50.52,13,12,-1.0,1.0,1.8,3.0
13,pct_pixels_tmrt_ge_50,TP_0326,54.24,53.04,14,10,-4.0,4.0,2.4,4.0
13,pct_pixels_tmrt_ge_50,TP_0773,25.08,25.08,15,15,0.0,0.0,0.8,3.0
13,pct_pixels_tmrt_ge_50,TP_0409,22.56,22.040000000000003,16,16,0.0,0.0,0.2,1.0
13,pct_pixels_tmrt_ge_50,TP_0254,17.28,17.119999999999997,17,17,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0141,14.24,14.24,18,18,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0542,12.68,10.8,19,19,0.0,0.0,0.6,3.0
13,pct_pixels_tmrt_ge_50,TP_0857,3.8,3.8,20,20,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0433,1.5599999999999998,1.5599999999999998,21,21,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0154,1.36,1.36,22,22,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0492,0.0,0.0,23,23,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_50,TP_0835,0.0,0.0,23,23,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0059,100.0,87.56,1,5,4.0,4.0,2.6,5.0
15,pct_pixels_tmrt_ge_50,TP_0088,99.88,29.68,2,13,11.0,11.0,9.6,13.0
15,pct_pixels_tmrt_ge_50,TP_0366,98.08,95.96,3,1,-2.0,2.0,1.2,2.0
15,pct_pixels_tmrt_ge_50,TP_0565,93.48,93.48,4,2,-2.0,2.0,1.6,2.0
15,pct_pixels_tmrt_ge_50,TP_0986,92.72,92.72,5,3,-2.0,2.0,1.8,3.0
15,pct_pixels_tmrt_ge_50,TP_0960,92.44,91.48,6,4,-2.0,2.0,1.6,2.0
15,pct_pixels_tmrt_ge_50,TP_0575,91.72,39.48,7,12,5.0,5.0,5.8,13.0
15,pct_pixels_tmrt_ge_50,TP_0627,82.6,82.6,8,6,-2.0,2.0,1.8,3.0
15,pct_pixels_tmrt_ge_50,TP_0115,68.24,68.24,9,7,-2.0,2.0,2.0,3.0
15,pct_pixels_tmrt_ge_50,TP_0098,55.88,54.32,10,8,-2.0,2.0,2.2,3.0
15,pct_pixels_tmrt_ge_50,TP_0301,50.92,50.92,11,9,-2.0,2.0,2.2,3.0
15,pct_pixels_tmrt_ge_50,TP_0326,50.68,49.52,12,10,-2.0,2.0,2.4,4.0
15,pct_pixels_tmrt_ge_50,TP_0676,47.4,42.44,13,11,-2.0,2.0,1.8,3.0
15,pct_pixels_tmrt_ge_50,TP_0037,46.0,25.32,14,14,0.0,0.0,2.0,6.0
15,pct_pixels_tmrt_ge_50,TP_0773,24.2,24.2,15,15,0.0,0.0,0.8,3.0
15,pct_pixels_tmrt_ge_50,TP_0254,16.36,16.36,16,16,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0409,14.88,14.72,17,17,0.0,0.0,0.2,1.0
15,pct_pixels_tmrt_ge_50,TP_0141,13.6,13.6,18,18,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0542,10.12,7.84,19,19,0.0,0.0,0.6,3.0
15,pct_pixels_tmrt_ge_50,TP_0857,2.12,2.12,20,20,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0433,1.28,1.28,21,21,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0154,0.44,0.44,22,22,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0492,0.0,0.0,23,23,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_50,TP_0835,0.0,0.0,23,23,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0059,100.0,77.52,1,1,0.0,0.0,2.6,5.0
16,pct_pixels_tmrt_ge_50,TP_0088,99.28,4.2,2,14,12.0,12.0,9.6,13.0
16,pct_pixels_tmrt_ge_50,TP_0575,69.19999999999999,0.96,3,16,13.0,13.0,5.8,13.0
16,pct_pixels_tmrt_ge_50,TP_0960,59.6,52.88,4,2,-2.0,2.0,1.6,2.0
16,pct_pixels_tmrt_ge_50,TP_0366,47.92,41.52,5,5,0.0,0.0,1.2,2.0
16,pct_pixels_tmrt_ge_50,TP_0627,44.68,44.68,6,3,-3.0,3.0,1.8,3.0
16,pct_pixels_tmrt_ge_50,TP_0986,43.04,43.04,7,4,-3.0,3.0,1.8,3.0
16,pct_pixels_tmrt_ge_50,TP_0565,40.88,40.16,8,6,-2.0,2.0,1.6,2.0
16,pct_pixels_tmrt_ge_50,TP_0037,22.92,1.96,9,15,6.0,6.0,2.0,6.0
16,pct_pixels_tmrt_ge_50,TP_0115,15.68,15.68,10,7,-3.0,3.0,2.0,3.0
16,pct_pixels_tmrt_ge_50,TP_0098,14.32,14.32,11,8,-3.0,3.0,2.2,3.0
16,pct_pixels_tmrt_ge_50,TP_0676,12.08,12.08,12,9,-3.0,3.0,1.8,3.0
16,pct_pixels_tmrt_ge_50,TP_0301,10.84,10.84,13,10,-3.0,3.0,2.2,3.0
16,pct_pixels_tmrt_ge_50,TP_0326,8.48,8.48,14,11,-3.0,3.0,2.4,4.0
16,pct_pixels_tmrt_ge_50,TP_0773,6.2,6.2,15,12,-3.0,3.0,0.8,3.0
16,pct_pixels_tmrt_ge_50,TP_0542,4.24,4.24,16,13,-3.0,3.0,0.6,3.0
16,pct_pixels_tmrt_ge_50,TP_0141,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0154,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0254,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0409,0.0,0.0,17,17,0.0,0.0,0.2,1.0
16,pct_pixels_tmrt_ge_50,TP_0433,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0492,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0835,0.0,0.0,17,17,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_50,TP_0857,0.0,0.0,17,17,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0037,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,pct_pixels_tmrt_ge_55,TP_0059,0.0,0.0,1,1,0.0,0.0,2.4,5.0
10,pct_pixels_tmrt_ge_55,TP_0088,0.0,0.0,1,1,0.0,0.0,7.0,13.0
10,pct_pixels_tmrt_ge_55,TP_0098,0.0,0.0,1,1,0.0,0.0,1.6,3.0
10,pct_pixels_tmrt_ge_55,TP_0115,0.0,0.0,1,1,0.0,0.0,1.4,3.0
10,pct_pixels_tmrt_ge_55,TP_0141,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0154,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0254,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0301,0.0,0.0,1,1,0.0,0.0,2.0,4.0
10,pct_pixels_tmrt_ge_55,TP_0326,0.0,0.0,1,1,0.0,0.0,1.8,4.0
10,pct_pixels_tmrt_ge_55,TP_0366,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,pct_pixels_tmrt_ge_55,TP_0409,0.0,0.0,1,1,0.0,0.0,0.2,1.0
10,pct_pixels_tmrt_ge_55,TP_0433,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0492,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0542,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0565,0.0,0.0,1,1,0.0,0.0,1.4,3.0
10,pct_pixels_tmrt_ge_55,TP_0575,0.0,0.0,1,1,0.0,0.0,4.2,10.0
10,pct_pixels_tmrt_ge_55,TP_0627,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,pct_pixels_tmrt_ge_55,TP_0676,0.0,0.0,1,1,0.0,0.0,1.4,3.0
10,pct_pixels_tmrt_ge_55,TP_0773,0.0,0.0,1,1,0.0,0.0,0.4,1.0
10,pct_pixels_tmrt_ge_55,TP_0835,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0857,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_55,TP_0960,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,pct_pixels_tmrt_ge_55,TP_0986,0.0,0.0,1,1,0.0,0.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0059,100.0,91.24,1,5,4.0,4.0,2.4,5.0
12,pct_pixels_tmrt_ge_55,TP_0088,100.0,35.160000000000004,1,14,13.0,13.0,7.0,13.0
12,pct_pixels_tmrt_ge_55,TP_0986,99.56,99.56,3,1,-2.0,2.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0366,97.64,97.16,4,2,-2.0,2.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0565,94.28,94.28,5,3,-2.0,2.0,1.4,3.0
12,pct_pixels_tmrt_ge_55,TP_0960,92.04,91.48,6,4,-2.0,2.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0575,91.2,42.08,7,13,6.0,6.0,4.2,10.0
12,pct_pixels_tmrt_ge_55,TP_0627,89.0,89.0,8,6,-2.0,2.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0115,72.32,72.32,9,7,-2.0,2.0,1.4,3.0
12,pct_pixels_tmrt_ge_55,TP_0037,67.84,45.4,10,12,2.0,2.0,1.2,2.0
12,pct_pixels_tmrt_ge_55,TP_0098,63.0,60.52,11,8,-3.0,3.0,1.6,3.0
12,pct_pixels_tmrt_ge_55,TP_0301,56.6,56.6,12,9,-3.0,3.0,2.0,4.0
12,pct_pixels_tmrt_ge_55,TP_0326,55.44,54.28,13,10,-3.0,3.0,1.8,4.0
12,pct_pixels_tmrt_ge_55,TP_0676,52.92,47.68,14,11,-3.0,3.0,1.4,3.0
12,pct_pixels_tmrt_ge_55,TP_0409,24.48,23.92,15,16,1.0,1.0,0.2,1.0
12,pct_pixels_tmrt_ge_55,TP_0773,24.08,24.08,16,15,-1.0,1.0,0.4,1.0
12,pct_pixels_tmrt_ge_55,TP_0254,17.32,17.24,17,17,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0141,15.72,15.72,18,18,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0542,13.16,11.08,19,19,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0857,5.800000000000001,5.800000000000001,20,20,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0433,1.64,1.64,21,21,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0154,1.12,1.12,22,22,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0492,0.0,0.0,23,23,0.0,0.0,0.0,0.0
12,pct_pixels_tmrt_ge_55,TP_0835,0.0,0.0,23,23,0.0,0.0,0.0,0.0
