scenario,metric,top_k,cell_id,n_hours_in_top_k,hours_in_top_k,consistent_top_cell_rule
base,tmrt_max_c,6,TP_0542,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,6,TP_0676,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,6,TP_0773,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,3,TP_0301,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,3,TP_0326,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
base,tmrt_max_c,3,TP_0773,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0088,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0366,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0565,3,12;13;15,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0960,3,12;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,6,TP_0986,3,12;13;15,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,3,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_50,3,TP_0088,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,6,TP_0088,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,6,TP_0366,3,12;13;15,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,6,TP_0565,3,12;13;15,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,3,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
base,pct_pixels_tmrt_ge_55,3,TP_0088,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0366,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0627,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0960,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,3,TP_0366,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,3,TP_0565,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_mean_c,3,TP_0986,4,10;12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0366,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0627,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0960,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,3,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,3,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p75_c,3,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0301,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0627,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0960,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,3,TP_0301,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,3,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p90_c,3,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0059,3,10;12;13,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0301,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0326,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0565,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0773,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,3,TP_0301,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,3,TP_0773,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_p95_c,3,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0301,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0326,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0542,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0676,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0773,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,6,TP_0986,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,3,TP_0301,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,3,TP_0326,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,tmrt_max_c,3,TP_0773,4,10;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0366,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0565,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0627,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0960,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,6,TP_0986,4,12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,3,TP_0366,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,3,TP_0565,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_50,3,TP_0986,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0059,5,10;12;13;15;16,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0366,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0565,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0627,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0960,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,6,TP_0986,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,3,TP_0366,3,12;13;15,appears in top-k for at least 3 of 5 hours
overhead_as_canopy,pct_pixels_tmrt_ge_55,3,TP_0565,3,12;13;15,appears in top-k for at least 3 of 5 hours
