scenario,hour,metric_a,metric_b,top_k,top_cells_metric_a,top_cells_metric_b,overlap_count,jaccard_overlap,emphasis_pair
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_55,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0037,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,4,0.5,False
base,12,tmrt_p75_c,pct_pixels_tmrt_ge_55,3,TP_0565;TP_0986;TP_0059,TP_0059;TP_0088;TP_0986,2,0.5,False
base,12,tmrt_p90_c,tmrt_p95_c,6,TP_0301;TP_0986;TP_0037;TP_0565;TP_0059;TP_0088,TP_0301;TP_0773;TP_0986;TP_0037;TP_0565;TP_0326,4,0.5,True
base,12,tmrt_p90_c,tmrt_p95_c,3,TP_0301;TP_0986;TP_0037,TP_0301;TP_0773;TP_0986,2,0.5,True
base,12,tmrt_p90_c,tmrt_max_c,6,TP_0301;TP_0986;TP_0037;TP_0565;TP_0059;TP_0088,TP_0098;TP_0986;TP_0542;TP_0326;TP_0301;TP_0773,2,0.2,True
base,12,tmrt_p90_c,tmrt_max_c,3,TP_0301;TP_0986;TP_0037,TP_0098;TP_0986;TP_0542,1,0.2,True
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_40,6,TP_0301;TP_0986;TP_0037;TP_0565;TP_0059;TP_0088,TP_0059;TP_0088;TP_0986;TP_0627;TP_0366;TP_0565,4,0.5,False
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_40,3,TP_0301;TP_0986;TP_0037,TP_0059;TP_0088;TP_0986,1,0.2,False
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_45,6,TP_0301;TP_0986;TP_0037;TP_0565;TP_0059;TP_0088,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,4,0.5,False
base,12,tmrt_p90_c,pct_pixels_tmrt_ge_45,3,TP_0301;TP_0986;TP_0037,TP_0059;TP_0088;TP_0986,1,0.2,False
