cell_id,tmrt_mean_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,p90_rank_13_base,tail_class,mean_p90_minus_mean,mean_max_minus_p95,mean_pct_ge_50,mean_pct_ge_55,delta_tmrt_p90_c_mean_delta,delta_tmrt_p90_c_min_delta,delta_tmrt_mean_c_mean_delta,delta_pct_pixels_ge_50_mean_delta,delta_pct_pixels_ge_55_mean_delta,overhead_reduces_threshold_area_substantially,primary_role,secondary_roles,typology_label,replaced_cell_id,replacement_cell_id,human_qa_note,expected_role,informative_for_target_audit,consistency_with_expected_role,caveat
TP_0565,60.10262680053711,62.38699722290039,62.45024108886719,62.48262023925781,62.53916549682617,95.52,95.52,4.0,uniform_hot,2.6543876647949203,0.0494842529296875,64.83200000000001,55.864,0.0,0.0,-0.00624389648437496,-0.14399999999999977,0.0,False,core_continuity,confident_hot_anchor_continuity|school_gate_bus_stop_waiting_node|pedestrian_relevance_probe|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,school_gate_road_edge_hot_anchor,,,Passed quick human map sanity check; keep.,hot anchor,consistent,consistent,Legacy-anchor sanity only; not observed truth and not final risk interpretation.
TP_0986,60.70177459716797,62.36227035522461,62.53352355957031,62.57070541381836,62.6117057800293,99.84,99.84,2.0,uniform_hot,2.4492134094238267,0.05354766845703267,67.03200000000001,57.144000000000005,0.0,0.0,0.0,0.0,0.0,False,core_continuity,confident_hot_anchor_continuity|p90_p95_disagreement_probe|max_extreme_probe|threshold_area_probe|overhead_sensitivity_probe,low_rise_residential_null_control,,,Passed quick human map sanity check; keep.,hot anchor,consistent,consistent,Legacy-anchor sanity only; not observed truth and not final risk interpretation.
TP_0088,62.0717887878418,62.18822860717773,62.230098724365234,62.2422981262207,62.3037109375,99.96,99.96,6.0,uniform_hot,0.18332824707030965,0.06675262451172159,79.824,59.967999999999996,-1.9307968139648437,-2.347084045410156,-14.478656768798828,-59.34400000000001,-42.760000000000005,True,overhead_confounded_legacy_diagnostic,open_paved_hardscape|covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|threshold_area_probe|overhead_sensitivity_probe,overhead_confounded_transport_deck,,,Passed quick human map sanity check; keep.,shaded reference,partial,partial,Legacy-anchor sanity only; not observed truth and not final risk interpretation.
TP_0433,36.09662628173828,35.63285827636719,36.113311767578125,37.02426528930664,57.65642547607422,1.5599999999999998,1.44,21.0,max_only_extreme,0.017528533935548297,16.138918304443358,0.8959999999999999,0.6239999999999999,0.0,0.0,0.0,0.0,0.0,False,shaded_or_canopy_reference,street_canyon_wall_adjacent|water_edge_or_blue_green,tree_shaded_reference,,,Passed quick human map sanity check; keep.,overhead diagnostic,partial,partial,Legacy-anchor sanity only; not observed truth and not final risk interpretation.
TP_0575,59.44791793823242,61.99272918701172,62.07150268554688,62.09879302978516,62.158294677734375,91.52,91.52,7.0,uniform_hot,2.356533050537114,0.05879287719725994,68.728,54.488,-2.9030906677246096,-3.574405670166016,-10.629582977294922,-43.064,-34.04,True,open_paved_hardscape,covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|threshold_area_probe|overhead_sensitivity_probe,transport,TP_0916,TP_0575,Human QA replacement. TP_0916 remains an optional v10-epsilon legacy overhead-saturated diagnostic note only and is not in the frozen N24 run matrix.,TP_0916 replacement overhead diagnostic,consistent,consistent,Legacy-anchor sanity only; not observed truth and not final risk interpretation.
