cell_id,median_delta_tmrt_p90_core_hours_fd01,median_delta_tmrt_p90_core_hours_fd02,max_abs_rank_drift_core_hours,h10_rank_drift,sign_flip_count,top_k_presence_count,neutral_boundary_count,robust_priority_score,stability_class,notes,top3_core_presence_count,top5_core_presence_count,top10_core_presence_count,neutral_core_count,sign_flip_near_zero_count,sign_flip_non_neutral_count,meaningful_core_delta_count,strong_core_delta_count,h10_only_instability_flag,fd01_rank_summary,fd02_rank_summary,fd01_delta_summary,fd02_delta_summary
TP_0141,-0.909126,-0.932670,1,3,0,8,0,80,robust_priority,Core-hour priority is stable across both forcing days; h10 is not used as anchor evidence.,8,8,8,0,0,0,8,8,yes,h12=2; h13=2; h15=3; h16=3,h12=3; h13=2; h15=3; h16=3,h12=-0.660; h13=-0.822; h15=-1.036; h16=-0.997,h12=-0.938; h13=-0.990; h15=-0.847; h16=-0.927
TP_0857,-2.963661,-2.838631,0,0,0,8,0,80,robust_priority,Core-hour priority is stable across both forcing days; h10 is not used as anchor evidence.,8,8,8,0,0,0,8,8,no,h12=1; h13=1; h15=1; h16=1,h12=1; h13=1; h15=1; h16=1,h12=-2.143; h13=-2.973; h15=-3.415; h16=-2.955,h12=-2.992; h13=-3.307; h15=-2.481; h16=-2.686
TP_0433,-0.899854,-0.969952,1,8,0,8,0,77,robust_priority,Core-hour priority is stable across both forcing days; h10 is not used as anchor evidence.,8,8,8,0,0,0,8,7,yes,h12=3; h13=3; h15=2; h16=2,h12=2; h13=3; h15=2; h16=2,h12=-0.476; h13=-0.728; h15=-1.072; h16=-1.080,h12=-0.955; h13=-0.984; h15=-0.912; h16=-0.998
TP_0542,-0.499394,-0.561513,1,1,0,8,0,50,robust_priority,Core-hour priority is stable across both forcing days; h10 is not used as anchor evidence.,0,8,8,0,0,0,8,6,no,h12=5; h13=4; h15=5; h16=4,h12=4; h13=4; h15=4; h16=4,h12=-0.365; h13=-0.464; h15=-0.535; h16=-0.556,h12=-0.593; h13=-0.605; h15=-0.528; h16=-0.530
TP_0037,-0.411931,-0.488179,5,2,0,5,0,28,robust_priority,Core-hour priority is stable across both forcing days; h10 is not used as anchor evidence.,0,5,8,0,0,0,7,2,no,h12=10; h13=7; h15=6; h16=5,h12=5; h13=5; h15=5; h16=5,h12=-0.148; h13=-0.353; h15=-0.471; h16=-0.473,h12=-0.531; h13=-0.507; h15=-0.469; h16=-0.458
TP_0773,-0.345855,-0.438980,2,4,0,0,0,16,unstable_review,Instability is present; distinguish h10-only caveat from core-hour disagreement before use.,0,0,8,0,0,0,8,0,yes,h12=7; h13=9; h15=8; h16=7,h12=6; h13=7; h15=7; h16=7,h12=-0.261; h13=-0.310; h15=-0.381; h16=-0.416,h12=-0.496; h13=-0.451; h15=-0.427; h16=-0.400
TP_0059,-0.208569,-0.246855,2,6,0,0,0,10,unstable_review,Instability is present; distinguish h10-only caveat from core-hour disagreement before use.,0,0,3,0,0,0,7,0,yes,h12=11; h13=12; h15=11; h16=11,h12=10; h13=11; h15=9; h16=10,h12=-0.138; h13=-0.190; h15=-0.228; h16=-0.231,h12=-0.256; h13=-0.262; h15=-0.238; h16=-0.224
TP_0154,-0.352878,-0.275128,7,2,0,0,1,10,high_priority_unstable,Meaningful cooling evidence coexists with core-hour rank instability; review before anchoring.,0,0,7,0,0,0,8,0,no,h12=6; h13=8; h15=7; h16=8,h12=13; h13=10; h15=8; h16=8,h12=-0.269; h13=-0.327; h15=-0.460; h16=-0.379,h12=-0.217; h13=-0.287; h15=-0.263; h16=-0.332
TP_0575,-0.327592,-0.465652,6,3,0,0,0,10,high_priority_unstable,Meaningful cooling evidence coexists with core-hour rank instability; review before anchoring.,0,0,7,0,0,0,7,0,no,h12=13; h13=10; h15=9; h16=6,h12=7; h13=6; h15=6; h16=6,h12=-0.106; h13=-0.288; h15=-0.367; h16=-0.448,h12=-0.476; h13=-0.474; h15=-0.457; h16=-0.436
TP_0088,-0.209961,-0.221469,2,2,0,0,0,9,stable_neutral,Stable but not a robust priority anchor under the conservative F4 rule.,0,0,1,0,0,0,8,0,no,h12=9; h13=11; h15=13; h16=13,h12=11; h13=12; h15=11; h16=12,h12=-0.152; h13=-0.206; h15=-0.214; h16=-0.221,h12=-0.233; h13=-0.246; h15=-0.202; h16=-0.210
