run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55
v12_n24_base_TP_0575_h15,TP_0575,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,57.550575256347656,59.64694595336914,60.05707550048828,60.15033721923828,60.183109283447266,60.24355697631836,93.67999999999999,91.72,91.72,89.72
v12_n24_base_TP_0575_h16,TP_0575,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,49.06554412841797,50.64485549926758,51.060794830322266,51.15718078613281,51.185081481933594,51.251888275146484,90.96,90.8,69.19999999999999,0.0
v12_n24_overhead_as_canopy_TP_0575_h10,TP_0575,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,36.737552642822266,33.955894470214844,42.14024353027344,43.6960334777832,44.45736312866211,45.30972671508789,32.92,1.6400000000000001,0.0,0.0
v12_n24_overhead_as_canopy_TP_0575_h12,TP_0575,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.159061431884766,40.49394989013672,58.094970703125,59.71934509277344,60.63970947265625,61.537841796875,58.24,42.08,42.08,42.08
v12_n24_overhead_as_canopy_TP_0575_h13,TP_0575,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,47.86001968383789,41.4420166015625,57.510169982910156,59.15083694458008,60.338958740234375,61.404991149902344,67.84,45.800000000000004,45.800000000000004,43.88
v12_n24_overhead_as_canopy_TP_0575_h15,TP_0575,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,44.85420227050781,39.59217071533203,54.29121398925781,56.575931549072266,57.99043655395508,59.360477447509766,46.839999999999996,39.48,39.48,16.28
v12_n24_overhead_as_canopy_TP_0575_h16,TP_0575,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0575\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.8033447265625,36.63933563232422,45.65185546875,47.68716049194336,49.01500701904297,50.25974655151367,36.36,31.840000000000003,0.96,0.0
v12_n24_base_TP_0627_h10,TP_0627,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.66410446166992,44.239871978759766,45.272682189941406,45.73172378540039,45.89518737792969,46.177276611328125,64.60000000000001,39.44,0.0,0.0
v12_n24_base_TP_0627_h12,TP_0627,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,58.829811096191406,61.383583068847656,61.640193939208984,61.87651824951172,61.99498748779297,62.149940490722656,99.72,89.0,89.0,89.0
v12_n24_base_TP_0627_h13,TP_0627,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,59.252750396728516,61.01390838623047,61.54139709472656,61.889766693115234,62.04275131225586,62.26229476928711,99.72,94.32000000000001,94.32000000000001,94.32000000000001
v12_n24_base_TP_0627_h15,TP_0627,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,54.92466354370117,58.830162048339844,59.62833023071289,60.037662506103516,60.163536071777344,60.41565704345703,91.32000000000001,82.6,82.6,74.76
v12_n24_base_TP_0627_h16,TP_0627,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,45.93381881713867,49.65508270263672,50.532772064208984,50.97169494628906,51.113746643066406,51.3875732421875,74.64,73.32,44.68,0.0
v12_n24_overhead_as_canopy_TP_0627_h10,TP_0627,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.66408920288086,44.239871978759766,45.272682189941406,45.73172378540039,45.89518737792969,46.177276611328125,64.60000000000001,39.44,0.0,0.0
v12_n24_overhead_as_canopy_TP_0627_h12,TP_0627,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,58.82980728149414,61.383583068847656,61.640193939208984,61.87651824951172,61.99498748779297,62.149940490722656,99.72,89.0,89.0,89.0
v12_n24_overhead_as_canopy_TP_0627_h13,TP_0627,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,59.25273895263672,61.01390838623047,61.54139709472656,61.889766693115234,62.04275131225586,62.26229476928711,99.72,94.32000000000001,94.32000000000001,94.32000000000001
v12_n24_overhead_as_canopy_TP_0627_h15,TP_0627,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,54.92464828491211,58.830162048339844,59.62833023071289,60.034671783447266,60.163536071777344,60.41565704345703,91.32000000000001,82.6,82.6,74.76
v12_n24_overhead_as_canopy_TP_0627_h16,TP_0627,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0627\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,45.933799743652344,49.65508270263672,50.532772064208984,50.966793060302734,51.113746643066406,51.3875732421875,74.64,73.32,44.68,0.0
v12_n24_base_TP_0676_h10,TP_0676,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,36.950801849365234,33.6288948059082,42.200565338134766,44.87749481201172,46.0554313659668,46.59663391113281,36.16,8.4,0.0,0.0
v12_n24_base_TP_0676_h12,TP_0676,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,49.41328811645508,56.93743896484375,60.27763366699219,61.46115493774414,62.02975845336914,62.32976150512695,62.839999999999996,52.92,52.92,52.92
v12_n24_base_TP_0676_h13,TP_0676,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,49.67695236206055,56.75263977050781,58.89885711669922,61.38622283935547,62.210540771484375,62.60250473022461,65.0,55.720000000000006,55.67999999999999,55.44
v12_n24_base_TP_0676_h15,TP_0676,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,46.6435546875,41.21854019165039,55.39109802246094,59.42240905761719,60.45937728881836,60.842628479003906,57.879999999999995,47.44,47.4,28.76
v12_n24_base_TP_0676_h16,TP_0676,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.204898834228516,36.5766487121582,45.90538787841797,50.25367736816406,51.41358947753906,51.85166549682617,38.0,34.08,12.08,0.0
v12_n24_overhead_as_canopy_TP_0676_h10,TP_0676,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,36.451908111572266,33.467750549316406,41.764034271240234,44.87749481201172,46.0554313659668,46.59663391113281,31.44,8.4,0.0,0.0
v12_n24_overhead_as_canopy_TP_0676_h12,TP_0676,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,48.18342590332031,42.00438690185547,60.16908264160156,61.46115493774414,62.02975845336914,62.32976150512695,56.48,47.68,47.68,47.68
v12_n24_overhead_as_canopy_TP_0676_h13,TP_0676,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,48.481971740722656,54.996826171875,58.7650032043457,61.38622283935547,62.210540771484375,62.60250473022461,58.64,50.56,50.519999999999996,50.0
