prediction_source,dataset_label,target_col,ablation_model,wbgt_bin,n,mean_official,mean_predicted,mean_residual_official_minus_pred,MAE,bias,underprediction_rate_residual_gt_0,severe_underprediction_count_residual_ge_1_0,severe_underprediction_count_residual_ge_1_5
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,<29,7852,26.142638818135506,26.50017905425336,-0.35754023611784863,0.8224046970354814,-0.35754023611784863,0.3990066225165563,544,133
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,29-30,630,29.473492063492063,29.03840887157787,0.43508319191419276,1.1375502608604866,0.43508319191419276,0.6015873015873016,227,151
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,30-31,795,30.452704402515725,29.58780854289472,0.8648958596210035,1.1270258391161363,0.8648958596210035,0.7433962264150943,344,231
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,31-32,722,31.395983379501388,30.236759772667206,1.159223606834178,1.255972490706581,1.159223606834178,0.8614958448753463,357,236
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,32-33,355,32.351549295774646,30.494263585373247,1.8572857104013987,1.8596503137843332,1.8572857104013987,0.9915492957746479,275,201
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,>=33,119,33.38655462184874,30.801106664270435,2.5854479575783054,2.5854479575783054,2.5854479575783054,1.0,118,100
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,<29,7852,26.142638818135506,26.73909615720208,-0.5964573390665737,1.0718549949535527,-0.5964573390665737,0.28820682628629646,719,398
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,29-30,630,29.473492063492063,28.52452256298774,0.9489695005043205,1.1337120954066353,0.9489695005043205,0.7793650793650794,277,177
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,30-31,795,30.452704402515725,28.88826205517778,1.5644423473379425,1.5838254754995824,1.5644423473379425,0.969811320754717,581,400
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,31-32,722,31.395983379501388,29.409940066883433,1.9860433126179533,1.9906106275378754,1.9860433126179533,0.9916897506925207,621,509
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,32-33,355,32.351549295774646,29.603236871451095,2.748312424323552,2.748312424323552,2.748312424323552,1.0,347,324
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,>=33,119,33.38655462184874,29.73024907609643,3.656305545752311,3.656305545752311,3.656305545752311,1.0,119,118
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,<29,7852,26.142638818135506,26.556846133412584,-0.4142073152770796,0.8427877600403239,-0.4142073152770796,0.3634742740703006,507,195
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,29-30,630,29.473492063492063,28.860243403914026,0.6132486595780365,1.3015483199943991,0.6132486595780365,0.638095238095238,252,177
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,30-31,795,30.452704402515725,29.347926086007995,1.1047783165077294,1.367280548342905,1.1047783165077294,0.7748427672955975,415,307
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,31-32,722,31.395983379501388,30.050761690653065,1.34522168884832,1.4377625122092335,1.34522168884832,0.8628808864265928,400,297
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,32-33,355,32.351549295774646,30.37791141833618,1.973637877438468,1.9787241773823367,1.973637877438468,0.9859154929577465,292,236
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,>=33,119,33.38655462184874,30.746691114792377,2.6398635070563605,2.6398635070563605,2.6398635070563605,1.0,118,106
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,<29,7852,26.142638818135506,26.669403649378015,-0.5267648312425091,1.0206773378220124,-0.5267648312425091,0.3269230769230769,750,336
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,29-30,630,29.473492063492063,28.754141822322605,0.7193502411694574,0.9636112344262245,0.7193502411694574,0.6936507936507936,193,128
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,30-31,795,30.452704402515725,29.136053096646215,1.3166513058695102,1.326453252028234,1.3166513058695102,0.9723270440251572,468,280
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,31-32,722,31.395983379501388,29.60965383605712,1.786329543444261,1.7890686246610614,1.786329543444261,0.9958448753462604,632,450
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,32-33,355,32.351549295774646,29.804372885371325,2.5471764104033197,2.5471764104033197,2.5471764104033197,1.0,352,335
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,>=33,119,33.38655462184874,29.888451275559188,3.498103346289547,3.498103346289547,3.498103346289547,1.0,119,118
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,<29,7852,26.142638818135506,26.492049213436918,-0.3494103953014098,0.8127767276224224,-0.3494103953014098,0.4030820173204279,523,129
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,29-30,630,29.473492063492063,29.117011680771988,0.35648038272007104,1.0847240813362529,0.35648038272007104,0.5888888888888889,210,131
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,30-31,795,30.452704402515725,29.627053499283587,0.8256509032321345,1.0864220114322338,0.8256509032321345,0.7270440251572327,334,222
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,31-32,722,31.395983379501388,30.234736573929542,1.1612468055718428,1.2375468386496689,1.1612468055718428,0.8739612188365651,348,232
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,32-33,355,32.351549295774646,30.45371242786692,1.897836867907732,1.8979634419646239,1.897836867907732,0.9971830985915493,278,200
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,>=33,119,33.38655462184874,30.76512903496104,2.621425586887704,2.621425586887704,2.621425586887704,1.0,118,104
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,<29,7852,26.142638818135506,26.502850096170633,-0.3602112780351264,0.8355351930518657,-0.3602112780351264,0.40180845644421803,578,185
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,29-30,630,29.473492063492063,29.056122402061725,0.4173696614303412,1.07500839503613,0.4173696614303412,0.6190476190476191,199,139
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,30-31,795,30.452704402515725,29.600573224350082,0.8521311781656401,1.0772339553345907,0.8521311781656401,0.7610062893081762,336,212
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,31-32,722,31.395983379501388,30.22079637947036,1.1751870000310294,1.245652068174085,1.1751870000310294,0.8933518005540166,366,236
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,32-33,355,32.351549295774646,30.43805873148027,1.9134905642943765,1.913797902906337,1.9134905642943765,0.9971830985915493,289,213
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,>=33,119,33.38655462184874,30.69870043823799,2.6878541836107535,2.6878541836107535,2.6878541836107535,1.0,119,108
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,<29,8320,26.086908052884613,26.38419617038143,-0.29728811749681305,0.7848650992671555,-0.29728811749681305,0.4143028846153846,590,175
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,29-30,741,29.513079172289697,28.923342124119493,0.5897370481702027,0.9568851184159479,0.5897370481702027,0.6882591093117408,261,145
