validation_scheme,dataset_label,target_col,ablation_model,MAE,MAE_loso,delta_MAE_vs_loso,RMSE,RMSE_loso,delta_RMSE_vs_loso,fixed_31_recall,fixed_31_recall_loso,delta_fixed_31_recall_vs_loso,fixed_31_F1,fixed_31_F1_loso,delta_fixed_31_F1_vs_loso,MAE_official_ge_31,MAE_official_ge_31_loso,delta_MAE_official_ge_31_vs_loso
blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,1.0719008741462956,1.0101392479223916,0.06176162622390402,1.4974846852228412,1.3902008275262412,0.10728385769659998,0.2725752508361204,0.2767558528428093,-0.004180602006688905,0.3696145124716554,0.3846600813480534,-0.015045568876398019,1.7945350636610793,1.7179392760246683,0.07659578763641095
blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,1.0859240519986386,0.9541575781352172,0.13176647386342144,1.5136298615297448,1.3129716506986082,0.20065821083113655,0.2516722408026756,0.270066889632107,-0.018394648829431426,0.36156156156156155,0.4022415940224159,-0.04068003246085433,1.7111026549184076,1.58746964598923,0.12363300892917772
blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,1.116238455253714,0.9365263076352396,0.17971214761847432,1.575375862316184,1.2726708251248726,0.30270503719131137,0.27842809364548493,0.3018394648829431,-0.02341137123745818,0.38166189111747845,0.432594367884961,-0.050932476767482526,1.6818717637639302,1.5712671272927583,0.11060463647117191
blocked_date_cv,hourly_max,official_wbgt_c_max,L1_full_dynamic,1.128556389650807,0.9495674777234262,0.17898891192738087,1.587806546110531,1.2978252969043718,0.2899812492061593,0.298494983277592,0.2968227424749164,0.0016722408026755842,0.39799331103678937,0.4251497005988023,-0.02715638956201294,1.6825298580010362,1.5674383834744214,0.11509147452661472
blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_weather,1.2166621730523177,1.1733212394286576,0.043340933623660094,1.5631953825955363,1.500839832960831,0.06235554963470524,0.005852842809364548,0.011705685618729,-0.005852842809364453,0.011570247933884295,0.0230073952341824,-0.011437147300298104,2.307512026387943,2.1841383536011048,0.1233736727868382
blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_only,1.2833278939355859,1.2639699644003983,0.019357929535187557,1.6175692556594492,1.5920730278644533,0.02549622779499594,0.03595317725752508,0.0426421404682274,-0.006688963210702323,0.06896551724137931,0.0812749003984063,-0.012309383157026996,2.459796660692824,2.381247611757301,0.07854904893552295
blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,0.9918318601373224,0.9411693959472748,0.05066246419004761,1.3794130156485278,1.2882408768774891,0.09117213877103869,0.04654895666131621,0.0754414125200642,-0.028892455858747987,0.0841799709724238,0.1340941512125534,-0.049914180240129585,2.039681634891792,1.9516060349932784,0.08807559989851343
blocked_date_cv,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,1.01263452392123,0.8947835763217948,0.11785094759943515,1.4038340354730154,1.229108122241412,0.17472591323160347,0.024077046548956663,0.0722311396468699,-0.04815409309791324,0.044444444444444446,0.1304347826086956,-0.08599033816425114,1.993997715389944,1.8627368649486729,0.13126085044127112
blocked_date_cv,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,1.0430166191373784,0.8775680409295555,0.16544857820782288,1.4616684466284213,1.196626546752415,0.26504189987600624,0.014446227929373997,0.0979133226324237,-0.0834670947030497,0.02674591381872214,0.1715893108298171,-0.14484339701109497,1.9687911269057647,1.8399546424649609,0.12883648444080387
blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,1.0545083556058834,0.8887399827873737,0.16576837281850976,1.4746891106364561,1.2158376615926636,0.25885144904379254,0.048154093097913325,0.0963081861958266,-0.04815409309791327,0.08207934336525309,0.1678321678321678,-0.08575282446691472,1.946796794814817,1.8196607514600356,0.12713604335478146
blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,1.1046042521651775,1.0643330943994316,0.04027115776574597,1.4302972645540881,1.3693831833991574,0.06091408115493069,0.0,0.0,0.0,,,,2.6071780225291663,2.472965755431164,0.13421226709800216
blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_only,1.1507491990761374,1.1327835129860688,0.017965686090068544,1.4697465468430637,1.444156755911462,0.02558979093160163,0.0,0.0016051364365971,-0.0016051364365971,,0.0032051282051282,,2.7199276735880034,2.6326423985462464,0.08728527504175698
future_holdout_last_block,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,0.888717689492761,0.9541575781352172,-0.0654398886424562,1.1977194635235633,1.3129716506986082,-0.11525218717504493,0.3652694610778443,0.270066889632107,0.0952025714457373,0.49593495934959353,0.4022415940224159,0.09369336532717765,1.1647187557854175,1.58746964598923,-0.4227508902038124
future_holdout_last_block,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,0.9370049059115586,0.9365263076352396,0.00047859827631901997,1.2361637159672831,1.2726708251248726,-0.03650710915758948,0.3383233532934132,0.3018394648829431,0.03648388841047007,0.45748987854251016,0.432594367884961,0.02489551065754919,1.2201981208729604,1.5712671272927583,-0.3510690064197979
future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_full_dynamic,0.937366466086882,0.9495674777234262,-0.01220101163654419,1.258317392359241,1.2978252969043718,-0.039507904545130756,0.46107784431137727,0.2968227424749164,0.16425510183646086,0.555956678700361,0.4251497005988023,0.13080697810155872,1.0904292899037746,1.5674383834744214,-0.4770090935706468
future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_radiation,0.9444754296997384,1.0101392479223916,-0.06566381822265321,1.2912588310240973,1.3902008275262412,-0.09894199650214386,0.2844311377245509,0.2767558528428093,0.007675284881741629,0.40598290598290604,0.3846600813480534,0.021322824634852633,1.350667636073261,1.7179392760246683,-0.3672716399514073
future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_weather,1.1307336365308371,1.1733212394286576,-0.04258760289782049,1.4219147748625176,1.500839832960831,-0.0789250580983134,0.020958083832335328,0.011705685618729,0.009252398213606327,0.04034582132564841,0.0230073952341824,0.01733842609146601,1.841140397950556,2.1841383536011048,-0.3429979556505487
future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_only,1.2529734537746016,1.2639699644003983,-0.010996510625796763,1.5559139015606458,1.5920730278644533,-0.036159126303807465,0.03293413173652695,0.0426421404682274,-0.009708008731700454,0.06321839080459771,0.0812749003984063,-0.018056509593808598,2.0738434868440567,2.381247611757301,-0.3074041249132442
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,0.8501340464382993,0.8947835763217948,-0.044649529883495576,1.1465242492331318,1.229108122241412,-0.08258387300828018,0.033707865168539325,0.0722311396468699,-0.03852327447833058,0.06417112299465241,0.1304347826086956,-0.06626365961404318,1.4434583321282388,1.8627368649486729,-0.41927853282043404
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,0.8964374662855188,0.8887399827873737,0.007697483498145141,1.2101178777067203,1.2158376615926636,-0.005719783885943297,0.06741573033707865,0.0963081861958266,-0.028892455858747945,0.11707317073170732,0.1678321678321678,-0.05075899710046049,1.320782447195705,1.8196607514600356,-0.49887830426433055
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,0.8977130135351232,0.8775680409295555,0.02014497260556769,1.1902301509887834,1.196626546752415,-0.006396395763631713,0.0,0.0979133226324237,-0.0979133226324237,,0.1715893108298171,,1.5198449323791026,1.8399546424649609,-0.3201097100858583
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,0.8978644451765008,0.9411693959472748,-0.04330495077077401,1.219159309958872,1.2882408768774891,-0.06908156691861711,0.0056179775280898875,0.0754414125200642,-0.06982343499197431,0.01111111111111111,0.1340941512125534,-0.12298304010144227,1.6416195673779665,1.9516060349932784,-0.3099864676153119
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,1.0345560910751024,1.0643330943994316,-0.0297770033243292,1.310557747587451,1.3693831833991574,-0.058825435811706406,0.0,0.0,0.0,,,,2.130076217346456,2.472965755431164,-0.34288953808470835
future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_only,1.1396502910175013,1.1327835129860688,0.00686677803143243,1.4286514432211306,1.444156755911462,-0.015505312690331507,0.0,0.0016051364365971,-0.0016051364365971,,0.0032051282051282,,2.3430279734592165,2.6326423985462464,-0.28961442508702984
