prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S142,388,1.2308286781368492,0.5793775821277318,84,32,0.16666666666666666,0.2857142857142857,2.931666347235129,2.641619006502822
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S137,388,1.1800722686449443,0.6961306226202344,77,26,0.16883116883116883,0.28260869565217395,2.761121251245702,2.4920426078906694
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S139,388,1.1349028052563577,-0.7656986172202389,8,0,0.25,0.4,0.7298399431729994,0.8410519004106431
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S135,388,1.1331289654095975,0.13562546854518237,69,14,0.2753623188405797,0.41304347826086957,2.2446963377568894,2.0485152025486655
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S128,388,1.0524971664042981,0.13594024440405145,57,9,0.22807017543859648,0.3513513513513513,2.058171043671216,1.9980761740017141
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S125,388,1.0336245434777902,0.47412239894713537,52,1,0.36538461538461536,0.5,1.8348291083510213,1.2897425607485073
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S141,388,1.007987369596871,0.26612613584372696,53,6,0.22641509433962265,0.34285714285714286,2.0081108029795716,1.8266490683736174
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S187,388,1.0079735334133633,-0.12062759743086982,47,1,0.23404255319148937,0.36065573770491804,1.618929239450561,1.4265018078904468
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S147,388,0.9597357547686878,-0.0849813079684167,55,4,0.21818181818181817,0.3582089552238806,1.4883544771016277,1.6841518822905577
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S143,388,0.9438602976975733,0.1541217829029297,54,6,0.35185185185185186,0.46913580246913583,1.589969089960352,1.2084157338249866
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S150,388,0.9431323462333782,-0.2739993854235572,34,1,0.29411764705882354,0.4166666666666667,1.2896139510888058,1.1826725871691892
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S151,388,0.9378649860259177,-0.2054360163562564,58,3,0.3448275862068966,0.5000000000000001,1.1961309815132617,1.3029647817663155
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S149,388,0.9343450440418123,-0.5155335173608458,31,0,0.3225806451612903,0.41666666666666663,0.688603829646836,0.9036411198684117
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S132,388,0.914185139275201,0.3629979663133092,45,2,0.37777777777777777,0.5074626865671642,1.6605024842924145,1.0817455515930947
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S127,388,0.9067667047502873,0.21038182106317257,56,2,0.17857142857142858,0.29411764705882354,1.6935309687779232,1.4588672013731017
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S126,388,0.904869735089795,-0.048802541038621534,38,1,0.34210526315789475,0.44067796610169496,1.5326274838565457,1.415077230235153
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S144,388,0.8926514279402066,0.04439189248300547,44,5,0.25,0.38596491228070173,1.405086943610921,1.5676473406053362
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S140,388,0.8841029346034452,-0.2290344460397142,27,0,0.5555555555555556,0.6122448979591836,1.1656486773049608,0.49873410323396244
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S146,388,0.8838628616786119,-0.3187747521159679,29,0,0.6206896551724138,0.7200000000000001,0.9380047420638019,0.6943133960776107
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S148,388,0.8799084564209201,-0.5065080294456504,21,0,0.38095238095238093,0.42105263157894735,0.6694421725697348,0.7039068238078349
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,S180,388,0.8773630107742122,-0.09963752376841124,47,1,0.3404255319148936,0.4705882352941176,1.2472459686463415,1.0935456884099892
