prediction_source,dataset_label,target_col,ablation_model,threshold_name,threshold_c,TP,FP,TN,FN,precision,recall,F1,predicted_positive_count,official_positive_count
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,fixed_31,31.0,355,119,9158,841,0.7489451476793249,0.2968227424749164,0.42514970059880236,474,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,fixed_31,31.0,51,8,9269,1145,0.864406779661017,0.042642140468227424,0.08127490039840637,59,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,fixed_31,31.0,331,194,9083,865,0.6304761904761905,0.27675585284280935,0.3846600813480534,525,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,fixed_31,31.0,14,7,9270,1182,0.6666666666666666,0.011705685618729096,0.023007395234182416,21,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,fixed_31,31.0,361,112,9165,835,0.7632135306553911,0.30183946488294316,0.43259436788496103,473,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,fixed_31,31.0,323,87,9190,873,0.7878048780487805,0.270066889632107,0.40224159402241594,410,1196
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,fixed_33,33.0,0,0,10354,119,,0.0,,0,119
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,fixed_31,31.0,60,32,9818,563,0.6521739130434783,0.09630818619582665,0.16783216783216784,92,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,fixed_31,31.0,1,0,9850,622,1.0,0.0016051364365971107,0.0032051282051282046,1,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,fixed_31,31.0,47,31,9819,576,0.6025641025641025,0.0754414125200642,0.13409415121255347,78,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,fixed_31,31.0,0,0,9850,623,,0.0,,0,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,fixed_31,31.0,61,27,9823,562,0.6931818181818182,0.09791332263242375,0.17158931082981718,88,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,fixed_31,31.0,45,22,9828,578,0.6716417910447762,0.07223113964686999,0.13043478260869565,67,623
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,fixed_33,33.0,0,0,10443,30,,0.0,,0,30
