prediction_source,dataset_label,target_col,ablation_model,regime_type,regime_value,n,MAE,bias,official_ge_31_count,fixed_31_recall,fixed_31_F1,residual_mean
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,shortwave_radiation,q2,5238,0.9640630183870228,-0.00254501478741873,597,0.30318257956448913,0.436670687575392,-0.00254501478741873
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,shortwave_radiation,q3,2612,0.9387683100019882,-0.04172830665764842,292,0.273972602739726,0.3931203931203931,-0.04172830665764842
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,shortwave_radiation,q4_high,2623,0.9313744865272678,0.03071978194134953,307,0.30618892508143325,0.4331797235023041,0.03071978194134953
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,shortwave_radiation,q2,5238,1.2810458226012331,-0.009309215448361063,597,0.04522613065326633,0.0861244019138756,-0.009309215448361063
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,shortwave_radiation,q3,2612,1.2512186000456915,-0.0015763348313397095,292,0.03767123287671233,0.0718954248366013,-0.0015763348313397095
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,shortwave_radiation,q4_high,2623,1.2425682177128372,0.021255442046576877,307,0.04234527687296417,0.08074534161490682,0.021255442046576877
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,shortwave_radiation,q2,5238,1.0171491640928167,0.003547222224448157,597,0.27638190954773867,0.38551401869158874,0.003547222224448157
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,shortwave_radiation,q3,2612,0.9974861632548214,-0.02834865933975351,292,0.2705479452054795,0.3788968824940049,-0.02834865933975351
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,shortwave_radiation,q4_high,2623,1.0087408172136634,0.020507506277089266,307,0.28338762214983715,0.38839285714285715,0.020507506277089266
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,shortwave_radiation,q2,5238,1.1792611181299582,-0.012607665282550353,597,0.01340033500837521,0.02622950819672131,-0.012607665282550353
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,shortwave_radiation,q3,2612,1.1761006567598744,-0.03111467443140092,292,0.010273972602739725,0.020270270270270268,-0.03111467443140092
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,shortwave_radiation,q4_high,2623,1.1586918369480819,0.046257460854001696,307,0.009771986970684038,0.019292604501607715,0.046257460854001696
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,shortwave_radiation,q2,5238,0.951593876562392,-0.002836146395106175,597,0.304857621440536,0.43855421686746987,-0.002836146395106175
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,shortwave_radiation,q3,2612,0.9228213478252887,-0.036963270486169646,292,0.2876712328767123,0.4148148148148148,-0.036963270486169646
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,shortwave_radiation,q4_high,2623,0.9200846107168899,0.027796572311748098,307,0.30944625407166126,0.4377880184331797,0.027796572311748098
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,shortwave_radiation,q2,5220,0.965893300453206,-0.0012408035162210275,595,0.2672268907563025,0.4020227560050568,-0.0012408035162210275
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,shortwave_radiation,q3,2630,0.9453091247914166,-0.045142404444163974,294,0.2755102040816326,0.40601503759398494,-0.045142404444163974
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,shortwave_radiation,q4_high,2623,0.9396745288764656,0.032344090145023915,307,0.2703583061889251,0.3990384615384615,0.032344090145023915
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,shortwave_radiation,q1_low,5238,0.9063957904145268,0.0009903718019170205,319,0.10658307210031348,0.18528610354223435,0.0009903718019170205
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,shortwave_radiation,q3,2622,0.8731078512141796,-0.04610111225457094,150,0.06666666666666667,0.1183431952662722,-0.04610111225457094
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,shortwave_radiation,q4_high,2613,0.8690332581926121,0.02959699142594579,154,0.1038961038961039,0.17877094972067037,0.02959699142594579
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,shortwave_radiation,q1_low,5238,1.1535161673252143,-0.003696539803598831,319,0.003134796238244514,0.00625,-0.003696539803598831
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,shortwave_radiation,q3,2622,1.1176668933031013,-0.012502048530565,150,0.0,,-0.012502048530565
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,shortwave_radiation,q4_high,2613,1.1063916773107145,0.021116208793891734,154,0.0,,0.021116208793891734
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,shortwave_radiation,q1_low,5238,0.953434105385963,0.007023792039381827,319,0.0877742946708464,0.15469613259668508,0.007023792039381827
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,shortwave_radiation,q3,2622,0.9234295592384155,-0.03444045729019278,150,0.04,0.07272727272727272,-0.03444045729019278
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,shortwave_radiation,q4_high,2613,0.9343845906701145,0.01989242241011608,154,0.08441558441558442,0.14942528735632185,0.01989242241011608
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,shortwave_radiation,q1_low,5238,1.0753569825056966,-0.007054116447195551,319,0.0,,-0.007054116447195551
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,shortwave_radiation,q3,2622,1.0603474579140584,-0.0372836979947919,150,0.0,,-0.0372836979947919
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,shortwave_radiation,q4_high,2613,1.046234056115479,0.04372319323345481,154,0.0,,0.04372319323345481
