prediction_source,dataset_label,target_col,ablation_model,hour_sgt,n,MAE,bias,official_ge_31_count,recall_at_31,mean_residual
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,0,432,0.6084906704312204,0.41451368466420313,0,,0.41451368466420313
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,1,432,0.5325475792803217,0.20882118219724458,0,,0.20882118219724458
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,2,459,0.5501214890971579,-0.030167556149875797,0,,-0.030167556149875797
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,3,432,0.5840076643048593,-0.2845272010822023,0,,-0.2845272010822023
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,4,432,0.6625757471957948,-0.33731163056842195,0,,-0.33731163056842195
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,5,432,0.7171116723188439,-0.5015849679004566,0,,-0.5015849679004566
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,6,432,0.7777281964454054,-0.5782797778507179,0,,-0.5782797778507179
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,7,432,0.6632307651960923,-0.20708727969864807,0,,-0.20708727969864807
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,8,432,1.2622163807362403,0.914304972599352,5,0.0,0.914304972599352
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,9,432,1.458884167808435,0.9489049565597532,61,0.0,0.9489049565597532
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,10,432,1.264032493349981,0.2688688825190227,123,0.0,0.2688688825190227
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,11,431,1.3211535333109372,-0.26713609054127235,180,0.26666666666666666,-0.26713609054127235
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,12,431,1.3519724013092405,-0.393770843276491,223,0.5829596412556054,-0.393770843276491
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,13,431,1.6340903043886605,-0.3953014852275031,208,0.5240384615384616,-0.3953014852275031
