cell_id,sunlit_hot_pocket_proxy_frac,open_high_svf_low_shade_frac,proxy_method,feature_version
TP_0197,0.2556513770079326,0.2556513770079326,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0199,0.004794182734560133,0.004794182734560133,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0206,0.009637867105748857,0.009637867105748857,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0207,0.3382920589023142,0.3382920589023142,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0208,0.3160043905319247,0.3160043905319247,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0212,0.04890771654160503,0.04890771654160503,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0215,0.2198982400723587,0.2198982400723587,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0218,0.1586389834377046,0.1586389834377046,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0221,0.007567895204761879,0.007567895204761879,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0226,0.20873872936987567,0.20873872936987567,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0227,0.06174553408993901,0.06174553408993901,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0230,0.6212372680417958,0.6212372680417958,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0233,0.2196296447843373,0.2196296447843373,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0234,0.6253296915971241,0.6253296915971241,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0236,0.5687728320452254,0.5687728320452254,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0237,0.4567248253514525,0.4567248253514525,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0245,0.5344396612140467,0.5344396612140467,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0248,0.11193010019265792,0.11193010019265792,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0254,0.015347756654779885,0.015347756654779885,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0255,0.020504680935359867,0.020504680935359867,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0256,0.0008455772401475081,0.0008455772401475081,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0257,0.08643102649881747,0.08643102649881747,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0263,0.2846708362492276,0.2846708362492276,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0276,0.18914133224995386,0.18914133224995386,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0277,0.02628495733873713,0.02628495733873713,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
