cell_id,neighbourhood_shade_mean,neighbourhood_overhead_frac,neighbourhood_open_frac,neighbourhood_context_radius_m,neighbourhood_context_source_status,feature_version
TP_0002,0.24784172634948548,0.014733470657346943,0.8024506323239355,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0003,0.38645185392938575,0.003678972454625858,0.7505411493986154,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0005,0.4351289194811922,0.007873784406459642,0.7367906422730751,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0006,0.499862144480558,0.026588508662777538,0.6814790055713664,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0010,0.48619648417269334,0.018157346957012484,0.7190691118269639,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0018,0.502459234386347,0.01620304733945244,0.7786998367529709,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0020,0.52626813729687,0.010403680702918333,0.7998551222902434,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0023,0.6044804157876349,0.02163066435263046,0.8316943381850556,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0024,0.5568872147817652,0.024861153144661707,0.8217483977676618,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0028,0.38678758298340404,0.0,0.7373316674970255,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0037,0.5913915653872146,0.018617738044409228,0.7680043677142034,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0040,0.49434735870029306,0.008515906645048154,0.7749750949225264,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0041,0.4510913776541178,0.009538853015929322,0.7705010425988131,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
TP_0042,0.43523729010018125,0.011450318233416329,0.7787689252025346,250.0,CENTROID_RADIUS_CONTEXT,b86g_v0_1
