cell_id,shade_corridor_continuity_idx,max_connected_shade_length_m,shade_gap_count,shade_corridor_source_status,feature_version
TP_0002,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0003,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0005,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0006,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0010,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0018,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0020,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0023,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0024,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0028,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0037,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0040,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0041,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0042,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0045,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0049,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0050,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
TP_0052,,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,b86g_v0_1
