cell_id,typology_geometry_class,typology_shade_interaction,typology_support_count,feature_version
TP_0002,residential|shade_high|overhead_low|open_mid|built_mid,0.11926452470565319,511,b86g_v0_1
TP_0003,transport|shade_low|overhead_low|open_high|built_mid,-0.4186261797358403,182,b86g_v0_1
TP_0005,residential|shade_high|overhead_low|open_mid|built_mid,0.19905389503109083,511,b86g_v0_1
TP_0006,civic_institutional|shade_mid|overhead_low|open_mid|built_high,0.08084391862735163,132,b86g_v0_1
TP_0010,residential|shade_mid|overhead_low|open_mid|built_mid,0.0003125755707772404,511,b86g_v0_1
TP_0018,transport|shade_mid|overhead_mid|open_high|built_low,0.04962350357411027,182,b86g_v0_1
TP_0020,residential|shade_high|overhead_low|open_high|built_mid,0.1037957183858167,511,b86g_v0_1
TP_0023,residential|shade_high|overhead_mid|open_high|built_low,0.12415348401827342,511,b86g_v0_1
TP_0024,transport|shade_mid|overhead_low|open_high|built_low,0.017352540801549188,182,b86g_v0_1
TP_0028,residential|shade_low|overhead_low|open_mid|built_mid,-0.3648260290807347,511,b86g_v0_1
TP_0037,other|shade_high|overhead_high|open_mid|built_high,-0.05686344481766348,26,b86g_v0_1
TP_0040,residential|shade_mid|overhead_low|open_high|built_mid,-0.2199710846057727,511,b86g_v0_1
TP_0041,residential|shade_low|overhead_low|open_mid|built_mid,-0.2821074616569524,511,b86g_v0_1
TP_0042,residential|shade_low|overhead_low|open_high|built_mid,-0.3899674815961421,511,b86g_v0_1
TP_0045,residential|shade_high|overhead_mid|open_high|built_mid,0.2546853217649455,511,b86g_v0_1
TP_0049,residential|shade_mid|overhead_low|open_mid|built_mid,-0.2087275088614921,511,b86g_v0_1
TP_0050,residential|shade_mid|overhead_mid|open_high|built_mid,0.06722121372219447,511,b86g_v0_1
TP_0052,residential|shade_mid|overhead_mid|open_high|built_mid,0.05233115939701072,511,b86g_v0_1
TP_0053,residential|shade_mid|overhead_mid|open_high|built_mid,0.02173506817437032,511,b86g_v0_1
TP_0056,civic_institutional|shade_mid|overhead_low|open_mid|built_mid,0.11908856565433656,132,b86g_v0_1
TP_0059,open_paved_high_svf|shade_low|overhead_mid|open_high|built_low,0.0,1,b86g_v0_1
TP_0060,transport|shade_low|overhead_low|open_high|built_low,-0.3954435899706869,182,b86g_v0_1
TP_0063,residential|shade_high|overhead_low|open_high|built_mid,0.2320743496212615,511,b86g_v0_1
