cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0199,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0206,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0207,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0208,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0212,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0215,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0218,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0221,0.03654920782831007,0.6621233302267785,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0226,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0227,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0230,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0233,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0234,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0236,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0237,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0245,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0248,0.018327405487822857,0.024636084095672518,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0254,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0255,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0256,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0257,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0263,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0276,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0277,0.0067522613064832865,0.2045607030391693,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0278,0.021364734375084318,0.1280859374999999,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0285,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0286,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0293,0.006412857860459388,0.006606653015492789,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0300,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0301,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0313,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0318,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0319,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0320,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0326,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0337,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0344,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0346,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0349,0.00019641308170170632,0.00023053178603524,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0355,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0359,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0361,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0365,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0366,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0371,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
