cell_id,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,feature_version
TP_0945,14.0,7384.182697196407,527.4416212283148,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0946,8.0,5687.036342133706,710.8795427667133,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0947,1.0,43.71342706601639,43.71342706601639,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0948,2.0,1355.371846208307,677.6859231041535,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0954,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0960,2.0,127.79344646591125,63.89672323295562,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0963,2.0,102.80321748832117,51.40160874416058,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0967,3.0,223.56731261302644,74.52243753767549,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0968,13.0,737.4293960817026,56.725338160130974,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0969,6.0,3932.353888144168,655.3923146906947,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0972,14.0,8379.613800330575,598.5438428807554,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0973,29.0,8638.805627633921,297.8898492287559,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0974,11.0,7421.723541071515,674.7021400974104,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0978,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0983,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0984,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0985,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0986,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
