cell_id,canyon_axis_orientation_deg,height_roughness_iqr_m,height_asymmetry_idx,canyon_source_status,feature_version
TP_0002,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0003,,8.5,0.4047618854875292,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0005,,0.5,0.039999996800000256,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0006,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0010,,6.0,0.22222221399176983,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0018,,7.900000095367432,0.6583332864195122,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0020,,2.299999237060547,0.04259257767533277,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0023,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0024,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0028,,24.0,0.7999999733333342,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0037,,48.0,0.7999999866666669,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0040,,36.0,0.5999999900000001,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0041,,21.0,0.6999999766666675,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0042,,12.0,0.4999999791666675,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0045,,3.0,0.1666666574074079,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0049,,22.399999618530273,0.5530863966776266,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0050,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0052,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0053,,69.99999809265137,0.7945516289499355,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0056,,20.0,0.6666666444444451,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0059,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0060,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0063,,60.0,0.6249999934895835,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0065,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0066,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
TP_0067,,84.0,0.9333333229629631,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,b86g_v0_1
