candidate_id,dataset_label,target_col,raw_score_col,validation_scheme,calibration_method,event_target,official_event_threshold_c,fixed_score_threshold_c,n,official_positive_count,predicted_positive_count,TP,FP,TN,FN,precision,recall,F1,best_F1_threshold,best_F1_precision,best_F1_recall,best_F1,threshold_offset_ge31,threshold_offset_ge33
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,30.5,0.12863070539419086,0.2605042016806723,0.17222222222222222,,-2.5
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,28.5,0.4448838358872961,0.7525083612040134,0.5591798695246971,-2.5,
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,29.5,0.12648221343873517,0.2689075630252101,0.17204301075268816,,-3.5
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,83,1,1,0,484,82,1.0,0.012048192771084338,0.02380952380952381,28.3,0.4186046511627907,0.8674698795180723,0.5647058823529412,-2.6999999999999993,
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,30.4,0.2,0.375,0.26086956521739135,,-2.6000000000000014
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.0,0.4186046511627907,0.8674698795180723,0.5647058823529412,-3.0,
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,29.4,0.14285714285714285,0.375,0.20689655172413796,,-3.6000000000000014
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge31,31.0,31.0,10473,623,5,3,2,9848,620,0.6,0.004815409309791332,0.009554140127388535,28.9,0.31493001555209954,0.6500802568218299,0.4243059193294919,-2.1000000000000014,
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,30.4,0.046875,0.1,0.06382978723404256,,-2.6000000000000014
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,28.5,0.32231404958677684,0.6260032102728732,0.42553191489361697,-2.5,
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.6,0.046153846153846156,0.1,0.06315789473684211,,-3.3999999999999986
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,29.5,0.6451612903225806,0.4166666666666667,0.5063291139240507,-1.5,
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.8,0.14285714285714285,0.5,0.22222222222222224,,-3.1999999999999993
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,28.8,0.45,0.5625,0.5,-2.1999999999999993,
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.1,0.07142857142857142,0.5,0.125,,-3.8999999999999986
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge31,31.0,31.0,10473,1196,106,92,14,9263,1104,0.8679245283018868,0.07692307692307693,0.14132104454685102,29.2,0.4740444951511694,0.6948160535117057,0.5635808748728383,-1.8000000000000007,
