candidate_id,dataset_label,target_col,score_col,diagnostic_role,n,MAE,RMSE,bias,R2,p50_abs_error,p90_abs_error,p95_abs_error
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.2511490896476547,1.7087469671719788,-0.858720704763701,0.3317487876165548,0.8406747049973013,3.0759549987351695,3.670286039054002
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4767849195711276,2.0363983723059498,-1.1607674392847425,0.2284794949853166,0.9358633283541522,3.7279790552823537,4.342323476441544
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.477446913772895,2.037787316049703,-1.1663219052822085,0.22742669113328184,0.9358633283541522,3.7279790552823537,4.344612969555062
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.261782615612802,1.7265182481397603,-0.8761907669312667,0.3177766373755919,0.8440586426374068,3.1184264544371976,3.722123783416449
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.488951603216368,2.056331697929443,-1.1783051802992006,0.21330148430263374,0.9375280875448802,3.7662154656807476,4.390193442068482
k0.0035,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.4896836025099347,2.0577429110040923,-1.1838553876302393,0.21222132764857182,0.9375280875448802,3.7662154656807476,4.390193442068482
k0.0045,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.2511490896476547,1.7087469671719788,-0.858720704763701,0.3317487876165548,0.8406747049973013,3.0759549987351695,3.6702860390540035
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4767849195711276,2.0363983723059498,-1.1607674392847425,0.2284794949853166,0.9358633283541522,3.7279790552823546,4.342323476441544
k0.0045,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.477446913772895,2.037787316049703,-1.1663219052822085,0.22742669113328184,0.9358633283541522,3.7279790552823546,4.344612969555062
k0.0055,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.240678574091953,1.6912855091234111,-0.8412506425961355,0.34533654588744667,0.8379389190912505,3.0359883100566636,3.6169575421471523
k0.0055,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4647047413428034,2.016686730813377,-1.1432288339296346,0.24334331730098857,0.9378307618718011,3.686621927482882,4.305217736343617
k0.0055,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.46531832955237,2.0180531497257697,-1.148787817895723,0.24231761484381276,0.9375280875448802,3.686621927482882,4.30651237000821
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.230425286338842,1.674143568459344,-0.8237805804285698,0.3585399121882682,0.8379389190912505,2.998158394468675,3.573309947386923
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4527233111385291,1.9972045267933698,-1.1256872818490915,0.2578920672655952,0.9376026144610456,3.6410622522785663,4.264855391527514
k0.0065,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.4532942431237117,1.998547804688058,-1.1312516678014328,0.25689347908821225,0.9362719144061842,3.6410622522785663,4.267885799022718
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.2153969741759445,1.6490514985590565,-0.7975754871772214,0.3776242266956178,0.8338389041130654,2.939869515698497,3.5106155189298467
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4350700355082198,1.9684135431050362,-1.0993646234564831,0.27913377254158345,0.935543065705204,3.584943737609669,4.19343907250134
k0.0080,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.4355831210825163,1.9697247671567155,-1.104940211469742,0.27817306795927477,0.9349750035275086,3.585150020351996,4.1967219382141945
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,10473,1.2511490896476547,1.7087469671719788,-0.8587207047637012,0.3317487876165548,0.8406747049973013,3.0759549987351695,3.6702860390540035
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,10473,1.4767849195711276,2.0363983723059498,-1.1607674392847425,0.2284794949853166,0.9358633283541522,3.7279790552823546,4.342323476441544
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,10473,1.477446913772895,2.037787316049703,-1.1663219052822085,0.22742669113328184,0.9358633283541522,3.7279790552823546,4.344612969555062
