station_id,rows,existing_v09_proxy_bias,existing_v09_proxy_mae,reconstructed_from_v09_components_bias,reconstructed_from_v09_components_mae,stull_simple_globe_k0p0025_bias,stull_simple_globe_k0p0025_mae,stull_simple_globe_k0p0035_bias,stull_simple_globe_k0p0035_mae,stull_simple_globe_k0p0045_bias,stull_simple_globe_k0p0045_mae,stull_simple_globe_k0p0055_bias,stull_simple_globe_k0p0055_mae,stull_simple_globe_k0p0065_bias,stull_simple_globe_k0p0065_mae,no_radiation_sensitivity_tg_eq_tair_bias,no_radiation_sensitivity_tg_eq_tair_mae
S124,1497,-0.6822432618020199,1.02971710190436,-0.6822432618020201,1.02971710190436,-0.7165251260887747,1.0506198076077735,-0.6993841939453974,1.040059103267554,-0.6822432618020201,1.02971710190436,-0.6651023296586427,1.019542035583004,-0.6479613975152655,1.0096082422919668,-0.7593774564472191,1.0778402394054096
S125,1497,-1.2290411955491132,1.4954824223959227,-1.2290411955491132,1.4954824223959227,-1.2680743217808055,1.519361562772122,-1.2485577586649592,1.5072700596658637,-1.2290411955491132,1.4954824223959227,-1.2095246324332667,1.4837499185570666,-1.1900080693174206,1.472084768262321,-1.3168657295704216,1.5509499792383987
S126,1497,-0.773862984744413,1.145042544200962,-0.7738629847444131,1.145042544200962,-0.8093257744622431,1.167841538065988,-0.7915943796033281,1.1563849802407598,-0.7738629847444131,1.145042544200962,-0.756131589885498,1.1337539004709078,-0.7384001950265828,1.122689117651137,-0.8536542616095316,1.1972430160267655
S127,1497,-1.0972516386800368,1.3916399898411298,-1.0972516386800368,1.3916399898411298,-1.1318860402167559,1.413339880241204,-1.1145688394483964,1.4024460285186566,-1.0972516386800368,1.3916399898411298,-1.079934437911677,1.3809117104907742,-1.0626172371433176,1.3703514078504009,-1.1751790421376558,1.4421628463770673
S128,1497,-0.8791897983870238,1.3113590804215003,-0.8791897983870238,1.3113590804215003,-0.9157958083204276,1.3310729439687716,-0.8974928033537257,1.3211192815580621,-0.8791897983870238,1.3113590804215003,-0.8608867934203218,1.3016844512533186,-0.8425837884536199,1.2922894070360773,-0.9615533207371836,1.3575838467722507
S129,1497,-1.018721764232026,1.2825312186063997,-1.0187217642320263,1.2825312186064002,-1.0521831423623444,1.305084653721076,-1.0354524532971854,1.2937629680342275,-1.0187217642320263,1.2825312186064002,-1.0019910751668673,1.2713998855691668,-0.9852603861017082,1.2605840624004818,-1.094009865025243,1.334069920202067
S130,1497,-1.155383595176718,1.3431034002942202,-1.1553835951767182,1.3431034002942202,-1.1894594392787836,1.3659811317135282,-1.172421517227751,1.3544475296621648,-1.1553835951767182,1.3431034002942202,-1.1383456731256856,1.331954466026168,-1.1213077510746527,1.321123431035794,-1.2320542444063665,1.3958541583923831
S132,1497,-1.226843549013374,1.4385119060427076,-1.226843549013374,1.4385119060427076,-1.262017243780734,1.4622927816719982,-1.244430396397054,1.450327766713177,-1.226843549013374,1.4385119060427076,-1.209256701629694,1.426811742540653,-1.1916698542460138,1.4151381214005925,-1.3059843622399352,1.4925558689011535
S135,1497,-0.8850050527069871,1.3613541956410273,-0.8850050527069873,1.361354195641027,-0.9223683191482255,1.385241450469688,-0.9036866859276063,1.3732258477084145,-0.8850050527069873,1.3613541956410273,-0.8663234194863683,1.349571889462702,-0.8476417862657493,1.3379062787357436,-0.9690724021997738,1.416170649180206
S137,1497,-1.4726444208903693,1.6751295746037533,-1.4726444208903688,1.6751295746037531,-1.506708163766579,1.6999431486407455,-1.489676292328474,1.6874691141834108,-1.4726444208903688,1.6751295746037531,-1.4556125494522634,1.6629075992260414,-1.4385806780141586,1.6508027147242437,-1.5492878423618428,1.7315667750392545
S139,1497,-0.42589026596956736,1.2213412670808894,-0.42589026596956736,1.2213412670808892,-0.455825281165676,1.2411699003327061,-0.44085777356762174,1.2312217296795995,-0.4258902659695673,1.2213412670808892,-0.4109227583715131,1.2116665465001586,-0.3959552507734587,1.2020999871937805,-0.4932440501608129,1.2672345227056936
