date_sgt_for_formula_audit,rows,existing_v09_proxy_bias,existing_v09_proxy_mae,reconstructed_from_v09_components_bias,reconstructed_from_v09_components_mae,stull_simple_globe_k0p0025_bias,stull_simple_globe_k0p0025_mae,stull_simple_globe_k0p0035_bias,stull_simple_globe_k0p0035_mae,stull_simple_globe_k0p0045_bias,stull_simple_globe_k0p0045_mae,stull_simple_globe_k0p0055_bias,stull_simple_globe_k0p0055_mae,stull_simple_globe_k0p0065_bias,stull_simple_globe_k0p0065_mae,no_radiation_sensitivity_tg_eq_tair_bias,no_radiation_sensitivity_tg_eq_tair_mae
2026-05-07,2322,-1.3159922072191104,1.5128771529820861,-1.3159922072191104,1.5128771529820861,-1.3537283652435683,1.5468294910666005,-1.3348602862313392,1.529780753910325,-1.3159922072191104,1.5128771529820861,-1.2971241282068815,1.4960206774989873,-1.2782560491946526,1.4792300882336455,-1.4008985627741415,1.5895157896414958
2026-05-08,243,-0.15926411014225175,0.36712367342915636,-0.15926411014225256,0.3671236734291566,-0.15926411014225256,0.3671236734291566,-0.15926411014225256,0.3671236734291566,-0.15926411014225256,0.3671236734291566,-0.15926411014225256,0.3671236734291566,-0.15926411014225256,0.3671236734291566,-0.15926411014225333,0.36712367342915664
2026-05-09,783,-0.6548276608369173,0.9372003728568139,-0.6548276608369173,0.9372003728568142,-0.6786249813636671,0.9595315241676913,-0.6667263211002923,0.9482894235626074,-0.6548276608369173,0.9372003728568142,-0.642929000573543,0.9261487102544413,-0.6310303403101679,0.9150970476520681,-0.708371632022105,0.9880300346255094
2026-05-10,2484,-1.1690563609814202,1.2869625754535108,-1.1690563609814202,1.2869625754535108,-1.2145746905330146,1.3198452085594452,-1.1918155257572176,1.3032544527858476,-1.1690563609814202,1.2869625754535108,-1.146297196205623,1.271004423676071,-1.123538031429826,1.2554797068997539,-1.2714726024725085,1.3635657313354712
2026-05-11,2538,-0.9235973043058693,1.243271973208664,-0.9235973043058693,1.2432719732086641,-0.9630517602759637,1.270453343808571,-0.9433245322909165,1.25679506656034,-0.9235973043058693,1.2432719732086641,-0.9038700763208221,1.2301292725512982,-0.8841428483357748,1.2172714788587287,-1.0123698302385824,1.3059968130105999
2026-05-12,2538,-0.8040147527420922,1.4194490584162924,-0.8040147527420921,1.4194490584162927,-0.8380823289122414,1.4433824553356571,-0.8210485408271668,1.4313196457398045,-0.8040147527420921,1.4194490584162924,-0.7869809646570174,1.4076340199869926,-0.7699471765719424,1.3959097381769954,-0.8806667991249296,1.4744947984295786
2026-05-13,2268,-0.0691216858729755,1.0150590498369603,-0.06912168587297553,1.0150590498369598,-0.09617675532115633,1.01018370468441,-0.0826492205970659,1.012552225261805,-0.06912168587297549,1.0150590498369598,-0.055594151148885024,1.0177976585922186,-0.042066616424794534,1.0207249810144938,-0.12999559213138337,1.005397312250904
2026-05-14,2538,-1.5136118512402597,1.5733323547642573,-1.5136118512402597,1.5733323547642573,-1.5420255992294865,1.6014100627789527,-1.527818725234873,1.5873712087716052,-1.5136118512402597,1.5733323547642573,-1.4994049772456464,1.55929350075691,-1.485198103251033,1.5452623687496507,-1.5775427842160203,1.636576154855629
2026-05-15,2538,-0.27576121306532264,1.003516699551669,-0.27576121306532264,1.003516699551669,-0.3038256223533536,0.9917760334456769,-0.2897934177093382,0.9975156832292296,-0.27576121306532264,1.003516699551669,-0.2617290084213073,1.009734555816173,-0.2476968037772918,1.0162620313347612,-0.33890613396339364,0.9791750120405255
2026-05-16,2511,0.16961153377562058,1.0301408411321444,0.16961153377562058,1.0301408411321444,0.1555787102466314,1.0165476480327365,0.16259512201112594,1.0233442445824403,0.16961153377562058,1.0301408411321444,0.17662794554011527,1.0369374376818485,0.18364435730460993,1.0437362549266809,0.13803768083539383,0.9995561566584766
2026-05-17,2511,-1.12267116214444,1.2474825551196511,-1.1226711621444405,1.2474825551196513,-1.1550264615990926,1.2784014381856024,-1.1388488118717666,1.2629372423923513,-1.1226711621444403,1.247482555119651,-1.106493512417114,1.2320319262724113,-1.090315862689788,1.2166165596766714,-1.1954705859174088,1.317061927668731
2026-05-18,2511,-0.43599541389131796,0.9414589799553831,-0.43599541389131785,0.941458979955383,-0.47136158896564795,0.9478031187674814,-0.45367850142848287,0.9444724649817028,-0.43599541389131785,0.941458979955383,-0.41831232635415294,0.9387290644822813,-0.400629238816988,0.9362635831371352,-0.5155693078085613,0.9571063604327581
2026-05-19,2511,-1.4344517868538789,1.586060402298827,-1.4344517868538784,1.5860604022988265,-1.4786274572832523,1.624956782669458,-1.4565396220685654,1.6054096563424731,-1.4344517868538786,1.5860604022988265,-1.4123639516391915,1.5668659232630149,-1.3902761164245045,1.5478618826465866,-1.5338470453199704,1.6741169435495993
2026-05-20,2484,-1.6820636404252245,1.7315466174163918,-1.682063640425225,1.7315466174163918,-1.7264519212773473,1.7735648875490402,-1.7042577808512858,1.752434315756742,-1.682063640425225,1.7315466174163918,-1.6598694999991634,1.710743015626748,-1.6376753595731017,1.690145100689246,-1.7819372723425013,1.8270198822900046
2026-05-21,2511,-0.6452595982256055,1.1289302278676456,-0.6452595982256056,1.1289302278676456,-0.6772243020446608,1.1551084313607354,-0.6612419501351331,1.1419882485150663,-0.6452595982256056,1.1289302278676456,-0.6292772463160783,1.1158864885357285,-0.6132948944065505,1.102896210172714,-0.7171801818184805,1.1887710052581115
2026-05-22,2484,-1.2330416409300966,1.375953616850132,-1.2330416409300966,1.3759536168501323,-1.2715738608961802,1.411501188425888,-1.2523077509131384,1.3937122506391508,-1.2330416409300966,1.375953616850132,-1.2137755309470546,1.3583018557222146,-1.1945094209640128,1.3407289541574938,-1.319739135853786,1.45631743612429
2026-05-23,2511,-0.5438380400211594,1.0085837052954825,-0.5438380400211594,1.0085837052954822,-0.5819393848723046,1.019417319713029,-0.5628887124467321,1.013839794653772,-0.5438380400211595,1.0085837052954822,-0.524787367595587,1.0036310847029777,-0.5057366951700143,0.9990964451636681,-0.6295660659362375,1.0371519531791513
2026-05-24,2133,-0.8081780404114165,1.4921538571885962,-0.8081780404114167,1.4921538571885962,-0.8604088959485239,1.5147154836595258,-0.8342934681799703,1.5033480707654496,-0.8081780404114167,1.4921538571885962,-0.7820626126428631,1.481175153816534,-0.7559471848743092,1.4705306147370243,-0.9256974653699092,1.5436854986599906
