cell_id,bus_stop_score_raw,bus_stop_count,mrt_exit_score_raw,mrt_exit_count,sport_facility_score_raw,sport_facility_count,hawker_centre_score_raw,hawker_centre_count,eldercare_score_raw,eldercare_count,preschool_score_raw,preschool_count
TP_0001,1.5944105265232171,9,0.1090609547904495,1,0.0,0,0.0,0,0.10958841003388137,1,0.0,0
TP_0002,2.0261120986909296,10,0.24887103417782647,2,0.0,0,0.0,0,0.12751445586216656,1,0.0,0
TP_0003,2.4628957583716247,10,0.2951772423716544,2,0.0,0,0.0,0,0.1399420973370399,1,0.02900240162352916,1
TP_0004,2.552247357335327,14,0.3328229712124341,2,0.0,0,0.0,0,0.14384793607894716,1,0.11490466295765396,3
TP_0005,2.6572600420038883,13,0.35382514086166605,2,0.0,0,0.0,0,0.13817835942022882,1,0.21238983991604088,3
TP_0006,2.6590836780698353,14,0.35264167884893627,2,0.0,0,0.0,0,0.12444638227002713,1,0.3720254162663914,3
TP_0007,2.419099855307647,10,0.5354363923295974,4,0.0,0,0.0,0,0.105886769988076,1,0.5987393910082903,4
TP_0008,2.5664156757338294,8,0.42108810775867656,3,0.0,0,0.0,0,0.08593962151076108,1,0.7172383523484603,5
TP_0009,2.251367961792198,10,0.4028067861985311,3,0.03640783380735817,1,0.0,0,0.0,0,0.6271563948647122,6
TP_0010,2.354781960669398,12,0.3699387217285198,3,0.04555504801337327,1,0.048666576540360273,1,0.0,0,0.47406757215091055,6
TP_0011,2.5129998271226737,11,0.22763033509404296,2,0.05270106311087039,1,0.1254432285441773,2,0.0,0,0.34847005525974845,6
TP_0012,2.5732700168465406,11,0.20346076357752896,2,0.055609524303999514,1,0.17804554658880747,2,0.0,0,0.22663815639847024,5
TP_0013,2.3876140461777813,11,0.0,0,0.053213811780059316,1,0.24799840020289915,2,0.0,0,0.19005494753765012,5
TP_0014,2.167974002787932,12,0.0,0,0.04639913161643089,1,0.3352591856984305,2,0.0,0,0.16365003913657947,3
TP_0015,1.972013717099345,12,0.0,0,0.0373472489164341,1,0.4317162606922826,2,0.0,0,0.2546560002812552,3
TP_0016,2.057630817996917,14,0.0,0,0.0,0,0.5148867360351276,2,0.19372261244170616,2,0.5771381261139712,8
TP_0017,2.1849493971706333,13,0.0,0,0.0,0,0.552103259452928,2,0.27506980856478674,2,0.8626746351179051,12
TP_0018,2.2937394849370274,10,0.0,0,0.0,0,0.5257635076992648,2,0.47242309976200647,3,1.0979484266817154,13
TP_0019,2.2878530572071076,11,0.0,0,0.0,0,0.45044047591432135,2,0.6415330546883697,3,1.5111674456944248,12
TP_0020,2.187662883504623,10,0.0,0,0.0524766556877053,1,0.35654342233126635,2,0.8572036238692368,3,1.6705536444056528,11
TP_0021,2.17023068805993,9,0.0,0,0.08575260834077732,1,0.26765402201435484,2,1.13030448973728,3,1.2883645671905668,11
TP_0022,2.1184068828324523,9,0.11508544485900683,1,0.13936396085356162,1,0.19422385089879737,2,1.468893983785478,3,0.848922050532682,8
TP_0023,1.9332625051609242,9,0.13182512652868272,1,0.2236811903472996,1,0.13790135475410129,2,1.5774361823028877,3,0.5537344945615158,7
TP_0024,1.5819734681260955,9,0.14303024992133903,1,0.3456007336893424,1,0.06076389289611127,1,1.2576287827818444,4,0.4605020805616091,8
TP_0025,1.192711126371189,7,0.14625272136592768,1,0.4502436025422971,1,0.0,0,0.933518132869587,4,0.41593198856201347,6
TP_0026,0.9739539016027589,7,0.14072705998135793,1,0.3744723601562565,1,0.0,0,0.693755808167555,4,0.5039474235907044,8
TP_0027,0.7880195476603107,7,0.127748944812133,1,0.2466689471449475,1,0.0,0,0.44662222817477315,3,0.6090500329739725,8
TP_0028,0.9723360409679855,10,0.21310226222392734,2,0.15441153721452944,1,0.0,0,0.4649788739558043,4,0.7466759119909055,8
TP_0029,1.2112440123996053,10,0.24016512307027293,2,0.0951839533844671,1,0.056064313623431825,1,0.5540364762126648,5,0.8333466092328449,7
