n,bias_pred_minus_obs,mae,rmse,p90_abs_error,station_id,station_name,obs_max,obs_mean
95,-0.5891108316024236,0.7746543307821608,1.2957415441825406,2.4791361207168645,S148,Pasir Ris Walk,31.1,27.15789473684211
95,-0.5732580125454311,0.8055396360808731,1.2061010806256964,2.2352604622360355,S124,Upper Changi Road North,30.4,27.10631578947368
95,-0.721742410549792,1.0041913694702747,1.5694444213102614,3.0850804830659633,S149,Tampines Walk,31.6,27.29052631578949
95,-0.7008782716148867,1.0301380626918364,1.4645297517754465,2.5308163289489847,S140,Choa Chu Kang Stadium,31.0,26.77578947368421
95,-0.9999551973791145,1.0727559243006457,1.6249981312353785,3.1758654858883832,S145,MacRitchie Reservoir,31.7,26.91894736842106
95,-0.7450337071632067,1.0992860338228476,1.564954108190854,2.6664792007497513,S150,Evans Road,30.9,27.01894736842105
95,-1.03140458740436,1.1931895009141709,1.7807178903617955,3.1910646657044484,S180,Taman Jurong Greens,31.6,27.10631578947368
95,-0.6256687663265766,1.198310294609663,1.5592566545479576,2.734968907601401,S146,Jalan Bahar,31.2,26.76315789473684
95,-1.2103519558254128,1.2625623848193839,1.7569387666860992,3.1744143932908653,S153,Bukit Batok Street 22,31.5,27.285263157894736
95,-1.2638282235181562,1.2772722843258444,1.8207587670659142,3.3171690112013468,S184,Sengkang East Avenue,32.5,27.442105263157885
95,-1.1674185904358212,1.2784157470342845,2.125119197804721,4.420270112659068,S151,Outward Bound Singapore(Pulau ubin),32.2,27.461052631578948
95,-1.2558568799169643,1.2923232521522128,1.778893759226622,3.1518577466379876,S143,Punggol North,32.5,27.27368421052633
95,-1.224880855097104,1.312879540030106,2.0516681445897884,3.9704292872315374,S141,Yio Chu Kang Stadium,33.0,27.40315789473684
95,-1.3345435586932055,1.3345435586932055,1.8263527019894286,3.4186118334531956,S132,Jurong West Street 93,31.4,27.41368421052631
95,-1.3943106441243782,1.3967929640557288,2.057382465561601,3.577947451588685,S129,Bedok North Street 2,32.5,27.92736842105264
95,-1.301916281869574,1.3979353037443802,2.215407670805725,4.336111340733941,S147,Marina Barrage,32.3,27.688421052631575
95,-1.417705755553784,1.417705755553784,2.0337222320081847,3.444386389181165,S144,Upper Pickering Street,32.2,27.804210526315785
95,-1.0302968650579438,1.4270238570721603,2.161775951072211,4.073002960007535,S187,Bukit Timah(West),32.5,27.304210526315796
95,-0.6328184564845749,1.4449284348926297,1.770879997434121,2.925252848357941,S139,Tuas Terminal Gateway,30.2,27.26842105263157
95,-1.4713494966368907,1.4740024794072548,1.9767166600092108,3.532240223528439,S130,West Coast Road,31.4,27.745263157894733
95,-1.2209573463522176,1.4753645831965152,1.935332734506905,3.5502201482478193,S125,Woodlands Street 13,32.2,27.048421052631582
95,-0.91784993422122,1.497486532785663,2.1223453259674243,3.7775376645012497,S135,Mandai Wildlife Reserve,32.7,26.83684210526316
95,-1.2650887979306757,1.5028916885007564,2.269899759445119,4.289732560462052,S126,Old Chua Chu Kang Road,32.5,27.339999999999993
95,-1.4438282235181565,1.5438674520686297,2.438780249142495,4.474180050193691,S128,Bishan Street,34.0,27.6221052631579
95,-1.668232071343258,1.668232071343258,2.345948715397981,4.254516343727143,S127,Stadium Road,32.4,28.05473684210527
95,-1.673201243954935,1.6753554917727247,2.1435333107136922,3.5963558236477167,S137,Sakra Road,32.3,28.01684210526315
94,-1.91638857829481,1.917839281757014,2.848726190409379,5.213051889320602,S142,Sentosa Palawan Green,33.4,28.20425531914893
