station_id,station_name,station_lat,station_lon,n,timestamps,wbgt_min,wbgt_mean,wbgt_max,low_count,moderate_count,high_count,distance_to_toapayoh_center_m
S128,Bishan Street,1.354825,103.852219,95,95,24.4,27.6221052631579,34.0,73,20,2,2403.1541306430763
S145,MacRitchie Reservoir,1.3418179,103.833913,95,95,24.3,26.91894736842106,31.7,86,9,0,2815.201767949989
S127,Stadium Road,1.305738,103.878174,95,95,25.5,28.05473684210527,32.4,78,17,0,3860.7464228809044
S150,Evans Road,1.321182,103.819737,95,95,24.5,27.01894736842105,30.9,95,0,0,4485.957245184999
S144,Upper Pickering Street,1.286011,103.846988,95,95,25.6,27.804210526315785,32.2,87,8,0,5474.749573665004
S141,Yio Chu Kang Stadium,1.382564,103.84619,95,95,24.4,27.40315789473684,33.0,83,11,1,5557.366047843841
S147,Marina Barrage,1.280001,103.8697302,95,95,25.0,27.688421052631575,32.3,76,19,0,6144.380511543565
S187,Bukit Timah(West),1.322505,103.80139,95,95,24.4,27.304210526315796,32.5,80,15,0,6421.548072224414
S184,Sengkang East Avenue,1.382559,103.898525,95,95,25.0,27.442105263157885,32.5,87,8,0,7031.994967170672
S129,Bedok North Street 2,1.325746,103.939691,95,95,25.6,27.92736842105264,32.5,82,13,0,9127.43975415897
S149,Tampines Walk,1.353834,103.938823,95,95,25.0,27.29052631578949,31.6,89,6,0,9251.35878996083
S143,Punggol North,1.41046864267577,103.904965342662,95,95,24.6,27.27368421052633,32.5,84,11,0,9977.804865006256
S142,Sentosa Palawan Green,1.24950363476734,103.819177652546,95,95,25.5,28.204255319148924,33.4,69,18,7,10339.360967109213
S130,West Coast Road,1.310524,103.763426,95,95,25.2,27.745263157894733,31.4,90,5,0,10832.578247233305
S135,Mandai Wildlife Reserve,1.4084245,103.7808629,95,95,23.5,26.83684210526316,32.7,79,16,0,11916.92701161778
S153,Bukit Batok Street 22,1.344712,103.749077,95,95,24.6,27.285263157894736,31.5,90,5,0,12166.821067013663
S148,Pasir Ris Walk,1.3715018,103.9642012,95,95,25.0,27.15789473684211,31.1,94,1,0,12520.565312818251
S151,Outward Bound Singapore(Pulau ubin),1.4214527,103.9299001,95,95,24.7,27.461052631578948,32.2,78,17,0,12587.447218414945
S140,Choa Chu Kang Stadium,1.390524,103.749664,95,95,24.2,26.77578947368421,31.0,93,2,0,13584.460359425813
S125,Woodlands Street 13,1.433789,103.780731,95,95,24.5,27.048421052631582,32.2,87,8,0,14032.103173163463
S124,Upper Changi Road North,1.36777,103.982262,95,95,24.8,27.10631578947368,30.4,95,0,0,14314.75440954989
S126,Old Chua Chu Kang Road,1.372566,103.724358,95,95,24.2,27.339999999999993,32.5,73,22,0,15462.716305281834
S180,Taman Jurong Greens,1.3370108,103.7182835,95,95,24.2,27.10631578947368,31.6,87,8,0,15535.153571779441
S132,Jurong West Street 93,1.337859,103.695383,95,95,24.8,27.41368421052631,31.4,84,11,0,18082.362467841256
S146,Jalan Bahar,1.365386,103.692372,95,95,23.9,26.76315789473684,31.2,94,1,0,18739.72515352073
S137,Sakra Road,1.2571,103.698,95,95,25.1,28.01684210526315,32.3,88,7,0,19735.304454180274
S139,Tuas Terminal Gateway,1.263757,103.616417,95,95,24.9,27.26842105263157,30.2,95,0,0,27968.658421639448
