hour_sgt,n,residual_mean,residual_median,residual_p90_abs,official_wbgt_mean,proxy_wbgt_mean
0.0,27,0.21712312069450734,0.24102392251588967,0.8452461888114868,26.1,25.882876879305492
0.25,27,0.20372295406230628,0.26314440264473404,0.8144037576622376,26.062962962962963,25.859240008900656
0.5,27,0.19775597879326004,0.1383835004642684,0.8401544138149442,26.03333333333333,25.835577354540074
0.75,27,0.16959242909637423,0.08947998873133756,0.7659293541171339,25.98148148148148,25.81188905238511
1.0,27,0.16738031893725558,0.1389425033769882,0.7317284322407648,25.955555555555552,25.7881752366183
1.25,27,0.17346635873381505,0.1848275641370556,0.6989144063454363,25.92222222222222,25.74875586348841
1.5,27,0.19065269035448032,0.16100378902429213,0.7460202838707943,25.9,25.70934730964552
1.75,27,0.2226430091606399,0.18352252924288948,0.734621913885203,25.892592592592592,25.669949583431954
2.0,54,0.20161264039180601,0.24692844583266904,0.7599483031329062,25.55925925925926,25.357646618867452
2.25,27,0.11649105478902312,0.25255089536090836,0.6872417180603287,25.185185185185187,25.068694130396164
2.5,27,0.0992229726312517,0.18310405456945844,0.6607889184356573,25.151851851851852,25.052628879220602
2.75,27,0.09309449519089631,0.15545542422559322,0.6425924433077967,25.12962962962963,25.036535134438733
3.0,27,0.07958676562036378,0.1355430657052068,0.6864624190521044,25.1,25.020413234379635
3.25,27,0.09346108166878417,0.1355430657052068,0.6619663869671599,25.07777777777778,24.984316696108994
3.5,27,0.12960332378650688,0.1355430657052068,0.6706444709745158,25.07777777777778,24.948174453991268
3.75,27,0.176901729906552,0.21199122701877826,0.75034735600916,25.08888888888889,24.911987158982335
4.0,27,0.19831862419869495,0.2637910995247097,0.7380466150256548,25.074074074074073,24.875755449875378
4.25,27,0.16097452960826508,0.2637910995247097,0.6617570694397863,25.03333333333333,24.872358803725067
4.5,27,0.09771101225843769,0.2637910995247097,0.6658064190262294,24.96666666666667,24.86895565440823
4.75,27,0.07149103875315321,0.0637910995247104,0.6539859025933374,24.937037037037037,24.865545998283885
5.0,27,0.10824053910256987,0.13497500352751146,0.6933100467780046,24.97037037037037,24.8621298312678
5.25,27,0.08642653045693517,0.0637910995247104,0.6745228714434774,24.937037037037037,24.8506105065801
5.5,27,0.04240260242655291,-0.03586045349025113,0.7738877345774818,24.88148148148148,24.83907887905493
5.75,27,0.00950178324074621,-0.03620890047529102,0.683044654057868,24.83703703703704,24.827535253796288
6.0,27,-0.0307947450284733,-0.03551199907379754,0.6967529863750458,24.78518518518519,24.81597993021366
6.25,27,-0.05965953432369933,-0.034215719200688,0.7295452658126097,24.77777777777778,24.83743731210148
6.5,27,-0.0809804732550611,-0.03892732912450825,0.7271201366187093,24.77777777777778,24.858758251032842
6.75,27,-0.10216135779712837,-0.14060384237906476,0.6645161420347735,24.77777777777778,24.879939135574908
7.0,27,-0.12319846663212754,-0.14225937332054173,0.7663096036061269,24.77777777777778,24.900976244409907
7.25,27,-0.2067160575223802,-0.12492153497561986,0.8169267292818136,24.866666666666667,25.073382724189045
7.5,27,-0.20976447197061004,-0.074232866226005,0.8525409844315528,25.037037037037038,25.246801509007646
7.75,27,-0.05888396328516481,0.007774076024389842,0.7731103725514537,25.36296296296296,25.421846926248126
8.0,27,0.25941298507207927,0.28693203571967985,0.9284326597774011,25.85925925925926,25.599846274187183
8.25,27,0.7016399322735836,0.6411238060383901,1.6887580625421645,26.57777777777778,25.876137845504193
8.5,27,1.109209030142649,0.8899081058385896,2.337629026077389,27.25925925925926,26.150050229116612
8.75,27,1.5632642557377867,1.6650522671554917,2.572030403075976,27.985185185185188,26.4219209294474
9.0,27,1.7302772292929003,1.69344278698685,2.6818876405294567,28.42222222222222,26.691944992929322
9.25,27,2.0165586864124587,2.1261532178136697,3.0911606062872963,28.81851851851852,26.80195983210606
9.5,27,2.143439674930733,2.0853473663315576,3.512853646033787,29.05185185185185,26.908412176921118
9.75,27,2.173795388508342,2.094574293096482,3.4480858169520747,29.185185185185187,27.011389796676845
10.0,27,2.1668393497373595,2.2336595189193424,3.1042595222486074,29.27777777777778,27.110938428040416
10.25,27,2.282789816159943,2.2418852900496944,3.4695781334930134,29.485185185185188,27.202395369025243
10.5,27,2.459443645206958,2.351716050638153,3.496678744943425,29.75185185185185,27.292408206644897
10.75,27,2.589403749358565,2.590569903839153,3.2249104645469604,29.97037037037037,27.380966621011808
11.0,27,2.6319449892206586,2.7807728406548478,3.4497390378086346,30.1,27.46805501077934
11.25,27,2.5726505034805225,2.684172586874233,3.6081768832694507,30.133333333333333,27.560682829852812
