candidate_id,candidate_role,candidate_family,regime_variable,regime_bin,n_obs_ge31,n_ge31_miss,ge31_miss_rate_among_observed,share_of_candidate_ge31_misses_in_regime_variable,mean_residual_official_minus_pred_c
M4_inertia_ridge,score_comparator,current_oof_score,temperature_bin,very_high,323,143,0.44272445820433437,0.6682242990654206,0.14960799404302885
M4_inertia_ridge,score_comparator,current_oof_score,temperature_bin,low,0,0,,0.0,-0.0765202987134174
M4_inertia_ridge,score_comparator,current_oof_score,humidity_bin,high,6,6,1.0,0.028037383177570093,0.18183944492348228
M4_inertia_ridge,score_comparator,current_oof_score,humidity_bin,mid,106,75,0.7075471698113207,0.35046728971962615,0.2379385631750258
M4_inertia_ridge,score_comparator,current_oof_score,humidity_bin,low,296,133,0.44932432432432434,0.6214953271028038,0.11262593505206347
M4_inertia_ridge,score_comparator,current_oof_score,humidity_bin,very_high,0,0,,0.0,-0.13424154841319463
M4_inertia_ridge,score_comparator,current_oof_score,wind_bin,low,50,31,0.62,0.14485981308411214,0.013831181250942313
M4_inertia_ridge,score_comparator,current_oof_score,wind_bin,mid,56,36,0.6428571428571429,0.16822429906542055,0.07423125139732166
M4_inertia_ridge,score_comparator,current_oof_score,wind_bin,high,96,56,0.5833333333333334,0.2616822429906542,0.13218860129289603
M4_inertia_ridge,score_comparator,current_oof_score,wind_bin,very_high,206,91,0.441747572815534,0.4252336448598131,0.19105083084653365
M4_inertia_ridge,score_comparator,current_oof_score,cloud_cover_bin,mid,67,30,0.44776119402985076,0.14018691588785046,0.17190975796782298
M4_inertia_ridge,score_comparator,current_oof_score,cloud_cover_bin,low,190,111,0.5842105263157895,0.5186915887850467,0.29398226223451274
M4_inertia_ridge,score_comparator,current_oof_score,cloud_cover_bin,high,79,37,0.46835443037974683,0.17289719626168223,-0.10214919543201954
M4_inertia_ridge,score_comparator,current_oof_score,cloud_cover_bin,very_high,72,36,0.5,0.16822429906542055,-0.030723967875169844
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,other,0,0,,0.0,0.0020346124606729207
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,highradiation_not_hot,4,4,1.0,0.022598870056497175,-0.00038896332014649046
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,radiation_hot,404,173,0.4282178217821782,0.9774011299435028,-0.06803158778468536
M7_compact_weather_ridge,score_comparator,current_oof_score,combined_radiation_hot_regime,hot_not_highradiation,0,0,,0.0,0.11297267961104784
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_bin,low,0,0,,0.0,-0.03198784263223699
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_bin,high,28,28,1.0,0.15819209039548024,0.010579157452608522
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_bin,very_high,380,149,0.39210526315789473,0.8418079096045198,-0.09096780936338245
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_bin,mid,0,0,,0.0,0.0023302341064795266
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_3h_mean_bin,low,0,0,,0.0,-0.008998272527050696
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_3h_mean_bin,mid,2,2,1.0,0.011299435028248588,0.07036704554873607
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_3h_mean_bin,high,105,59,0.5619047619047619,0.3333333333333333,-0.02886688006365788
M7_compact_weather_ridge,score_comparator,current_oof_score,shortwave_3h_mean_bin,very_high,301,116,0.3853820598006645,0.655367231638418,-0.15311283523109956
M7_compact_weather_ridge,score_comparator,current_oof_score,direct_radiation_bin,low,0,0,,0.0,-0.03198784263223699
M7_compact_weather_ridge,score_comparator,current_oof_score,direct_radiation_bin,high,54,54,1.0,0.3050847457627119,0.11823426817167779
M7_compact_weather_ridge,score_comparator,current_oof_score,direct_radiation_bin,very_high,354,123,0.3474576271186441,0.6949152542372882,-0.21917759516007834
M7_compact_weather_ridge,score_comparator,current_oof_score,direct_radiation_bin,mid,0,0,,0.0,0.0023302341064795266
M7_compact_weather_ridge,score_comparator,current_oof_score,diffuse_radiation_bin,low,0,0,,0.0,-0.03198784263223699
M7_compact_weather_ridge,score_comparator,current_oof_score,diffuse_radiation_bin,high,46,18,0.391304347826087,0.1016949152542373,-0.13585021879608655
M7_compact_weather_ridge,score_comparator,current_oof_score,diffuse_radiation_bin,very_high,362,159,0.43922651933701656,0.8983050847457628,0.08289737239534642
M7_compact_weather_ridge,score_comparator,current_oof_score,diffuse_radiation_bin,mid,0,0,,0.0,0.0023302341064795266
M7_compact_weather_ridge,score_comparator,current_oof_score,temperature_bin,mid,4,4,1.0,0.022598870056497175,0.12242313878847753
M7_compact_weather_ridge,score_comparator,current_oof_score,temperature_bin,high,74,57,0.7702702702702703,0.3220338983050847,0.169806192061405
M7_compact_weather_ridge,score_comparator,current_oof_score,temperature_bin,very_high,330,116,0.3515151515151515,0.655367231638418,-0.2707875734837787
M7_compact_weather_ridge,score_comparator,current_oof_score,temperature_bin,low,0,0,,0.0,-0.12167885701064372
M7_compact_weather_ridge,score_comparator,current_oof_score,humidity_bin,high,6,6,1.0,0.03389830508474576,0.16489164145510107
M7_compact_weather_ridge,score_comparator,current_oof_score,humidity_bin,mid,110,89,0.8090909090909091,0.5028248587570622,0.1797466110995297
M7_compact_weather_ridge,score_comparator,current_oof_score,humidity_bin,low,292,82,0.2808219178082192,0.4632768361581921,-0.27342068168246497
M7_compact_weather_ridge,score_comparator,current_oof_score,humidity_bin,very_high,0,0,,0.0,-0.16678381305901144
M7_compact_weather_ridge,score_comparator,current_oof_score,wind_bin,low,48,24,0.5,0.13559322033898305,-0.06059388803489257
M7_compact_weather_ridge,score_comparator,current_oof_score,wind_bin,mid,58,20,0.3448275862068966,0.11299435028248588,-0.028164824887217207
M7_compact_weather_ridge,score_comparator,current_oof_score,wind_bin,high,96,45,0.46875,0.2542372881355932,0.07093345148856202
M7_compact_weather_ridge,score_comparator,current_oof_score,wind_bin,very_high,206,88,0.42718446601941745,0.4971751412429379,-0.087956866984447
M7_compact_weather_ridge,score_comparator,current_oof_score,cloud_cover_bin,high,108,57,0.5277777777777778,0.3220338983050847,-0.05757388416946592
M7_compact_weather_ridge,score_comparator,current_oof_score,cloud_cover_bin,mid,2,2,1.0,0.011299435028248588,0.15979283142971532
M7_compact_weather_ridge,score_comparator,current_oof_score,cloud_cover_bin,low,190,48,0.25263157894736843,0.2711864406779661,-0.17370321039812822
M7_compact_weather_ridge,score_comparator,current_oof_score,cloud_cover_bin,very_high,108,70,0.6481481481481481,0.3954802259887006,0.01736632562928121
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,other,0,0,,0.0,0.49395019008282326
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,highradiation_not_hot,2,2,1.0,0.00980392156862745,1.4946476709786254
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,radiation_hot,202,202,1.0,0.9901960784313726,2.2496960843163953
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,combined_radiation_hot_regime,hot_not_highradiation,0,0,,0.0,-0.22914443969976664
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_bin,low,0,0,,0.0,0.39861715325866026
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_bin,high,14,14,1.0,0.06862745098039216,1.7242084857050124
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_bin,very_high,190,190,1.0,0.9313725490196079,3.1420491246114404
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_3h_mean_bin,low,0,0,,0.0,0.45810424284913165
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_3h_mean_bin,mid,1,1,1.0,0.004901960784313725,1.217249310887294
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_3h_mean_bin,high,53,53,1.0,0.25980392156862747,1.5783051758761169
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,shortwave_3h_mean_bin,very_high,150,150,1.0,0.7352941176470589,2.6147059505488555
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,direct_radiation_bin,low,0,0,,0.0,0.39861715325866026
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,direct_radiation_bin,high,27,27,1.0,0.1323529411764706,1.9809104547989511
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,direct_radiation_bin,very_high,177,177,1.0,0.8676470588235294,2.9333633511753607
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,diffuse_radiation_bin,low,0,0,,0.0,0.39861715325866026
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,diffuse_radiation_bin,high,24,24,1.0,0.11764705882352941,1.5930069542902463
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,diffuse_radiation_bin,very_high,180,180,1.0,0.8823529411764706,3.248709362380279
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,temperature_bin,mid,2,2,1.0,0.00980392156862745,0.6613944860366825
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,temperature_bin,high,44,44,1.0,0.21568627450980393,1.659136846135467
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,temperature_bin,very_high,158,158,1.0,0.7745098039215687,2.508865638956301
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,temperature_bin,low,0,0,,0.0,0.6866567740795843
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,humidity_bin,high,3,3,1.0,0.014705882352941176,0.6474740465314948
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,humidity_bin,mid,51,51,1.0,0.25,1.688107948606004
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,humidity_bin,low,150,150,1.0,0.7352941176470589,2.3814111760698355
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,humidity_bin,very_high,0,0,,0.0,0.6505591421190895
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,wind_bin,low,25,25,1.0,0.12254901960784313,0.7691158662655175
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,wind_bin,mid,28,28,1.0,0.13725490196078433,1.0014969154235507
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,wind_bin,high,49,49,1.0,0.24019607843137256,1.4837115254278028
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,wind_bin,very_high,102,102,1.0,0.5,2.191657913824804
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,cloud_cover_bin,mid,66,66,1.0,0.3235294117647059,1.1466843562676161
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,cloud_cover_bin,low,95,95,1.0,0.46568627450980393,2.038181971585751
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,cloud_cover_bin,high,43,43,1.0,0.2107843137254902,1.0616294224978486
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,combined_radiation_hot_regime,other,0,0,,0.0,0.48752605392172366
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,combined_radiation_hot_regime,highradiation_not_hot,2,2,1.0,0.00980392156862745,1.508622670918558
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,combined_radiation_hot_regime,radiation_hot,202,202,1.0,0.9901960784313726,2.3413029692805867
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,combined_radiation_hot_regime,hot_not_highradiation,0,0,,0.0,-0.2320268531316786
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_bin,low,0,0,,0.0,0.393488193633768
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_bin,high,14,14,1.0,0.06862745098039216,1.7712784533784105
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_bin,very_high,190,190,1.0,0.9313725490196079,3.274397782471017
