inventory_role,input_label,path,exists,bytes,rows_sampled_or_total,column_count,columns,weather_columns_present,proxy_columns_present,notes
primary,residual_weather_merge,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/residual_weather_merge_full_period.csv,True,3418461.0,6696.0,44.0,source_path;row_id;model_name;official_wbgt_c;model_score;station_id;hour_sgt;timestamp;date;cv_scheme;fold;residual_c;abs_error_c;obs_ge31;pred_ge31_fixed;obs_ge33;pred_ge33_fixed;ge31_event_class;observed_wbgt_bin;predicted_score_bin;merge_station_id;merge_time_sgt_hour;merge_key_available;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;cloud_cover;precipitation;direct_radiation;diffuse_radiation;weather_source_base;weather_source_relative_path;has_weather_match;shortwave_bin;shortwave_3h_mean_bin;humidity_bin;wind_bin;temperature_bin;cloud_cover_bin;direct_radiation_bin;diffuse_radiation_bin;combined_radiation_hot_regime,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;direct_radiation;diffuse_radiation;cloud_cover;precipitation,,
primary,residual_analysis_input,outputs/v11_systema_l1_high_tail/residual_decomposition/residual_analysis_input.csv,True,1779912.0,6696.0,20.0,source_path;row_id;model_name;official_wbgt_c;model_score;station_id;hour_sgt;timestamp;date;cv_scheme;fold;residual_c;abs_error_c;obs_ge31;pred_ge31_fixed;obs_ge33;pred_ge33_fixed;ge31_event_class;observed_wbgt_bin;predicted_score_bin,,,
primary,oof_predictions,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,True,4329761.0,30132.0,11.0,row_id;timestamp;date;station_id;official_wbgt_c_max;wbgt_proxy_v09_c;model;cv_scheme;fold;prediction_wbgt_c;residual_obs_minus_pred_c,,wbgt_proxy_v09_c,
optional_discovery,formula_candidate_registry,outputs/v11_level1/formula_v2/formula_candidate_registry.csv,True,6260.0,,12.0,candidate_id;candidate_family;raw_or_calibrated;implementation_status;implementation_source_file;formula_summary;required_columns;available_columns;missing_columns;can_compute;notes;scientific_caveat,,,
optional_discovery,raw_formula_metrics,outputs/v11_level1/formula_v2/raw_formula_metrics.csv,True,4463.0,,13.0,candidate_id;dataset_label;target_col;score_col;diagnostic_role;n;MAE;RMSE;bias;R2;p50_abs_error;p90_abs_error;p95_abs_error,,,
optional_discovery,raw_formula_threshold_metrics,outputs/v11_level1/formula_v2/raw_formula_threshold_metrics.csv,True,8484.0,,24.0,candidate_id;dataset_label;target_col;score_col;diagnostic_role;event_target;official_event_threshold_c;fixed_score_threshold_c;n;official_positive_count;predicted_positive_count;TP;FP;TN;FN;precision;recall;F1;best_F1_threshold;best_F1_precision;best_F1_recall;best_F1;threshold_offset_ge31;threshold_offset_ge33,,,
optional_discovery,sprint3a_formula_v2_proxy_benchmark_report,outputs/v11_level1/formula_v2/sprint3a_formula_v2_proxy_benchmark_report.md,True,15900.0,,,,,,markdown_context_file
optional_discovery,formula_bias_mae_rmse_table,outputs/v11_formula_audit/formula_bias_mae_rmse_table.csv,True,1240.0,,8.0,formula;n;bias_pred_minus_obs;mae;rmse;r2;pred_mean;obs_mean,,,
optional_discovery,formula_threshold_operating_points,outputs/v11_formula_audit/formula_threshold_operating_points.csv,True,5394.0,,10.0,formula;event_threshold_c;operating_point;threshold_c;precision;recall;f1;tp;fp;fn,,,
optional_discovery,System_A_WBGT_formula_audit_report,outputs/v11_formula_audit/System_A_WBGT_formula_audit_report.md,True,27212.0,,,,,,markdown_context_file
