candidate_id,candidate_role,candidate_family,regime_variable,regime_bin,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,ge31_miss_rate_among_observed,mean_official_wbgt_c,mean_prediction_wbgt_c,mean_residual_official_minus_pred_c,median_residual_official_minus_pred_c,p75_residual_official_minus_pred_c,p90_residual_official_minus_pred_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,<28,2246,0,0,0,0,0,,26.083615316117545,26.123084358076646,-0.03946904195910332,-0.0044582123913130545,0.48219318612536277,0.8639284892763008,0.6032843445473431,1.2682151154377852,3.824843518057712
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,28-29,188,0,5,0,0,5,,28.497872340425534,28.938082066147334,-0.4402097257218057,-0.4067216328799379,0.3185602568270376,1.0748279695254137,0.9777595635454931,1.9148094268998084,3.460882515889839
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,29-30,226,0,26,0,0,26,,29.5141592920354,29.532769251830523,-0.01860995979512833,-0.005768027021499478,0.6488678063205011,1.169867412658883,0.8253051649086797,1.7250567684248281,3.729005975299394
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,30-31,280,0,65,0,0,65,,30.44857142857143,30.09510875153819,0.3534626770332365,0.14110957276191982,1.1751603555793944,1.7699517208625635,0.8458863658456801,1.7699517208625635,3.8470073791998374
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,31-32,268,268,135,135,133,0,0.4962686567164179,31.367910447761194,30.746164022440233,0.6217464253209574,0.41646862863471057,1.187996918559561,1.814017397551965,0.8092380891205343,1.814017397551965,3.532750181683255
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,32-33,110,110,46,46,64,0,0.5818181818181818,32.358181818181826,30.73727783922078,1.6209039789610311,1.6072049399798871,2.023774515421014,2.5175476181047016,1.6209039789610311,2.5175476181047016,3.6053351772831093
M4_inertia_ridge,score_comparator,current_oof_score,observed_wbgt_bin,>=33,30,30,13,13,17,0,0.5666666666666667,33.34,30.857127163132528,2.482872836867472,2.348491153023666,3.1675877968592303,3.335445569661318,2.482872836867472,3.335445569661318,3.950796573636591
M7_compact_weather_ridge,score_comparator,current_oof_score,observed_wbgt_bin,<28,2246,0,4,0,0,4,,26.083615316117545,26.25630800660691,-0.1726926904893704,-0.12154407979477533,0.36002340667129484,0.751375280203284,0.5944180280703149,1.2239791755716318,5.146123153269606
M7_compact_weather_ridge,score_comparator,current_oof_score,observed_wbgt_bin,28-29,188,0,14,0,0,14,,28.497872340425534,29.086757909070815,-0.5888855686452885,-0.3818664616028009,0.17424055104541658,0.9791625653853933,1.0122033311516296,2.151439869212355,4.8577116936666656
M7_compact_weather_ridge,score_comparator,current_oof_score,observed_wbgt_bin,29-30,226,0,40,0,0,40,,29.5141592920354,29.664474671146436,-0.15031537911103682,-0.04165926400439446,0.7280556521231949,1.2269645740817232,0.9776775172959842,2.1244582568025585,3.378653040863778
