candidate_id,candidate_role,candidate_family,radiation_input,k_value,wind_floor,wetbulb_min_c,wetbulb_max_c,globe_simple_min_c,globe_simple_max_c,formula_min_c,formula_max_c,formula_dynamic_range_c,predicted_p99_minus_median,official_p99_minus_median,compression_ratio,corr_prediction_shortwave_radiation,corr_residual_shortwave_radiation
M4_inertia_ridge,score_comparator,current_oof_score,,,,,,,,24.593285463445813,32.08427032428611,7.490984860840296,5.272313535520855,6.299999999999997,0.83687516436839,0.9085125092756546,0.047324621525073815
M7_compact_weather_ridge,score_comparator,current_oof_score,,,,,,,,24.758284596637623,33.357711693666666,8.599427097029043,5.573506869231661,6.299999999999997,0.884683630036772,0.9465163149503153,-0.07843455794915528
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,v09_proxy_column,,,23.53496422772142,27.102532549559985,,,23.524474959405,29.113920489118826,5.589445529713824,2.151808655536602,6.299999999999997,0.3415569294502544,0.8053393248388968,0.6875435592935965
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.002,0.25,23.53496422772142,27.102532549559985,23.5,33.38349530310992,23.524474959404994,28.893046663341345,5.36857170393635,1.975974828285345,6.299999999999997,0.3136467981405311,0.7876920345277125,0.7051608713009019
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.003,0.25,23.53496422772142,27.102532549559985,23.5,33.82524295466487,23.524474959404994,28.981396193652333,5.456921234247339,2.0455955242001593,6.299999999999997,0.3246977022539937,0.7952005562007615,0.6985106828701362
stull_globe_shortwave_radiation_k0p0045_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.0045,0.25,23.53496422772142,27.102532549559985,23.5,34.487864431997316,23.524474959404994,29.113920489118822,5.589445529713828,2.151808655536602,6.299999999999997,0.3415569294502544,0.8056139584631212,0.6881196896338515
stull_globe_shortwave_radiation_k0p006_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.006,0.25,23.53496422772142,27.102532549559985,23.5,35.24983024752689,23.524474959404994,29.24644478458531,5.721969825180317,2.2631990611823056,6.299999999999997,0.35923794621941374,0.8150977419967196,0.6772094215255218
stull_globe_shortwave_radiation_k0p008_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.008,0.25,23.53496422772142,27.102532549559985,23.5,36.29977366336919,23.524474959404994,29.423143845207292,5.898668885802298,2.435251989971956,6.299999999999997,0.38654793491618367,0.8264540468605354,0.6618144550822606
stull_globe_shortwave_radiation_k0p01_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.01,0.25,23.53496422772142,27.102532549559985,23.5,37.36534659761308,23.524474959404994,29.599842905829277,6.075367946424283,2.5341571381581645,6.299999999999997,0.4022471647870104,0.8365124269885388,0.6453996393997189
stull_globe_shortwave_radiation_k0p012_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_radiation,0.012,0.25,23.53496422772142,27.102532549559985,23.5,38.8984159171357,23.524474959404994,29.776541966451262,6.252067007046268,2.6359904155569858,6.299999999999997,0.4184111770725376,0.8454396881142332,0.6279099734572039
