record_type,cell_id,hour_sgt,metric,value,status,details
f4_anchor_role_comparison,TP_0059;TP_0098;TP_0154;TP_0326;TP_0409;TP_0575;TP_0773,13,unstable_review,n=7;fd01_median=-0.310304;fd02_median=-0.359972,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
spearman_by_hour,,15,spearman_delta_tmrt_p90_fd01_fd02,0.991525,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
sign_stability_by_hour,,15,sign_stability_fraction,0.993333,WARN,149/150 cells have stable delta sign.
top_k_overlap_by_hour,,15,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0745;TP_0746;TP_0857;TP_0947;TP_0948; FD02_top=TP_0403;TP_0745;TP_0746;TP_0857;TP_0947
top_k_overlap_by_hour,,15,top10pct,0.933333,WARN,overlap=14/15; FD01_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0600;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0947;TP_0948
top_k_overlap_by_hour,,15,top20pct,0.900000,WARN,overlap=27/30; FD01_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0126;TP_0141;TP_0154;TP_0257;TP_0380;TP_0381;TP_0403;TP_0409;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0089;TP_0126;TP_0141;TP_0257;TP_0285;TP_0380;TP_0403;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0772;TP_0773;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948
f4_anchor_role_comparison,TP_0037;TP_0141;TP_0433;TP_0542;TP_0857,15,robust_priority_anchor,n=5;fd01_median=-1.036447;fd02_median=-0.846692,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0115;TP_0301;TP_0326;TP_0366;TP_0492;TP_0565;TP_0676;TP_0960;TP_0986,15,neutral_boundary,n=9;fd01_median=0.000000;fd02_median=0.000000,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0059;TP_0098;TP_0154;TP_0326;TP_0409;TP_0575;TP_0773,15,unstable_review,n=7;fd01_median=-0.367240;fd02_median=-0.237782,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
spearman_by_hour,,16,spearman_delta_tmrt_p90_fd01_fd02,0.993267,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
sign_stability_by_hour,,16,sign_stability_fraction,0.973333,WARN,146/150 cells have stable delta sign.
top_k_overlap_by_hour,,16,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0745;TP_0746;TP_0857;TP_0947;TP_0948; FD02_top=TP_0403;TP_0745;TP_0746;TP_0857;TP_0947
top_k_overlap_by_hour,,16,top10pct,1.000000,PASS,overlap=15/15; FD01_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948
top_k_overlap_by_hour,,16,top20pct,0.966667,WARN,overlap=29/30; FD01_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0126;TP_0141;TP_0154;TP_0226;TP_0257;TP_0380;TP_0403;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0864;TP_0871;TP_0882;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0089;TP_0126;TP_0141;TP_0154;TP_0257;TP_0380;TP_0403;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0864;TP_0871;TP_0882;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948
f4_anchor_role_comparison,TP_0037;TP_0141;TP_0433;TP_0542;TP_0857,16,robust_priority_anchor,n=5;fd01_median=-0.996573;fd02_median=-0.927257,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0115;TP_0301;TP_0326;TP_0366;TP_0492;TP_0565;TP_0676;TP_0960;TP_0986,16,neutral_boundary,n=9;fd01_median=0.000000;fd02_median=0.000000,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0059;TP_0098;TP_0154;TP_0326;TP_0409;TP_0575;TP_0773,16,unstable_review,n=7;fd01_median=-0.315651;fd02_median=-0.289242,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
