check_name,status,value,details
TP_0587:same_transform,PASS,"(29200.0, 2.0, 0.0, 36400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0587:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0587:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0592:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0592:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0592:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0592:same_transform,PASS,"(29700.0, 2.0, 0.0, 36400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0592:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0592:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0599:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0599:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0599:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0599:same_transform,PASS,"(30400.0, 2.0, 0.0, 36400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0599:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0599:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0600:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0600:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0600:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0600:same_transform,PASS,"(30500.0, 2.0, 0.0, 36400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0600:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0600:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0608:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0608:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0608:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0608:same_transform,PASS,"(31300.0, 2.0, 0.0, 36400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0608:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0608:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0614:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0614:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0614:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0614:same_transform,PASS,"(29000.0, 2.0, 0.0, 36500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0614:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0614:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0616:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0616:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0616:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0616:same_transform,PASS,"(29200.0, 2.0, 0.0, 36500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0616:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0616:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0627:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0627:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0627:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0627:same_transform,PASS,"(30300.0, 2.0, 0.0, 36500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0627:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0627:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0628:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0628:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0628:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0628:same_transform,PASS,"(30400.0, 2.0, 0.0, 36500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0628:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0628:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0647:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0647:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0647:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0647:same_transform,PASS,"(29400.0, 2.0, 0.0, 36600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0647:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0647:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0657:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0657:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0657:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0657:same_transform,PASS,"(30400.0, 2.0, 0.0, 36600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0657:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0657:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0663:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0663:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0663:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0663:same_transform,PASS,"(31000.0, 2.0, 0.0, 36600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0663:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0663:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0669:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0669:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0669:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0669:same_transform,PASS,"(28700.0, 2.0, 0.0, 36700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0669:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0669:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0670:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0670:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0670:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0670:same_transform,PASS,"(28800.0, 2.0, 0.0, 36700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0670:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0670:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0676:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0676:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0676:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0676:same_transform,PASS,"(29400.0, 2.0, 0.0, 36700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0676:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0676:same_dtype,PASS,float32,Rasters within each cell must share dtype.
