cell_id,hour_sgt,fd01_forcing_day_id,fd02_forcing_day_id,contrast_direction,delta_tmrt_p90_fd01_c,delta_tmrt_p90_fd02_c,fd02_minus_fd01_delta_tmrt_p90_c,sign_stable,rank_fd01,rank_fd02,rank_drift,notes
TP_0059,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.207947,-0.139517,0.068430,yes,39,22,17,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0060,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.383549,-0.230819,0.152730,yes,23,13,10,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0065,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.378553,-0.143084,0.235469,yes,24,21,3,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0066,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.455407,-0.065204,0.390203,yes,19,42,23,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0081,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.045546,0.031268,0.076814,no,67,150,83,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0082,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.060874,0.026648,0.087522,no,65,149,84,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0088,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.227787,-0.117370,0.110417,yes,37,30,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0089,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.272503,-0.146472,0.126031,yes,29,20,9,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0097,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.110592,-0.014274,0.096318,yes,55,63,8,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0098,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.288849,0.009154,0.298003,no,27,145,118,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0108,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.061338,-0.033326,0.028012,yes,64,48,16,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0114,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.018365,-0.010481,0.007884,yes,82,70,12,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0115,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0126,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.255089,-0.001749,0.253340,yes,33,88,55,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0133,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.029863,-0.012910,0.016953,yes,73,67,6,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0135,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.012258,-0.007122,0.005136,yes,88,76,12,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
