cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,37.907881,34.145142,45.335340,46.096210,46.574692,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,37.555015,33.950687,44.895851,45.601213,46.552807,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,50.555146,58.243296,61.744261,62.092192,62.319798,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,49.886746,57.722231,61.596094,61.877173,62.308121,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,50.766133,57.573914,61.598778,62.174397,62.579208,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,50.102245,57.132648,61.245582,61.816008,62.564804,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,47.501209,52.264091,59.555224,60.227086,60.808533,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,46.888578,41.186857,59.084558,59.810430,60.807812,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,41.085257,36.815649,50.467068,51.216184,51.817322,22500,0.000000,PASS
TP_0037,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,40.666514,36.461889,49.993913,50.753836,51.814468,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.123008,27.332534,28.081336,28.508116,29.860762,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.087382,27.329103,27.957441,28.281956,29.860762,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,43.372208,47.262140,51.947747,52.861736,53.459007,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,42.901416,46.773626,51.416779,52.274622,53.434177,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,48.003849,53.093161,58.075171,58.936028,59.546646,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,47.405343,52.669868,57.567973,58.391335,59.527508,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,37.146793,38.512045,42.953761,43.761915,44.370232,22500,0.000000,PASS
TP_0037,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,36.854940,34.388357,42.484601,43.261231,44.361141,22500,0.000000,PASS
