model_name,regime_variable,regime_bin,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,ge31_miss_rate_among_observed
M4_inertia_ridge,shortwave_bin,high,676,28,0,0,28,0,28.145562130177517,28.066716407493985,0.07884572268353021,-0.00937145041346625,0.8244841042772197,1.6665021606360746,0.9407817139435437,1.9799547610763497,1.0
M4_inertia_ridge,shortwave_bin,low,918,0,0,0,0,0,25.881590413943357,25.88276848867309,-0.0011780747297351446,0.0096346225464767,0.41358692019963955,0.6787673098142147,0.44851448134307437,0.9096604397909205,
M4_inertia_ridge,shortwave_bin,mid,918,0,0,0,0,0,25.881590413943357,25.776110197116182,0.10548021682717049,0.09284668822473735,0.6364837717186056,1.1609933892931663,0.6348852111552454,1.3095950359985797,
M4_inertia_ridge,shortwave_bin,very_high,836,380,290,194,186,96,30.572248803827755,30.34052465098325,0.2317241528445024,0.19571523403035584,1.0292708313981889,1.7331533208527237,0.9584864352186423,2.010172024075082,0.48947368421052634
M7_compact_weather_ridge,shortwave_bin,high,998,28,0,0,28,0,27.379659318637277,27.36908016118467,0.010579157452608658,-0.11742109102456405,0.5222390016105356,1.3468017212342598,0.7845392866209148,1.703108615599515,1.0
M7_compact_weather_ridge,shortwave_bin,low,756,0,0,0,0,0,25.90198412698413,25.933971969616362,-0.03198784263223688,-0.0052903827015455505,0.4192525505065605,0.7840000538891996,0.508085723419783,1.0197743302374551,
M7_compact_weather_ridge,shortwave_bin,mid,756,0,0,0,0,0,25.896031746031742,25.893701511925265,0.002330234106479691,0.0782130015705142,0.5226918750479612,0.8567598697552938,0.5630502906515206,1.1028975931821012,
M7_compact_weather_ridge,shortwave_bin,very_high,838,380,357,231,149,126,30.571837708830547,30.66280551819393,-0.09096780936338243,-0.12233816910917025,0.7999291809582427,1.7133151457909546,1.0873229414333725,2.2761010123397525,0.39210526315789473
M4_inertia_ridge,shortwave_3h_mean_bin,high,837,105,68,41,64,27,28.152449223416962,28.030452619663475,0.12199660375348982,0.0791418707578657,0.813021637731012,1.5623614426775436,0.8690697669569837,1.8962616058944097,0.6095238095238096
M4_inertia_ridge,shortwave_3h_mean_bin,low,999,0,0,0,0,0,25.73663663663664,25.739038011427557,-0.002401374790918913,0.0146882061322983,0.4990810479384393,0.7715164839537964,0.5322460012177745,1.1061553111586466,
M4_inertia_ridge,shortwave_3h_mean_bin,mid,675,2,0,0,2,0,26.37496296296296,26.26503602572238,0.10992693724058018,0.0531439524888917,0.5506399414053096,1.0368575500528223,0.5963241851962567,1.2391037864339656,1.0
M4_inertia_ridge,shortwave_3h_mean_bin,very_high,837,301,222,153,148,69,29.899402628434885,29.6976611706158,0.20174145781909375,0.1411665745478281,0.9635919901087996,1.6948866800255096,0.9201673130406842,1.9857714641009667,0.49169435215946844
M7_compact_weather_ridge,shortwave_3h_mean_bin,high,837,105,48,46,59,2,28.152449223416962,28.181316103480622,-0.028866880063657747,-0.1396584404967313,0.4593390754536699,1.217762323128221,0.73041239027411,1.5950466700653327,0.5619047619047619
M7_compact_weather_ridge,shortwave_3h_mean_bin,low,675,0,0,0,0,0,25.71762962962963,25.72662790215668,-0.008998272527050627,0.0457230279071971,0.4850257773484809,0.7813877158471855,0.5268983888414206,1.0366875062528402,
M7_compact_weather_ridge,shortwave_3h_mean_bin,mid,999,2,0,0,2,0,26.18078078078078,26.11041373523204,0.07036704554873621,0.0773967546037113,0.5667568428770604,0.9585108123349662,0.6012557043725499,1.2321541837086338,1.0
M7_compact_weather_ridge,shortwave_3h_mean_bin,very_high,837,301,309,185,116,124,29.899402628434885,30.052515463665987,-0.1531128352310995,-0.2533684818127284,0.6526685013940039,1.8220123597516238,1.1185897584362943,2.4049942878961335,0.3853820598006645
M4_inertia_ridge,humidity_bin,high,862,6,0,0,6,0,26.370997679814387,26.1891582348909,0.18183944492348234,0.17744168977615077,0.6160278300897755,1.0603792798135079,0.5673342659265181,1.2010710114740262,1.0
M4_inertia_ridge,humidity_bin,low,842,296,235,163,133,72,29.76377672209026,29.651150787038198,0.11262593505206353,0.1196539910433056,0.8603416036395579,1.6596565737710474,0.9367277267395173,1.982848652397923,0.44932432432432434
M4_inertia_ridge,humidity_bin,mid,838,106,55,31,75,24,28.20167064439141,27.96373208121638,0.23793856317502587,0.1733786779672126,0.848156968449965,1.5821199926740168,0.8060015748302177,1.7864097000093675,0.7075471698113207
M4_inertia_ridge,humidity_bin,very_high,806,0,0,0,0,0,25.654466501240694,25.78870804965389,-0.13424154841319463,-0.18563433238116817,0.2700084866977707,0.7320654316993505,0.5938310339094582,1.2228614922277945,
M7_compact_weather_ridge,humidity_bin,high,812,6,0,0,6,0,26.43177339901478,26.266881757559673,0.1648916414551012,0.1737543883087191,0.6158527721402134,0.9481334368723283,0.5447817603865717,1.0652613225868928,1.0
M7_compact_weather_ridge,humidity_bin,low,832,292,328,210,82,118,29.76658653846154,30.040007220144005,-0.2734206816824649,-0.3309373821412276,0.5921213736269797,1.3400669610507536,1.0761001563148593,2.1964749156526953,0.2808219178082192
M7_compact_weather_ridge,humidity_bin,mid,836,110,29,21,89,8,28.23708133971292,28.05733472861339,0.1797466110995299,0.0268469479353168,0.6631115375028855,1.570940707624958,0.7510130719641661,1.7346869801066127,0.8090909090909091
M7_compact_weather_ridge,humidity_bin,very_high,868,0,0,0,0,0,25.655299539170507,25.82208335222952,-0.1667838130590113,-0.18243485038627222,0.31453433634470146,0.7529991455758634,0.6202772027152564,1.2574579925727316,
M4_inertia_ridge,wind_bin,high,835,96,65,40,56,25,27.508982035928145,27.37679343463525,0.132188601292896,0.0628663410803582,0.6336163646584936,1.4307475933005673,0.7445725484644495,1.7145566648064228,0.5833333333333334
M4_inertia_ridge,wind_bin,low,852,50,23,19,31,4,26.6924882629108,26.678657081659857,0.013831181250942414,0.0052415253732184496,0.4760722834847408,0.9670818475551276,0.606769276973077,1.340916433836202,0.62
M4_inertia_ridge,wind_bin,mid,828,56,24,20,36,4,26.986956521739128,26.912725270341813,0.0742312513973217,0.0925231557499941,0.6368575500528237,1.1201418415695776,0.672302502094777,1.3493784486774316,0.6428571428571429
M4_inertia_ridge,wind_bin,very_high,833,206,178,115,91,63,28.86698679471789,28.675935963871353,0.19105083084653368,0.1469681698227383,0.9312628439275557,1.6232657810072666,0.884120099038086,1.851647345908243,0.441747572815534
M7_compact_weather_ridge,wind_bin,high,839,96,68,51,45,17,27.493325387365914,27.42239193587735,0.07093345148856214,0.0243539768721774,0.5892077825032302,1.206688437148338,0.745962910940072,1.697058367800883,0.46875
M7_compact_weather_ridge,wind_bin,low,822,48,29,24,24,5,26.67396593673966,26.73455982477455,-0.06059388803489248,-0.08210869833373019,0.4806964689352604,0.8565647252037522,0.6320405946880653,1.3181259927649696,0.5
M7_compact_weather_ridge,wind_bin,mid,846,58,42,38,20,4,26.997163120567375,27.025327945454595,-0.02816482488721707,-0.082599348337931,0.5392103778803996,0.979267184170176,0.674766884281512,1.3408055951345368,0.3448275862068966
M7_compact_weather_ridge,wind_bin,very_high,841,206,218,118,88,100,28.85957193816885,28.947528805153294,-0.08795686698444691,-0.0467518783851517,0.592629838583747,1.4234380015792425,0.936590516518758,2.1101305053985517,0.42718446601941745
M4_inertia_ridge,temperature_bin,high,840,81,21,14,67,7,28.170714285714286,28.037458441815357,0.13325584389892733,0.0525630624772297,0.7416552858420511,1.5550878529304695,0.799735437703417,1.8029420563268475,0.8271604938271605
