inventory_role,evaluation_mode,path,relative_path,local_preflight_path,exists,readable,row_count,station_column,time_column,recovered_weather_columns,unique_weather_keys,matched_residual_rows,retention_rate,matched_observed_ge31_rows,observed_ge31_coverage_rate,matched_ge31_miss_rows,station_coverage_count,station_coverage_rate,source_base,source_relative_path,selected_for_merge,matches_selected_provenance,reason,error
preferred_compact_recovered_source,evaluated_current_run,outputs/v11_systema_l1_high_tail/weather_regime_merge_inputs/best_weather_feature_source.csv.gz,outputs/v11_systema_l1_high_tail/weather_regime_merge_inputs/best_weather_feature_source.csv.gz,,True,True,10476,station_id,merge_hour,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,10476,6696,1.0,816,1.0,391,27,1.0,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,True,True,usable,
configured_fallback,evaluated_current_run,data/calibration/v09_historical_forecast_by_station_hourly.csv,data/calibration/v09_historical_forecast_by_station_hourly.csv,,True,True,1296,station_id,time_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|direct_radiation|diffuse_radiation,1296,2700,0.4032258064516129,432,0.5294117647058824,228,27,1.0,,,False,False,usable,
configured_fallback,evaluated_current_run,data/calibration/v09_wbgt_station_pairs.csv,data/calibration/v09_wbgt_station_pairs.csv,,True,True,675,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|direct_radiation|diffuse_radiation,675,2700,0.4032258064516129,432,0.5294117647058824,228,27,1.0,,,False,False,usable,
configured_fallback,evaluated_current_run,data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz,data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz,,True,True,243,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,243,0,0.0,0,0.0,0,0,0.0,,,False,False,usable,
preflight_reference,preflight_reference_not_loaded,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,local_preflight_path_omitted,True,True,40419,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,10476,6696,1.0,,,,,,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,False,True,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_diag.csv,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_diag.csv,local_preflight_path_omitted,True,True,40419,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,10476,6696,1.0,,,,,,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_diag.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,outputs/v11_level1/feature_ablation/feature_matrix_hourly_max.csv,outputs/v11_level1/feature_ablation/feature_matrix_hourly_max.csv,local_preflight_path_omitted,True,True,10473,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,10473,6696,1.0,,,,,,orig,outputs/v11_level1/feature_ablation/feature_matrix_hourly_max.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,outputs/v11_level1/reproduction/feature_matrix_hourly_max.csv,outputs/v11_level1/reproduction/feature_matrix_hourly_max.csv,local_preflight_path_omitted,True,True,1674,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,1674,6696,1.0,,,,,,orig,outputs/v11_level1/reproduction/feature_matrix_hourly_max.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v11/v11_station_weather_pairs_hourly.csv,data/calibration/v11/v11_station_weather_pairs_hourly.csv,local_preflight_path_omitted,True,True,1674,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,1674,6696,1.0,,,,,,orig,data/calibration/v11/v11_station_weather_pairs_hourly.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v11/v11_station_weather_pairs_v091.csv,data/calibration/v11/v11_station_weather_pairs_v091.csv,local_preflight_path_omitted,True,True,6372,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,1674,6696,1.0,,,,,,orig,data/calibration/v11/v11_station_weather_pairs_v091.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v09_historical_forecast_by_station_hourly.csv,data/calibration/v09_historical_forecast_by_station_hourly.csv,local_preflight_path_omitted,True,True,1296,station_id,time_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation,1296,2700,0.4032258064516129,,,,,,orig,data/calibration/v09_historical_forecast_by_station_hourly.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v09_historical_forecast_by_station_hourly.csv,data/calibration/v09_historical_forecast_by_station_hourly.csv,local_preflight_path_omitted,True,True,1296,station_id,time_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation,1296,2700,0.4032258064516129,,,,,,al1h,data/calibration/v09_historical_forecast_by_station_hourly.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v09_wbgt_station_pairs.csv,data/calibration/v09_wbgt_station_pairs.csv,local_preflight_path_omitted,True,True,2564,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation,675,2700,0.4032258064516129,,,,,,orig,data/calibration/v09_wbgt_station_pairs.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v09_wbgt_station_pairs.csv,data/calibration/v09_wbgt_station_pairs.csv,local_preflight_path_omitted,True,True,2564,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|cloud_cover|direct_radiation|diffuse_radiation,675,2700,0.4032258064516129,,,,,,al1h,data/calibration/v09_wbgt_station_pairs.csv,False,False,preflight provenance reference,
preflight_reference,preflight_reference_not_loaded,data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz,data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz,local_preflight_path_omitted,True,True,243,station_id,timestamp_sgt,temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|precipitation|direct_radiation|diffuse_radiation,243,0,0.0,,,,,,orig,data/calibration/v11/live_chunks/wbgt_pairs_2026-05-24.csv.gz,False,False,preflight provenance reference,
