cell_id,hazard_score_proxy_v07,rank_proxy_v07_hazard_score,hazard_score_umep_veg_v08,rank_umep_veg_v08_hazard_score,rank_change_proxy_minus_umep
TP_0758,0.5460683631541217,247.0,0.6757024831740089,68.0,179.0
TP_0546,0.6682388341633051,58.0,0.4759227931735604,364.0,-306.0
TP_0661,0.6718126350250035,55.0,0.5617785704268575,226.0,-171.0
TP_0060,0.6818007936075441,45.0,0.729530918584117,5.0,40.0
TP_0423,0.5610262219458605,220.0,0.2047207371433225,762.0,-542.0
TP_0850,0.5790967478818466,191.0,0.6888874165032199,45.0,146.0
TP_0794,0.6487114153557663,82.0,0.6768673853493639,66.0,16.0
TP_0232,0.5457194295164196,249.0,0.3522344097089397,539.0,-290.0
TP_0847,0.5500245304458277,240.0,0.7018966039421165,30.0,210.0
TP_0596,0.654625257625175,74.0,0.3239402294884623,587.0,-513.0
TP_0121,0.6581481614665065,68.0,0.5068582645528583,306.0,-238.0
TP_0345,0.5294368030180993,267.0,0.4838019954113812,354.0,-87.0
TP_0848,0.5685618450217426,207.0,0.7039758316020766,27.0,180.0
TP_0382,0.5514153899954612,239.0,0.3786345224884961,508.0,-269.0
TP_0605,0.5583983530485568,226.0,0.6531004452589938,104.0,122.0
TP_0948,0.6544345698226519,75.0,0.4199026938265846,443.0,-368.0
TP_0927,0.6437415310328392,87.0,0.6224462835203103,145.0,-58.0
TP_0957,0.5330826223441144,262.0,0.6202592670973895,148.0,114.0
TP_0059,0.6817793990827493,46.0,0.730192107045208,4.0,42.0
TP_0125,0.6476308686897198,83.0,0.1858190060833946,791.0,-708.0
TP_0327,0.5387972798068518,254.0,0.3088860492181953,610.0,-356.0
TP_0246,0.658099321884517,69.0,0.5052529541459717,311.0,-242.0
TP_0931,0.5565374436272847,229.0,0.6691986244436822,77.0,152.0
TP_0316,0.5203692785537042,281.0,0.4415908010917247,406.0,-125.0
TP_0610,0.6985149980375535,28.0,0.731807059007626,3.0,25.0
TP_0452,0.5461355417730459,246.0,0.682810042237929,59.0,187.0
TP_0379,0.5534209016763352,236.0,0.2145994198365068,746.0,-510.0
TP_0813,0.6664445495419943,60.0,0.4126324165054064,452.0,-392.0
TP_0569,0.6495108079629289,80.0,0.602504399474718,173.0,-93.0
TP_0123,0.6391874722717416,99.0,0.224880753252291,734.0,-635.0
TP_0002,0.5535301371306369,235.0,0.3496284628567234,543.0,-308.0
TP_0192,0.5290155216873003,269.0,0.4092974157308038,455.0,-186.0
TP_0565,0.6644196424879175,62.0,0.7156407219594539,13.0,49.0
TP_0106,0.6471170541742777,84.0,0.593107275876758,188.0,-104.0
TP_0114,0.6591521427272339,67.0,0.2871627466765114,640.0,-573.0
TP_0027,0.5223412395643547,277.0,0.7153817467720393,15.0,262.0
TP_0003,0.6547548312410219,73.0,0.7145702205039032,16.0,57.0
TP_0909,0.6433701498579654,89.0,0.2776603486263637,667.0,-578.0
TP_0509,0.6401536283246789,96.0,0.3092036235343892,609.0,-513.0
TP_0145,0.649798075001268,79.0,0.6698702350024501,74.0,5.0
TP_0391,0.5183213770357418,287.0,0.3810943997208762,504.0,-217.0
TP_0012,0.5277137859537674,271.0,0.7104770564056284,21.0,250.0
TP_0034,0.5113190339078737,298.0,0.5925337040643067,190.0,108.0
TP_0880,0.6520086756075805,78.0,0.2778315402049696,665.0,-587.0
TP_0373,0.6246105987922191,119.0,0.6729407610450938,73.0,46.0
TP_0168,0.6528182359180377,76.0,0.6396425144046465,123.0,-47.0
TP_0139,0.6742645917187237,53.0,0.4976884250652358,324.0,-271.0
TP_0882,0.6418534638397214,93.0,0.2194378997348941,741.0,-648.0
TP_0617,0.643004154727934,90.0,0.2728661270156579,670.0,-580.0
TP_0731,0.518534996343873,286.0,0.4941332318774375,334.0,-48.0
TP_0282,0.6381619578591627,101.0,0.4606976253892663,380.0,-279.0
TP_0363,0.5037654922458608,318.0,0.3018571791757716,620.0,-302.0
TP_0878,0.5529165878016402,237.0,0.6860451337393648,50.0,187.0
TP_0225,0.5457605271289345,248.0,0.2837092710025972,649.0,-401.0
TP_0952,0.6393025123945315,98.0,0.6089199606538771,167.0,-69.0
TP_0532,0.5155900368066227,293.0,0.4243239947292982,434.0,-141.0
TP_0753,0.5367122698638737,255.0,0.633687306739613,131.0,124.0
TP_0378,0.6467952391720638,85.0,0.6856716245342569,51.0,34.0
TP_0696,0.5598195895832108,223.0,0.6458432281553574,117.0,106.0
TP_0280,0.6204393241942542,127.0,0.46186716770584,379.0,-252.0
TP_0603,0.6297302358753859,111.0,0.2975667793161007,623.0,-512.0
TP_0466,0.5182381444361235,288.0,0.2967788887610047,626.0,-338.0
TP_0140,0.5931623614534203,168.0,0.1232388383585144,881.0,-713.0
TP_0637,0.5491581935665777,241.0,0.6835043426185201,56.0,185.0
TP_0103,0.5357434984475663,259.0,0.5635616493459923,224.0,35.0
