split_family,cell_id,n_rows,MAE,max_abs_error,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,inventory_level,claim_boundary
spatial_holdout,TP_0889,10,0.5703863574660604,0.711041402271442,-0.6936013,-0.12321494253393958,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
typology_holdout,TP_0141,10,0.5695443520894725,0.7682451112448524,-0.8131812,-0.2600078658194669,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
spatial_holdout,TP_0616,10,0.5621083308450942,0.6709447105176918,-0.15589979999999998,-0.7180081308450942,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
spatial_holdout,TP_0349,10,0.5501886113572322,0.6337175381127476,-0.1207641,-0.6709527113572322,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
typology_holdout,TP_0584,10,0.5482103678115043,0.613764512422999,-0.0049476,-0.5531579678115044,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
typology_holdout,TP_0552,10,0.5450144792736201,0.7360997206781366,-0.8639410999999999,-0.31892662072637995,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0403,10,0.5379477474304452,0.8040249475108301,-0.9506156000000001,-0.4256163088444752,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0584,10,0.537039700700032,0.591998224324896,-0.0049476,-0.541987300700032,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0889,10,0.5147365609697543,0.6585832336865672,-0.6936013,-0.17886473903024572,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
spatial_holdout,TP_0600,10,0.5144494087363625,0.6539214702303183,-0.5961280999999999,-0.08167869126363751,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
spatial_holdout,TP_0141,10,0.5052599373662353,0.6829408816467992,-0.8131812,-0.3414391291473884,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0248,10,0.4799153387594416,0.518961918131053,0.0,-0.4799153387594416,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0542,10,0.4777837266098513,0.5795653963419367,-0.49458450000000004,-0.016800773390148703,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
forcing_day_holdout,TP_0746,10,0.4700804148643708,0.6416591740375283,-1.7249621000000002,-1.448216774068604,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0936,10,0.45891593911979933,0.5493408978637436,-0.11106940000000001,-0.5699853391197994,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
spatial_holdout,TP_0066,10,0.4463426930260959,0.6827508297358051,-0.4566933000000001,-0.010350606973904134,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
typology_holdout,TP_0822,10,0.4397333006884834,0.45995254298633287,-0.0118884,-0.4516217006884834,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
typology_holdout,TP_0963,10,0.43823147902987125,0.48730081021098415,-0.0160249,0.42220657902987124,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
cell_group_holdout,TP_0066,10,0.4319586787136604,0.6694492289403213,-0.4566933000000001,-0.024734621286339648,cell_by_split_family,Error audit over SOLWEIG-derived labels only.
