cell_id,split_family,n_rows,true_neutral_fraction,pred_neutral_fraction,neutral_boundary_classification_accuracy,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,MAE,spurious_promotion_flag,claim_boundary
TP_0676,spatial_holdout,10,1.0,0.0,0.0,-0.0201947,-0.19725610706797256,0.17706140706797252,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0676,typology_holdout,10,1.0,1.0,1.0,-0.0201947,-0.02291873889258627,0.01611624073583301,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,cell_group_holdout,10,1.0,0.0,0.0,-0.006410700000000001,-0.07284728124067394,0.06643658124067393,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,forcing_day_holdout,10,1.0,1.0,1.0,-0.006410700000000001,0.002568613525130375,0.012158021064180707,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,hour_holdout,10,1.0,1.0,1.0,-0.006410700000000001,-0.009571944661358828,0.005903676902991377,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,random_split,2,1.0,1.0,1.0,-0.002218,-0.016960192593011635,0.014742192593011636,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,spatial_holdout,10,1.0,0.0,0.0,-0.006410700000000001,-0.0742713182592259,0.06786061825922589,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0960,typology_holdout,10,1.0,0.0,0.0,-0.006410700000000001,-0.10467722900135686,0.09826652900135685,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0986,cell_group_holdout,10,1.0,0.0,0.0,0.0,-0.2341595465795634,0.2341595465795634,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0986,forcing_day_holdout,10,1.0,1.0,1.0,0.0,-0.0016199890672584662,0.005829449222817302,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0986,hour_holdout,10,1.0,1.0,1.0,0.0,-0.001538626834719878,0.0020873508455783625,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0986,random_split,1,1.0,1.0,1.0,0.0,0.010893883901312695,0.010893883901312695,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0986,spatial_holdout,10,1.0,1.0,1.0,0.0,-0.038912444923593074,0.038912444923593074,False,Neutral cells should not be spuriously promoted by the surrogate.
