timestamp_sgt,timestamp_utc,dataset_label,station_count,network_median_p_ge31,network_p90_p_ge31,network_max_p_ge31,anchor_S128_p_ge31,exclude_S142_network_p90_p_ge31,exclude_high_event_stations_network_p90_p_ge31,anchor_minus_median_p_ge31,anchor_minus_p90_p_ge31,max_minus_p90_p_ge31,s142_exclusion_delta_p90_p_ge31,high_event_exclusion_delta_p90_p_ge31,s142_exclusion_abs_delta_gt_0p05,high_event_exclusion_abs_delta_gt_0p05
2026-05-07 02:00:00+08:00,2026-05-06 18:00:00+0000,hourly_max,27,0.0014308024817017,0.0026032479895439805,0.0073140024256328,0.0009603884903256,0.00263115204656315,0.0026869601606014895,-0.00047041399137609996,-0.0016428594992183806,0.004710754436088819,2.790405701916937e-05,8.371217105750898e-05,False,False
2026-05-07 03:00:00+08:00,2026-05-06 19:00:00+0000,hourly_max,27,0.0018073594341321,0.00315720849895614,0.0093806409064339,0.0012279271540406,0.00317086516138965,0.00319817848625667,-0.0005794322800915001,-0.0019292813449155403,0.006223432407477759,1.3656662433509867e-05,4.09699873005296e-05,False,False
2026-05-07 04:00:00+08:00,2026-05-06 20:00:00+0000,hourly_max,27,0.0022580685061758,0.0039990354601647,0.011836354276654,0.0013373233802174,0.0040239764063709,0.0040738582987833,-0.0009207451259583999,-0.0026617120799473006,0.0078373188164893,2.4940946206199535e-05,7.482283861859947e-05,False,False
2026-05-07 05:00:00+08:00,2026-05-06 21:00:00+0000,hourly_max,27,0.0026419159946351,0.004565180415714341,0.0140185797454928,0.0016901918455343,0.0045869506046769,0.00463049098260202,-0.0009517241491007998,-0.0028749885701800405,0.00945339932977846,2.177018896255909e-05,6.531056688767901e-05,False,False
2026-05-07 06:00:00+08:00,2026-05-06 22:00:00+0000,hourly_max,27,0.0028884389349061,0.005272824581279361,0.0160602908141758,0.0017600961076791,0.00531291096624085,0.0053930837361638295,-0.001128342827227,-0.003512728473600261,0.01078746623289644,4.008638496148884e-05,0.00012025915488446826,False,False
2026-05-07 07:00:00+08:00,2026-05-06 23:00:00+0000,hourly_max,27,0.0035529885458664,0.00590902294320692,0.0168942678369862,0.002035060858658,0.005913399820842449,0.00592215357611351,-0.0015179276872083996,-0.0038739620845489194,0.010985244893779281,4.376877635529734e-06,1.313063290659007e-05,False,False
2026-05-07 08:00:00+08:00,2026-05-07 00:00:00+0000,hourly_max,27,0.0197715268834683,0.03206190834792164,0.0851922851432996,0.0117656241754393,0.0321934172439097,0.03245643503588582,-0.008005902708028999,-0.020296284172482342,0.05313037679537796,0.00013150889598805698,0.0003945266879641779,False,False
2026-05-07 09:00:00+08:00,2026-05-07 01:00:00+0000,hourly_max,27,0.0477760675486215,0.06275937374330529,0.1372231292347825,0.0315410928368164,0.06302729215633876,0.0635631289824057,-0.0162349747118051,-0.031218280906488885,0.07446375549147721,0.0002679184130334744,0.0008037552391004094,False,False
2026-05-07 10:00:00+08:00,2026-05-07 02:00:00+0000,hourly_max,27,0.1036858204881064,0.11991331270652078,0.2411441759391825,0.0859291898716856,0.12010111888650746,0.12047673124648078,-0.0177566306164208,-0.03398412283483518,0.12123086323266172,0.00018780617998667704,0.0005634185399600034,False,False
2026-05-07 11:00:00+08:00,2026-05-07 03:00:00+0000,hourly_max,27,0.2426560656615057,0.35523623988086106,0.36558544001455,0.2469177861311846,0.3555821597750065,0.3562739995632976,0.0042617204696789035,-0.10831845374967647,0.010349200133688952,0.0003459198941454522,0.0010377596824365232,False,False
2026-05-07 12:00:00+08:00,2026-05-07 04:00:00+0000,hourly_max,27,0.560245454458512,0.6081342259449196,0.613166175265259,0.6016320191843249,0.6081697578887162,0.6066954079071148,0.04138656472581281,-0.006502206760594764,0.005031949320339346,3.5531943796573984e-05,-0.0014388180378047677,False,False
2026-05-07 13:00:00+08:00,2026-05-07 05:00:00+0000,hourly_max,27,0.367558734336576,0.44502482678960953,0.5680831789357393,0.367558734336576,0.44544474890346164,0.44628459313116586,0.0,-0.07746609245303354,0.12305835214612981,0.0004199221138521114,0.0012597663415563343,False,False
2026-05-07 14:00:00+08:00,2026-05-07 06:00:00+0000,hourly_max,27,0.2450761639591399,0.34790931390377333,0.3565365252425346,0.1998581368494982,0.3482079638463031,0.34574991280342854,-0.04521802710964168,-0.14805117705427512,0.008627211338761265,0.0002986499425297606,-0.0021594011003447933,False,False
2026-05-07 15:00:00+08:00,2026-05-07 07:00:00+0000,hourly_max,27,0.0641045957707939,0.0760405037760124,0.1018972828473277,0.0723361851184005,0.0760405663184818,0.0760406914034206,0.008231589347606594,-0.0037043186576119075,0.025856779071315297,6.254246939785268e-08,1.8762740819355805e-07,False,False
2026-05-07 16:00:00+08:00,2026-05-07 08:00:00+0000,hourly_max,27,0.0219936830335919,0.02448906664526556,0.0295852869981137,0.0219936830335919,0.02450015719526695,0.02452233829526973,0.0,-0.00249538361167366,0.005096220352848142,1.1090550001389976e-05,3.327165000416993e-05,False,False
2026-05-07 17:00:00+08:00,2026-05-07 09:00:00+0000,hourly_max,27,0.0216666278910831,0.047089499006991026,0.0535435848481805,0.0335148908485339,0.047358148740941755,0.04789544820884321,0.011848262957450801,-0.013574608158457124,0.0064540858411894775,0.00026864973395072933,0.000805949201852181,False,False
2026-05-07 18:00:00+08:00,2026-05-07 10:00:00+0000,hourly_max,27,0.0282816898929235,0.042021023111241104,0.0567070245973706,0.035953958448765,0.0422218295949181,0.0426234425622721,0.007672268555841497,-0.006067064662476106,0.014686001486129495,0.00020080648367699905,0.0006024194510309971,False,False
2026-05-07 19:00:00+08:00,2026-05-07 11:00:00+0000,hourly_max,27,0.012709123281735,0.01365114107693118,0.0143935980586862,0.012709123281735,0.01367179670334075,0.01371310795615989,0.0,-0.0009420177951961813,0.00074245698175502,2.065562640956968e-05,6.196687922870904e-05,False,False
2026-05-07 20:00:00+08:00,2026-05-07 12:00:00+0000,hourly_max,27,0.0014236404215732,0.00229937467367094,0.0032622224408557,0.00129514475943,0.00230799412365865,0.00232523302363407,-0.00012849566214320003,-0.00100422991424094,0.0009628477671847599,8.619449987709929e-06,2.5858349963129787e-05,False,False
2026-05-07 21:00:00+08:00,2026-05-07 13:00:00+0000,hourly_max,27,0.0023541415598986,0.00393926897460458,0.0059955240998263,0.0022509920329185,0.0039444380680364,0.00395477625490004,-0.00010314952698010004,-0.0016882769416860805,0.00205625512522172,5.169093431819753e-06,1.550728029545926e-05,False,False
2026-05-07 22:00:00+08:00,2026-05-07 14:00:00+0000,hourly_max,27,0.0027787696061556,0.0045927263648455,0.0089004340679781,0.0021206572881901,0.00459818543644735,0.00460910357965105,-0.0006581123179655,-0.0024720690766554003,0.004307707703132599,5.459071601849642e-06,1.6377214805549795e-05,False,False
2026-05-07 23:00:00+08:00,2026-05-07 15:00:00+0000,hourly_max,27,0.0032620852789274,0.0057064759332267,0.0143073003008418,0.0023250447383674,0.0057125666623736,0.0057247481206674005,-0.0009370405405600001,-0.0033814311948593,0.0086008243676151,6.090729146900238e-06,1.8272187440700714e-05,False,False
2026-05-08 00:00:00+08:00,2026-05-07 16:00:00+0000,hourly_max,27,0.0019979930938955,0.00425309997127194,0.0109367939275405,0.0018108982062935,0.0042596026996711,0.00427260815646942,-0.00018709488760199977,-0.00244220176497844,0.006683693956268559,6.502728399159809e-06,1.9508185197479426e-05,False,False
2026-05-08 01:00:00+08:00,2026-05-07 17:00:00+0000,hourly_max,27,0.0024299564302061,0.005206714940527721,0.0131015627092156,0.0021429922561682,0.005250878449474651,0.00533920546736851,-0.00028696417403789977,-0.003063722684359521,0.007894847768687879,4.416350894692958e-05,0.00013249052684078874,False,False
2026-05-08 02:00:00+08:00,2026-05-07 18:00:00+0000,hourly_max,27,0.0030396241320925,0.00616257520786522,0.0170465354024332,0.0025338016340188,0.0061725408094124995,0.00619247201250706,-0.0005058224980736999,-0.0036287735738464197,0.01088396019456798,9.96560154727967e-06,2.989680464183988e-05,False,False
2026-05-09 16:00:00+08:00,2026-05-09 08:00:00+0000,hourly_max,27,0.0266327768230896,0.04377423195884994,0.0559188975035715,0.0269932917979433,0.0437909708421516,0.043824448608754916,0.0003605149748537005,-0.01678094016090664,0.012144665544721558,1.6738883301656293e-05,5.021664990497582e-05,False,False
2026-05-09 17:00:00+08:00,2026-05-09 09:00:00+0000,hourly_max,27,0.016236936302363,0.020855029996582543,0.0312214719873537,0.0133353180562703,0.020404313413196748,0.02024499170925298,-0.0029016182460927,-0.007519711940312243,0.010366441990771157,-0.00045071658338579484,-0.0006100382873295632,False,False
2026-05-09 18:00:00+08:00,2026-05-09 10:00:00+0000,hourly_max,27,0.0168718676413613,0.02262126189499572,0.0254773569947706,0.0173742494565826,0.02263529135293755,0.02266335026882121,0.0005023818152212998,-0.005247012438413121,0.002856095099774879,1.4029457941829027e-05,4.208837382549055e-05,False,False
2026-05-09 19:00:00+08:00,2026-05-09 11:00:00+0000,hourly_max,27,0.010711414051219,0.01163605692800384,0.0124345387762529,0.0113010375458877,0.0116428204534141,0.011602233467214479,0.0005896234946686993,-0.0003350193821161397,0.0007984818482490615,6.763525410260346e-06,-3.382346078936033e-05,False,False
2026-05-09 20:00:00+08:00,2026-05-09 12:00:00+0000,hourly_max,27,0.0015800705176647,0.0021052026939968,0.0040866990993557,0.0014865916228882,0.0020937636784781498,0.00210024604274261,-9.347889477649999e-05,-0.0006186110711086002,0.0019814964053589,-1.1439015518650408e-05,-4.956651254190304e-06,False,False
2026-05-09 21:00:00+08:00,2026-05-09 13:00:00+0000,hourly_max,27,0.0019522322466601,0.00255979724695306,0.0072863838390946,0.0018921091934292,0.00256048781558645,0.00254836730511138,-6.0123053230899974e-05,-0.0006676880535238599,0.00472658659214154,6.905686333901796e-07,-1.1429941841680034e-05,False,False
2026-05-09 22:00:00+08:00,2026-05-09 14:00:00+0000,hourly_max,27,0.0021357664814234,0.00332353355313806,0.0113883734281999,0.0021357664814234,0.0033274942765816997,0.00333541572346898,0.0,-0.00118776707171466,0.00806483987506184,3.960723443639531e-06,1.1882170330919893e-05,False,False
2026-05-09 23:00:00+08:00,2026-05-09 15:00:00+0000,hourly_max,27,0.0020551887861359,0.003652845090818661,0.0129773737445035,0.0017502842846459,0.00367768980732645,0.00372737924034203,-0.0003049045014900003,-0.001902560806172761,0.009324528653684837,2.4844716507789293e-05,7.453414952336918e-05,False,False
2026-05-10 00:00:00+08:00,2026-05-09 16:00:00+0000,hourly_max,27,0.0015014210174931,0.00301794926150332,0.0098679462659992,0.0012184481148496,0.0030220519877945003,0.00303025744037686,-0.00028297290264350013,-0.0017995011466537202,0.006849997004495881,4.102726291180161e-06,1.2308178873540049e-05,False,False
2026-05-10 01:00:00+08:00,2026-05-09 17:00:00+0000,hourly_max,27,0.0018539281995706,0.0035443375148415603,0.0126027137931151,0.0015145710648936,0.0035594375924658,0.00358963774771428,-0.000339357134677,-0.0020297664499479605,0.00905837627827354,1.5100077624239597e-05,4.530023287271966e-05,False,False
