station_id,n_rows,p_ge31_mean,p_ge31_p90,wbgt_score_mean,wbgt_score_p90,observed_ge31_count,note
S124,388,0.11738611030555479,0.47885006754229975,27.536342466725525,30.488012988614436,,known low-event / overprediction-sensitive station
S125,388,0.11385099903011396,0.5271007276934352,26.951076969675512,30.650183458896944,,
S126,388,0.1129634158981074,0.4774930092067837,27.173756980041105,30.494563721524557,,
S127,388,0.11040346413750719,0.44286775838077275,27.485979034947313,30.4154047720909,,
S128,388,0.11316049225244197,0.4995348373319439,27.208603711455353,30.529005794678458,,
S129,385,0.1106613730517613,0.4416483465719852,27.491472473432413,30.40735345499649,,
S130,388,0.11079527576206326,0.47109352235729207,27.36120666059931,30.460837045486823,,
S132,388,0.11384067565515081,0.4880693998658351,27.17103679063605,30.507424135559102,,
S135,388,0.11252402011671768,0.49276923080707025,27.07548566430045,30.499253565924658,,known high-event station from previous reports
S137,388,0.11129361242935039,0.46426504332734664,27.393887737712156,30.497663196996463,,known high-event station from previous reports
S139,388,0.10614779147695168,0.36205325177572545,28.002725845722143,30.096222951626714,,known low-event / overprediction-sensitive station
S140,388,0.11430140573386614,0.4823415277089854,27.18040147978912,30.512444305474585,,
S141,388,0.1136707763018563,0.502077363577628,27.20410599483982,30.53109429820291,,
S142,388,0.10804909084302275,0.462568152691803,27.36466566286223,30.420282264406158,,known high-event station from previous reports
S143,388,0.12091158786467905,0.5422637137201277,27.10469828426817,30.685563846404484,,
S144,388,0.11128923518821518,0.4493733911204227,27.493628540883197,30.424667111393763,,
S145,388,0.11446039873130527,0.49800198090594894,27.075394313328616,30.510238724374233,,
S146,388,0.11331896067828262,0.48357938788952093,27.260114399210796,30.46755792854625,,
S147,388,0.11028462583387282,0.44257571204672147,27.50038118987475,30.403777205803447,,
S148,388,0.11860286989925686,0.4759463686804225,27.564453988789957,30.471119399818004,,
S149,388,0.1180238257663083,0.47205846126699275,27.56539234815218,30.460697579541687,,
S150,388,0.11104696105528225,0.4723052868580763,27.38066287563947,30.467454435241688,,
S151,388,0.12367976960986461,0.5213732279276145,27.39603688596426,30.611577491829163,,
S153,388,0.11350060704990744,0.48053241392768387,27.169884594577447,30.491486449011344,,
S180,388,0.1132121582017067,0.47677310937062944,27.176031163688833,30.481931886719494,,
S184,388,0.11525463790245952,0.5068118703298378,27.21624431632077,30.567200757145514,,
S187,388,0.11016986197522088,0.46782029159414046,27.374854898661063,30.46256467487526,,
