record_type,cell_id,hour_sgt,forcing_day_id,scenario,metric,value,status,details
rank_drift_by_cell_hour,TP_0037,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,5,PASS,FD01_rank=10; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=11; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0088,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=9; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0098,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=8; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0115,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=2; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0154,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,7,WARN,FD01_rank=6; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0254,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=15; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0301,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0326,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0366,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=18; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0409,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,5,PASS,FD01_rank=4; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0433,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=3; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0492,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0542,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=5; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0565,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=16; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0575,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,6,WARN,FD01_rank=13; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0627,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=14; FD02_rank=15; sign_stable=True
rank_drift_by_cell_hour,TP_0676,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=17; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0773,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=7; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0835,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=12; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0857,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=19; FD02_rank=19; sign_stable=True
rank_drift_by_cell_hour,TP_0986,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
sign_stability_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,1.000000,PASS,24/24 cells have stable delta sign.
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,1.000000,PASS,overlap=3/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0141;TP_0433;TP_0857
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
spearman_by_hour,,13,,,spearman_delta_tmrt_p90_fd01_fd02,0.967903,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=7; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=12; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0088,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=11; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0098,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=6; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0115,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=2; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0154,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=8; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0254,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=15; FD02_rank=15; sign_stable=True
rank_drift_by_cell_hour,TP_0301,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0326,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0366,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=18; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0409,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=5; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0433,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=3; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0492,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0542,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=4; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0565,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=17; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0575,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=10; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0627,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=14; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0676,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=16; FD02_rank=19; sign_stable=True
rank_drift_by_cell_hour,TP_0773,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=9; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0835,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=13; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0857,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=19; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0986,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
sign_stability_by_hour,,13,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,1.000000,PASS,24/24 cells have stable delta sign.
top_k_overlap_by_hour,,13,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
top_k_overlap_by_hour,,13,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,1.000000,PASS,overlap=3/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0141;TP_0433;TP_0857
top_k_overlap_by_hour,,13,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
spearman_by_hour,,15,,,spearman_delta_tmrt_p90_fd01_fd02,0.946160,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=6; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=11; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0088,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=13; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0098,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=10; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0115,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=3; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0154,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=7; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0254,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=14; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0301,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0326,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0366,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=16; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0409,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,8,WARN,FD01_rank=4; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0433,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=2; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0492,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0542,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=5; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0565,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=18; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0575,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=9; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0627,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=15; FD02_rank=15; sign_stable=True
rank_drift_by_cell_hour,TP_0676,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=17; FD02_rank=19; sign_stable=True
rank_drift_by_cell_hour,TP_0773,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=8; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0835,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=12; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0857,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=19; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0986,15,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
sign_stability_by_hour,,15,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,1.000000,PASS,24/24 cells have stable delta sign.
top_k_overlap_by_hour,,15,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
top_k_overlap_by_hour,,15,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,1.000000,PASS,overlap=3/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0141;TP_0433;TP_0857
