cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,55.686551,58.575104,59.182308,59.286747,59.614883,22500,0.000000,PASS
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,51.957269,56.935320,58.920418,59.075535,59.614883,22500,0.000000,PASS
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,41.880647,43.487217,44.031979,44.116531,44.433689,22500,0.000000,PASS
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,39.824510,42.054367,43.794197,43.921035,44.433689,22500,0.000000,PASS
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,44.594876,46.823833,47.333370,47.420319,47.693474,22500,0.000000,PASS
TP_0059,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,41.966481,45.257113,47.109669,47.223686,47.693474,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,42.310950,45.185579,46.146439,46.227964,46.561924,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,39.533869,41.872900,45.918652,46.076511,46.561924,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,56.331345,61.539932,62.050266,62.091633,62.364918,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,51.359192,58.432772,61.897778,61.981365,62.299118,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,56.452054,61.540621,62.214981,62.259113,62.559582,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,51.311044,57.779970,62.008815,62.115571,62.559582,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,54.757247,59.557493,60.415730,60.527004,60.794575,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,49.476401,55.009979,60.201974,60.383896,60.794575,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,47.043755,50.475250,51.401443,51.519131,51.805908,22500,0.000000,PASS
TP_0088,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,43.167380,46.061802,51.180496,51.364155,51.805908,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.795352,27.956577,28.495220,28.549191,29.507896,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.541221,27.650189,28.377850,28.495792,29.507896,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,48.332489,51.932312,52.938305,53.021310,53.441051,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,44.528251,48.054323,52.704950,52.848512,53.441051,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,53.591036,58.079500,59.032074,59.106312,59.527935,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,48.879301,53.783421,58.786377,58.927406,59.527935,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,40.923265,43.016689,43.925735,44.029217,44.360157,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,38.381372,39.816347,43.723827,43.852573,44.360157,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,43.464668,46.340740,47.233540,47.342140,47.626480,22500,0.000000,PASS
TP_0088,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,40.168451,42.434721,47.023956,47.187969,47.626480,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,37.157382,33.824417,44.739966,45.534111,46.631287,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,36.840214,33.705708,44.451117,45.534111,46.631287,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,47.579210,40.585302,61.484982,61.830292,62.378010,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,47.022187,40.204643,61.264248,61.755816,62.346493,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,47.576338,41.048544,61.134525,61.743937,62.624058,22500,0.000000,PASS
