probability_case_id,probability_case_label,probability_source_kind,policy_operating_point,station_id,policy_threshold,n_rows,n_ge31,n_ge33_exploratory,observed_event_rate,mean_probability,p_ge31_Brier,mean_probability_error_obs_minus_p,probability_bias_pred_minus_obs,mean_context_adjusted_probability_error_obs_minus_p,radiation_hot_support_count,very_high_shortwave_support_count,very_high_shortwave_3h_support_count,computed_TP,computed_FP,computed_FN,computed_TN,computed_precision,computed_recall,computed_false_alarm_ratio,computed_false_alarm_rate,computed_miss_rate,low_support_warning_flag,low_support_reason,source_policy_threshold_mean,source_policy_TP,source_policy_FP,source_policy_FN,source_policy_TN,source_policy_precision,source_policy_recall,source_policy_F1,source_policy_CSI,source_policy_false_alarm_ratio,source_policy_miss_rate,miss_rate_at_policy,false_alarm_ratio_at_policy,precision_at_policy,recall_at_policy,TP_at_policy,FP_at_policy,FN_at_policy,TN_at_policy,false_alarm_rate_note
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S145,0.3099999999999999,62,8,1,0.12903225806451613,0.11255134330487569,0.03129968298259102,0.016480914759640464,-0.016480914759640464,0.015277103855063359,25,14,15,7,1,1,53,0.875,0.875,0.125,0.018518518518518517,0.125,True,n_ge31<10,0.3099999999999999,7,1,1,53,0.875,0.875,0.875,0.7777777777777778,0.125,0.125,0.125,0.125,0.875,0.875,7,1,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S187,0.3099999999999999,62,8,0,0.12903225806451613,0.11911688642133508,0.03580254001965024,0.009915371643181061,-0.009915371643181061,0.012138081467259627,29,15,15,7,1,1,53,0.875,0.875,0.125,0.018518518518518517,0.125,True,n_ge31<10,0.3099999999999999,7,1,1,53,0.875,0.875,0.875,0.7777777777777778,0.125,0.125,0.125,0.125,0.875,0.875,7,1,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S126,0.3099999999999999,62,8,0,0.12903225806451613,0.1219497735398,0.050207944388757,0.007082484524716159,-0.007082484524716159,0.00522900874087643,25,16,15,6,2,2,52,0.75,0.75,0.25,0.037037037037037035,0.25,True,n_ge31<10,0.3099999999999999,6,2,2,52,0.75,0.75,0.75,0.6,0.25,0.25,0.25,0.25,0.75,0.75,6,2,2,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S144,0.3099999999999999,62,8,1,0.12903225806451613,0.1257362928136112,0.041336270261587364,0.0032959652509049367,-0.0032959652509049367,0.004625397992571957,30,16,16,7,2,1,52,0.7777777777777778,0.875,0.2222222222222222,0.037037037037037035,0.125,True,n_ge31<10,0.3099999999999999,7,2,1,52,0.7777777777777778,0.875,0.823529411764706,0.7,0.2222222222222222,0.125,0.125,0.2222222222222222,0.7777777777777778,0.875,7,2,1,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S125,0.3099999999999999,62,8,0,0.12903225806451613,0.13567672657812865,0.06041004361149713,-0.00664446851361259,0.00664446851361259,-0.011097630610884548,24,15,15,6,3,2,51,0.6666666666666666,0.75,0.3333333333333333,0.05555555555555555,0.25,True,n_ge31<10,0.3099999999999999,6,3,2,51,0.6666666666666666,0.75,0.7058823529411765,0.5454545454545454,0.3333333333333333,0.25,0.25,0.3333333333333333,0.6666666666666666,0.75,6,3,2,51,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S153,0.3099999999999999,62,7,0,0.11290322580645161,0.12372140729188667,0.04101880117747634,-0.010818181485435051,0.010818181485435051,-0.012671657269274775,25,16,15,6,2,1,53,0.75,0.8571428571428571,0.25,0.03636363636363636,0.14285714285714285,True,n_ge31<10,0.3099999999999999,6,2,1,53,0.75,0.8571428571428571,0.7999999999999999,0.6666666666666666,0.25,0.1428571428571428,0.1428571428571428,0.25,0.75,0.8571428571428571,6,2,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S130,0.3099999999999999,62,6,0,0.0967741935483871,0.12051932547509009,0.046921991115683154,-0.023745131926702957,0.023745131926702957,-0.02188431583945377,28,15,15,5,3,1,53,0.625,0.8333333333333334,0.375,0.05357142857142857,0.16666666666666666,True,n_ge31<10,0.3099999999999999,5,3,1,53,0.625,0.8333333333333334,0.7142857142857143,0.5555555555555556,0.375,0.1666666666666666,0.1666666666666666,0.375,0.625,0.8333333333333334,5,3,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S143,0.3399999999999999,62,7,0,0.11290322580645161,0.1382095188470028,0.04690205066726704,-0.025306293040551243,0.025306293040551243,-0.02651010394512835,23,14,15,7,4,0,51,0.6363636363636364,1.0,0.36363636363636365,0.07272727272727272,0.0,True,n_ge31<10,0.3399999999999999,7,4,0,51,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,0.3636363636363636,0.0,0.0,0.3636363636363636,0.6363636363636364,1.0,7,4,0,51,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S184,0.3099999999999999,62,6,0,0.0967741935483871,0.12580312199839594,0.04855475843208409,-0.029028928450008838,0.029028928450008838,-0.03172500128849028,29,15,15,5,4,1,52,0.5555555555555556,0.8333333333333334,0.4444444444444444,0.07142857142857142,0.16666666666666666,True,n_ge31<10,0.3099999999999999,5,4,1,52,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5,0.4444444444444444,0.1666666666666666,0.1666666666666666,0.4444444444444444,0.5555555555555556,0.8333333333333334,5,4,1,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S149,0.3099999999999999,62,5,0,0.08064516129032258,0.12360865189951185,0.05461009443044094,-0.042963490609189275,0.042963490609189275,-0.03881970213984191,32,16,17,4,5,1,52,0.4444444444444444,0.8,0.5555555555555556,0.08771929824561403,0.2,True,n_ge31<10,0.3099999999999999,4,5,1,52,0.4444444444444444,0.8,0.5714285714285714,0.4,0.5555555555555556,0.2,0.2,0.5555555555555556,0.4444444444444444,0.8,4,5,1,52,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
