station_id,metric_group,metric_name,probability_case_id,n_rows,n_ge31,estimate,ci_low,ci_high,bootstrap_iterations,stability_label,low_support_warning_flag
S137,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,13,0.774636728182615,0.5980248362395386,0.946375637475889,1000,stable_positive_bias,False
S137,high_tail_residual,mean_high_tail_residual_c,,62,13,1.4705109842383117,0.9114171194659125,1.896614830010853,1000,stable_positive_bias,False
S137,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,13,1.3474475166040991,0.8775921625588337,1.7504394257433942,1000,stable_positive_bias,False
S139,score_residual,mean_score_residual_c,,62,1,-0.42485957934838814,-0.6304625546246843,-0.21325974548638438,1000,stable_negative_bias,False
S139,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,1,-0.310599814760955,-0.5104922895499727,-0.11523804411281498,1000,stable_negative_bias,False
S139,high_tail_residual,mean_high_tail_residual_c,,62,1,0.23768674094212017,,,0,unstable_low_support,True
S139,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,1,0.11089174938428428,,,0,unstable_low_support,True
S140,score_residual,mean_score_residual_c,,62,4,-0.33467766496534856,-0.5477699964015798,-0.11645318888683986,1000,stable_negative_bias,False
S140,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,4,-0.33727245270128753,-0.5236991750352142,-0.14824828495613293,1000,stable_negative_bias,False
S140,high_tail_residual,mean_high_tail_residual_c,,62,4,-0.2646272851987206,-0.739891607717623,0.1946660772028288,1000,unstable_low_support,True
S140,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,4,-0.2826020842132424,-0.7413781615565835,0.1761739931300988,1000,unstable_low_support,True
S141,score_residual,mean_score_residual_c,,62,10,0.3657637849240481,0.16141307782860262,0.5969319670271062,1000,stable_positive_bias,False
S141,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,10,0.3463860537607035,0.15108122610790134,0.5671200872429968,1000,stable_positive_bias,False
S141,high_tail_residual,mean_high_tail_residual_c,,62,10,1.4614158551165555,0.8862826415989049,2.0478744597514402,1000,stable_positive_bias,False
S141,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,10,1.273987675856267,0.7489303905370849,1.7516703275386902,1000,stable_positive_bias,False
S142,score_residual,mean_score_residual_c,,62,15,0.7629510493790546,0.5105095458744529,1.0139031845329807,1000,stable_positive_bias,False
S142,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,15,0.7725692767321004,0.5318162049557462,0.9992015218796999,1000,stable_positive_bias,False
S142,high_tail_residual,mean_high_tail_residual_c,,62,15,2.2864677196295684,1.9367442132380772,2.6236819375637945,1000,stable_positive_bias,False
S142,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,15,2.239616966087942,1.9103793061752055,2.5624843765513927,1000,stable_positive_bias,False
S143,score_residual,mean_score_residual_c,,62,7,-0.22591683912089727,-0.42667009978404397,-0.042972185853578,1000,no_station_signal,False
S143,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,7,-0.24478468336659034,-0.45481536240488,-0.07956893577933113,1000,no_station_signal,False
