time,cell_count,max_wbgt_proxy_c,p90_wbgt_proxy_c,cells_moderate_or_high,cells_high,max_utci_c,p90_utci_c,cells_moderate_utci,cells_strong_utci,cells_very_strong_utci,cells_extreme_utci,wbgt_alert,utci_alert,combined_alert,neighbourhood_alert
2026-05-10 00:00:00+08:00,986,27.13915495102106,26.71847294744006,0,0,30.11308985661303,29.58747741644836,985,0,0,0,low,moderate,watch,watch
2026-05-10 01:00:00+08:00,986,26.986871701706754,26.56100863627182,0,0,29.65043669625088,28.99712619667789,985,0,0,0,low,moderate,watch,watch
2026-05-10 02:00:00+08:00,986,27.092629588244932,26.66735169646483,0,0,29.863676905134803,29.214921682356774,985,0,0,0,low,moderate,watch,watch
2026-05-10 03:00:00+08:00,986,27.001751367735565,26.57713550355266,0,0,29.775935465371155,29.150832251508223,985,0,0,0,low,moderate,watch,watch
2026-05-10 04:00:00+08:00,986,26.80129396837232,26.376364733021685,0,0,29.551936637779818,28.935300018323275,985,0,0,0,low,moderate,watch,watch
2026-05-10 05:00:00+08:00,986,26.493613045903384,26.069747747012705,0,0,29.157519147467436,28.537321314964473,985,0,0,0,low,moderate,watch,watch
2026-05-10 06:00:00+08:00,986,26.505185341516366,26.083110331077933,0,0,29.25373644821586,28.666176939629896,985,0,0,0,low,moderate,watch,watch
2026-05-10 07:00:00+08:00,986,26.308441261219187,25.887629205778953,0,0,29.06005814500256,28.492420439933973,985,0,0,0,low,moderate,watch,watch
2026-05-10 08:00:00+08:00,986,27.249487819359985,26.828524223622065,0,0,30.339528255745886,29.706113993643545,985,0,0,0,low,moderate,watch,watch
2026-05-10 09:00:00+08:00,986,28.002814918169776,27.617575290295576,0,0,33.35921602162443,32.60251490858345,985,279,0,0,low,strong,elevated,elevated
2026-05-10 10:00:00+08:00,986,28.778100447940147,28.328144715391566,0,0,36.618177412047345,35.224278325483205,985,794,0,0,low,strong,elevated,elevated
2026-05-10 11:00:00+08:00,986,28.73445860295444,28.223576072664518,0,0,38.81890372020457,36.62574718355129,985,814,14,0,low,very_strong,high,high
2026-05-10 12:00:00+08:00,986,28.845022133456844,28.312806334237305,0,0,39.33875488999454,36.94019324099417,985,799,28,0,low,very_strong,high,high
2026-05-10 13:00:00+08:00,986,29.534266812673057,28.991328791682868,0,0,41.25693520782161,38.54247491605621,985,913,144,0,low,very_strong,high,high
2026-05-10 14:00:00+08:00,986,28.804385501990335,28.260891061353675,0,0,39.606410806121055,36.927913677561584,985,731,32,0,low,very_strong,high,high
2026-05-10 15:00:00+08:00,986,29.17968550776808,28.652489350887322,0,0,40.02845761754121,37.643209219829785,985,896,70,0,low,very_strong,high,high
2026-05-10 16:00:00+08:00,986,29.29104839235055,28.784990312300074,0,0,40.21235318987708,38.035513455003716,985,949,105,0,low,very_strong,high,high
2026-05-10 17:00:00+08:00,986,27.757474495849674,27.3273227518245,0,0,34.08069800293401,33.05744292551366,985,324,0,0,low,strong,elevated,elevated
2026-05-10 18:00:00+08:00,986,26.98242949805254,26.577315751725894,0,0,30.853341780749457,30.22581033924564,985,0,0,0,low,moderate,watch,watch
2026-05-10 19:00:00+08:00,986,26.934436530286,26.51520591528696,0,0,30.156722109434558,29.498186963205196,985,0,0,0,low,moderate,watch,watch
2026-05-10 20:00:00+08:00,986,26.785487682622914,26.360566165294642,0,0,29.52286411153652,28.86760645988653,985,0,0,0,low,moderate,watch,watch
2026-05-10 21:00:00+08:00,986,26.78093315283416,26.355285364283983,0,0,29.483678776526688,28.822425980878002,985,0,0,0,low,moderate,watch,watch
2026-05-10 22:00:00+08:00,986,26.780247267346972,26.35432196563966,0,0,29.37369526590927,28.715307133437566,985,0,0,0,low,moderate,watch,watch
