cell_id,mean_building_height_m,tree_canopy_fraction,grass_fraction,water_fraction,built_up_fraction,ndvi_mean
TP_0001,11.87045605861922,0.0,0.0,0.0,1.0,0.3119403817213908
TP_0002,13.193986794233215,0.0,0.0,0.0,1.0,0.27939913283782636
TP_0003,15.536627563679657,0.0,0.0,0.0,1.0,0.09590762829643518
TP_0004,18.705128308472695,0.0,0.0,0.0,1.0,0.2543821671964603
TP_0005,22.263256319937152,0.0,0.0,0.0,1.0,0.4193309504980549
TP_0006,25.076679660487688,0.0,0.0,0.0,1.0,0.23064627494668707
TP_0007,25.562512618026204,0.0,0.0,0.0,1.0,0.28435985964102245
TP_0008,23.738995032028495,0.0,0.0,0.0,1.0,0.16367609591622853
TP_0009,23.59353986803494,0.0,0.0,0.0,1.0,0.38903369427865964
TP_0010,25.166387850088515,0.0,0.0,0.0,1.0,0.2835797114627974
TP_0011,27.118992502648823,0.0,0.0,0.0,1.0,0.1630984631235686
TP_0012,28.640912141879177,0.0,0.0,0.0,1.0,0.19075095760937177
TP_0013,29.52600081369242,0.0,0.0,0.0,1.0,0.32174827935267586
TP_0014,30.0266940628069,0.0,0.0,0.0,1.0,0.3061484884217581
TP_0015,30.46075638987055,0.0,0.0,0.0,1.0,0.2118306776505922
TP_0016,30.792190575384886,0.0,0.0,0.0,1.0,0.2091447517055722
TP_0017,30.345081886325087,0.0,0.0,0.0,1.0,0.33818980444833935
TP_0018,26.978635834105194,0.03339416766978605,0.0,0.0,0.9666058323302141,0.36758205563292673
TP_0019,22.42329468137767,0.2155082486574199,0.0,0.21253332303056055,0.5719584283120196,0.5350567926656025
TP_0020,19.343135839368816,0.0,0.0,0.09439310398384716,0.9056068960161529,0.2812951467520253
TP_0021,18.929699474508656,0.0,0.0,0.0,1.0,0.21767023778053615
TP_0022,19.505326156583617,0.0,0.0,0.0,1.0,0.3039572062391642
TP_0023,19.255568453151014,0.0,0.0,0.0,1.0,0.44834267108349823
TP_0024,17.7955729799462,0.0,0.0,0.191759543318706,0.8082404566812937,0.38833917762506315
TP_0025,16.60500931243313,0.0,0.0,0.5121508325928215,0.48784916740717843,0.33051100864793415
TP_0026,18.157620789287034,0.0,0.0,0.0,1.0,0.2863885996561708
TP_0027,23.726462808753464,0.0,0.0,0.0,1.0,0.18163249991812488
TP_0028,28.407540758972317,0.0,0.0,0.0,1.0,0.2298877068466516
TP_0029,23.00679869456681,0.0,0.0,0.01843050886750898,0.9815694911324911,0.227521689859524
TP_0030,10.529287998584627,0.0,0.0,0.0,1.0,0.18759863145973607
TP_0031,12.840560523481027,0.0,0.0,0.0,1.0,0.12017247660413549
TP_0032,16.791743839394048,0.0,0.0,0.0,1.0,0.23748551952226027
TP_0033,22.94235134682767,0.0,0.0,0.0,1.0,0.21306453418325708
TP_0034,30.398000909000977,0.0,0.0,0.0,1.0,0.19102008375526688
TP_0035,35.8294367307636,0.0,0.0,0.0,1.0,0.2399072522675247
TP_0036,34.524499046653915,0.0,0.0,0.0,1.0,0.16746437491261607
TP_0037,27.127585598406007,0.0,0.0,0.0,1.0,0.1774595347911002
TP_0038,23.414025997630112,0.0,0.0,0.0,1.0,0.25085769103401556
TP_0039,23.952252285540233,0.0,0.0,0.0,1.0,0.22178523826795812
TP_0040,25.781023933944308,0.0,0.0,0.0,1.0,0.2583321481597329
TP_0041,27.182545005919394,0.0,0.0,0.0,1.0,0.27061561604287937
TP_0042,27.979173470452707,0.0,0.0,0.0,1.0,0.24468658146782538
TP_0043,28.242044003739604,0.0,0.0,0.0,1.0,0.20896671231248484
TP_0044,27.706558958623535,0.0,0.0,0.0,1.0,0.3188533575616127
TP_0045,26.343658195898577,0.0,0.0,0.26770076575692126,0.7322992342430787,0.17736166932709962
TP_0046,24.662700138527295,0.0,0.0,0.2466005001562989,0.7533994998437014,0.06681183389579001
