dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
hourly_max,M3_weather_ridge,31.0,27.0,0.2606324972737186,0.9991638795986622,0.41342328316900184,1195,3390,1,5887,1196,4585
hourly_max,M3_weather_ridge,31.0,27.05,0.26379690949227375,0.9991638795986622,0.4173943415997206,1195,3335,1,5942,1196,4530
hourly_max,M3_weather_ridge,31.0,27.1,0.2670391061452514,0.9991638795986622,0.42144242637982726,1195,3280,1,5997,1196,4475
hourly_max,M3_weather_ridge,31.0,27.15,0.26922209695603155,0.9983277591973244,0.42408098028769303,1194,3241,2,6036,1196,4435
hourly_max,M3_weather_ridge,31.0,27.2,0.2716723549488055,0.9983277591973244,0.4271150062600608,1194,3201,2,6076,1196,4395
hourly_max,M3_weather_ridge,31.0,27.25,0.27391603578802476,0.9983277591973244,0.42988298829882987,1194,3165,2,6112,1196,4359
hourly_max,M3_weather_ridge,31.0,27.3,0.27573444367337496,0.9966555183946488,0.43196231201304575,1192,3131,4,6146,1196,4323
hourly_max,M3_weather_ridge,31.0,27.35,0.2787538065120637,0.9949832775919732,0.43549862763037517,1190,3079,6,6198,1196,4269
hourly_max,M3_weather_ridge,31.0,27.4,0.28125,0.9933110367892977,0.43837638376383764,1188,3036,8,6241,1196,4224
hourly_max,M3_weather_ridge,31.0,27.45,0.28489070381936105,0.9916387959866221,0.4426198917708528,1186,2977,10,6300,1196,4163
hourly_max,M3_weather_ridge,31.0,27.5,0.28842412451361865,0.9916387959866221,0.4468726450640543,1186,2926,10,6351,1196,4112
hourly_max,M3_weather_ridge,31.0,27.55,0.29222387320455673,0.9866220735785953,0.4508979747802828,1180,2858,16,6419,1196,4038
hourly_max,M3_weather_ridge,31.0,27.6,0.296398891966759,0.9841137123745819,0.45558351074124254,1177,2794,19,6483,1196,3971
hourly_max,M3_weather_ridge,31.0,27.65,0.29956621587139576,0.9816053511705686,0.45904203323558157,1174,2745,22,6532,1196,3919
hourly_max,M3_weather_ridge,31.0,27.7,0.30245795601552394,0.9774247491638796,0.46196403872752423,1169,2696,27,6581,1196,3865
hourly_max,M3_weather_ridge,31.0,27.75,0.30475692629377943,0.9749163879598662,0.46435682994822786,1166,2660,30,6617,1196,3826
hourly_max,M3_weather_ridge,31.0,27.8,0.307631160572337,0.9707357859531772,0.4672032193158953,1161,2613,35,6664,1196,3774
hourly_max,M3_weather_ridge,31.0,27.85,0.31107535532314295,0.9698996655518395,0.4710659898477158,1160,2569,36,6708,1196,3729
hourly_max,M3_weather_ridge,31.0,27.9,0.3142158195161729,0.9665551839464883,0.4742564102564103,1156,2523,40,6754,1196,3679
hourly_max,M3_weather_ridge,31.0,27.95,0.3174951936281241,0.9665551839464883,0.47798222038453586,1156,2485,40,6792,1196,3641
hourly_max,M3_weather_ridge,31.0,28.0,0.32164718976071227,0.9665551839464883,0.4826722338204592,1156,2438,40,6839,1196,3594
hourly_max,M3_weather_ridge,31.0,28.05,0.3241650294695481,0.9657190635451505,0.4853960916158857,1155,2408,41,6869,1196,3563
hourly_max,M3_weather_ridge,31.0,28.1,0.32802728823195,0.9648829431438127,0.48960543063215956,1154,2364,42,6913,1196,3518
hourly_max,M3_weather_ridge,31.0,28.15,0.33266070913808016,0.9648829431438127,0.4947481243301179,1154,2315,42,6962,1196,3469
hourly_max,M3_weather_ridge,31.0,28.2,0.3365525314603453,0.9615384615384616,0.4985909386516366,1150,2267,46,7010,1196,3417
hourly_max,M3_weather_ridge,31.0,28.25,0.340160284951024,0.9581939799331104,0.5020810514786418,1146,2223,50,7054,1196,3369
hourly_max,M3_weather_ridge,31.0,28.3,0.3428228948157027,0.9565217391304348,0.5047429958085153,1144,2193,52,7084,1196,3337
hourly_max,M3_weather_ridge,31.0,28.35,0.3448589626933576,0.9506688963210702,0.506120632094369,1137,2160,59,7117,1196,3297
hourly_max,M3_weather_ridge,31.0,28.4,0.35161090458488226,0.9489966555183946,0.5131103074141048,1135,2093,61,7184,1196,3228
hourly_max,M3_weather_ridge,31.0,28.45,0.35642317380352645,0.9464882943143813,0.5178408051235133,1132,2044,64,7233,1196,3176
hourly_max,M3_weather_ridge,31.0,28.5,0.36270096463022505,0.9431438127090301,0.5239201114723641,1128,1982,68,7295,1196,3110
hourly_max,M3_weather_ridge,31.0,28.55,0.36780104712041883,0.939799331103679,0.528692380056444,1124,1932,72,7345,1196,3056
hourly_max,M3_weather_ridge,31.0,28.6,0.3715139442231076,0.93561872909699,0.5318441064638783,1119,1893,77,7384,1196,3012
hourly_max,M3_weather_ridge,31.0,28.65,0.3741152679474216,0.9280936454849499,0.5332692769637281,1110,1857,86,7420,1196,2967
hourly_max,M3_weather_ridge,31.0,28.7,0.37731958762886597,0.9180602006688964,0.5348270823185582,1098,1812,98,7465,1196,2910
hourly_max,M3_weather_ridge,31.0,28.75,0.3831578947368421,0.9130434782608695,0.5397923875432526,1092,1758,104,7519,1196,2850
hourly_max,M3_weather_ridge,31.0,28.8,0.38924731182795697,0.9080267558528428,0.5449071751128951,1086,1704,110,7573,1196,2790
hourly_max,M3_weather_ridge,31.0,28.85,0.39874815905743743,0.9055183946488294,0.5536809815950922,1083,1633,113,7644,1196,2716
hourly_max,M3_weather_ridge,31.0,28.9,0.4070996978851964,0.9013377926421404,0.5608740894901145,1078,1570,118,7707,1196,2648
hourly_max,M3_weather_ridge,31.0,28.95,0.41260084517864004,0.8979933110367893,0.565411950513293,1074,1529,122,7748,1196,2603
hourly_max,M3_weather_ridge,31.0,29.0,0.41738113795791115,0.8954849498327759,0.5693779904306221,1071,1495,125,7782,1196,2566
hourly_max,M3_weather_ridge,31.0,29.05,0.42272546682558604,0.8896321070234113,0.5731214651225424,1064,1453,132,7824,1196,2517
hourly_max,M3_weather_ridge,31.0,29.1,0.4300285597715218,0.8812709030100334,0.5780093227310118,1054,1397,142,7880,1196,2451
hourly_max,M3_weather_ridge,31.0,29.15,0.43427620632279534,0.8729096989966555,0.58,1044,1360,152,7917,1196,2404
hourly_max,M3_weather_ridge,31.0,29.2,0.4418406476352791,0.867056856187291,0.585379621789444,1037,1310,159,7967,1196,2347
hourly_max,M3_weather_ridge,31.0,29.25,0.451598773543583,0.8620401337792643,0.5926990514515666,1031,1252,165,8025,1196,2283
hourly_max,M3_weather_ridge,31.0,29.3,0.45897204688908927,0.8511705685618729,0.5963678968951377,1018,1200,178,8077,1196,2218
hourly_max,M3_weather_ridge,31.0,29.35,0.4637209302325581,0.8336120401337793,0.5959354453078302,997,1153,199,8124,1196,2150
hourly_max,M3_weather_ridge,31.0,29.4,0.47140797693416625,0.8202341137123745,0.5987183399450716,981,1100,215,8177,1196,2081
hourly_max,M3_weather_ridge,31.0,29.45,0.47482724580454094,0.8043478260869565,0.5971446306641837,962,1064,234,8213,1196,2026
hourly_max,M3_weather_ridge,31.0,29.5,0.47715736040609136,0.7859531772575251,0.5938092229943146,940,1030,256,8247,1196,1970
hourly_max,M3_weather_ridge,31.0,29.55,0.4836193447737909,0.7775919732441472,0.5963449823661431,930,993,266,8284,1196,1923
hourly_max,M3_weather_ridge,31.0,29.6,0.48990435706695007,0.7709030100334449,0.5990903183885641,922,960,274,8317,1196,1882
hourly_max,M3_weather_ridge,31.0,29.65,0.49591280653950953,0.7608695652173914,0.6004618937644342,910,925,286,8352,1196,1835
hourly_max,M3_weather_ridge,31.0,29.7,0.5016778523489933,0.75,0.6012064343163539,897,891,299,8386,1196,1788
hourly_max,M3_weather_ridge,31.0,29.75,0.5091848450057406,0.7416387959866221,0.6038121170864533,887,855,309,8422,1196,1742
hourly_max,M3_weather_ridge,31.0,29.8,0.5164512338425382,0.7349498327759197,0.606625258799172,879,823,317,8454,1196,1702
hourly_max,M3_weather_ridge,31.0,29.85,0.5199757869249395,0.7182274247491639,0.6032303370786517,859,793,337,8484,1196,1652
hourly_max,M3_weather_ridge,31.0,29.9,0.5248756218905473,0.705685618729097,0.6019971469329529,844,764,352,8513,1196,1608
hourly_max,M3_weather_ridge,31.0,29.95,0.5279542566709021,0.6948160535117057,0.6000000000000001,831,743,365,8534,1196,1574
hourly_max,M3_weather_ridge,31.0,30.0,0.5326860841423948,0.6881270903010034,0.6005107624954397,823,722,373,8555,1196,1545
hourly_max,M3_weather_ridge,31.0,30.05,0.5418620227729404,0.6764214046822743,0.6017106731126812,809,684,387,8593,1196,1493
hourly_max,M3_weather_ridge,31.0,30.1,0.5458333333333333,0.657190635451505,0.5963581183611533,786,654,410,8623,1196,1440
hourly_max,M3_weather_ridge,31.0,30.15,0.5482487491065047,0.6413043478260869,0.5911368015414259,767,632,429,8645,1196,1399
hourly_max,M3_weather_ridge,31.0,30.2,0.5561377245508982,0.6212374581939799,0.5868878357030016,743,593,453,8684,1196,1336
hourly_max,M3_weather_ridge,31.0,30.25,0.5674822415153907,0.6011705685618729,0.5838408444985789,719,548,477,8729,1196,1267
hourly_max,M3_weather_ridge,31.0,30.3,0.5749792874896438,0.580267558528428,0.5776113191843528,694,513,502,8764,1196,1207
hourly_max,M3_weather_ridge,31.0,30.35,0.5841325196163906,0.560200668896321,0.5719163465642337,670,477,526,8800,1196,1147
hourly_max,M3_weather_ridge,31.0,30.4,0.5955678670360111,0.5392976588628763,0.5660377358490566,645,438,551,8839,1196,1083
hourly_max,M3_weather_ridge,31.0,30.45,0.6147783251231527,0.5217391304347826,0.564450474898236,624,391,572,8886,1196,1015
